Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Abstract Concepts,anger,strong;bad;hot;quick;deep;blind;raw;intense;sudden;pure
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Inanimate Objects,key,small;metal;old;new;simple;shiny;black;silver;gold;long
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Inanimate Objects,knife,sharp;small;big;simple;metal;old;new;clean;wooden
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Inanimate Objects,lock,old;new;simple;metal;strong;small;big;secure;broken;shiny
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Inanimate Objects,moon,big;bright;full;simple;old;new;white;round;dark;quiet
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Inanimate Objects,pen,small;black;blue;simple;new;old;cheap;good;plastic;metal
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Inanimate Objects,sun,big;bright;hot;simple;yellow;round;warm;strong;high;real
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Inanimate Objects,sword,sharp;big;old;new;metal;simple;strong;long;shiny;heavy
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Neutral Animals,cat,black;white;small;big;simple;lazy;wild;cute;old;young
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Neutral Animals,dog,big;small;friendly;wild;simple;loyal;old;young;black;white
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Neutral Animals,dolphin,smart;big;friendly;simple;wild;fast;gray;playful;real;young
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Neutral Animals,elephant,big;gray;strong;simple;wild;old;young;heavy;smart;real
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Neutral Animals,hamster,small;cute;simple;brown;white;young;old;fast;friendly;wild
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Neutral Animals,monkey,small;clever;simple;wild;young;old;brown;fast;playful;funny
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Neutral Animals,mouse,small;gray;simple;wild;fast;young;old;quiet;cute;smart
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Neutral Animals,peacock,beautiful;big;colorful;simple;wild;proud;blue;real;old;young
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Neutral Animals,rabbit,small;white;fast;simple;wild;cute;young;old;soft;brown
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Neutral Animals,shark,big;dangerous;simple;wild;gray;fast;strong;real;sharp;old
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Neutral Animals,snake,long;dangerous;simple;wild;green;black;fast;real;small;big
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Neutral Animals,whale,big;huge;simple;wild;blue;real;old;young;smart;friendly
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Places,city,big;busy;old;new;simple;modern;crowded;beautiful;clean;dirty
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Places,desert,hot;dry;big;simple;sandy;empty;wild;old;new;yellow
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Places,forest,green;big;dense;simple;wild;dark;old;new;quiet;rich
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Places,island,small;big;tropical;simple;wild;beautiful;green;real;old;new
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Places,lake,big;small;blue;simple;deep;calm;wild;cold;fresh;clear
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Places,mountain,high;big;snowy;simple;wild;old;new;steep;green;rocky
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Places,ocean,big;deep;blue;simple;wild;cold;warm;vast;real;dark
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Places,plain,flat;wide;green;simple;wild;open;dry;big;real;empty
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Places,plateau,flat;high;rocky;simple;wild;big;dry;real;green;old
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Places,river,long;wide;blue;simple;wild;fast;deep;clear;fresh;dirty
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Places,valley,deep;green;beautiful;simple;wild;narrow;wide;real;old;new
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Places,village,small;quiet;old;new;simple;rural;green;real;peaceful;clean
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Plants,cactus,green;spiky;big;small;simple;wild;dry;real;tall;old
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Plants,eggplant,purple;big;small;simple;fresh;round;long;real;soft;raw
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Plants,flower,beautiful;red;yellow;simple;wild;fresh;big;small;sweet;real
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Plants,grass,green;soft;tall;simple;wild;fresh;wet;dry;thick;real
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Plants,lettuce,green;fresh;crisp;simple;big;small;raw;healthy;wet;real
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Plants,mushroom,small;white;fresh;simple;wild;raw;cooked;soft;big;real
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Plants,onion,white;big;small;fresh;simple;raw;strong;round;real;dry
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Plants,pepper,red;green;hot;simple;fresh;small;big;raw;real;spicy
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Plants,potato,big;small;brown;simple;fresh;raw;cooked;soft;real;new
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Plants,rose,red;beautiful;fresh;simple;wild;big;small;sweet;real;old
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Plants,tomato,red;big;small;fresh;simple;juicy;raw;cooked;round;real
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Plants,tree,tall;green;old;new;simple;big;wild;strong;real;beautiful
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Social Relationships,ally,strong;true;good;simple;loyal;real;helpful;new;old;brave
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Social Relationships,brother,young;old;good;simple;real;kind;strong;helpful;new;loyal
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Social Relationships,enemy,bad;strong;dangerous;simple;real;old;new;fierce;dark;bitter
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Social Relationships,father,good;old;young;simple;real;kind;strong;wise;helpful;new
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Social Relationships,follower,loyal;simple;real;good;strong;new;old;faithful;dedicated;true
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Social Relationships,friend,good;true;simple;real;loyal;kind;new;old;helpful;close
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Social Relationships,leader,strong;good;simple;real;wise;new;old;brave;smart;great
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Social Relationships,mother,good;kind;simple;real;loving;new;old;caring;wise;strong
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Social Relationships,partner,good;reliable;simple;real;strong;new;old;helpful;loyal;close
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Social Relationships,rival,strong;tough;simple;real;new;old;fierce;smart;bad;competitive
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Social Relationships,sister,young;old;good;simple;real;kind;helpful;loving;new;close
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Social Relationships,stranger,unknown;simple;real;new;old;mysterious;dangerous;friendly;odd;quiet
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Spatial Concepts,above,high;clear;simple;real;bright;safe;empty;full;new;old
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Spatial Concepts,back,old;new;simple;real;strong;weak;straight;curved;clean;dirty
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Spatial Concepts,below,low;dark;simple;real;deep;hidden;empty;full;new;old
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Spatial Concepts,east,far;simple;real;bright;warm;new;old;coastal;rural;busy
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Spatial Concepts,front,big;simple;real;clean;new;old;wide;narrow;open;closed
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Spatial Concepts,inside,warm;dark;simple;real;safe;empty;full;new;old;quiet
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Spatial Concepts,left,open;simple;real;free;strong;weak;new;old;clean;dirty
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Spatial Concepts,north,cold;simple;real;far;wild;new;old;quiet;busy;green
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Spatial Concepts,outside,cold;warm;simple;real;free;empty;full;new;old;bright
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Spatial Concepts,right,correct;simple;real;strong;weak;new;old;clean;direct;free
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Spatial Concepts,south,warm;simple;real;far;sunny;new;old;coastal;busy;green
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Spatial Concepts,west,wild;simple;real;far;new;old;quiet;busy;dry;green
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Time Concepts,century,long;old;new;simple;real;great;dark;golden;lost;full
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Time Concepts,day,long;short;sunny;simple;real;busy;quiet;new;old;warm
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Time Concepts,evening,quiet;long;simple;real;dark;cool;new;old;peaceful;late
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Time Concepts,hour,long;short;simple;real;early;late;new;old;busy;quiet
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Time Concepts,minute,short;long;simple;real;quick;slow;new;old;last;first
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Time Concepts,month,long;short;simple;real;new;old;busy;quiet;warm;cold
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Time Concepts,morning,early;fresh;simple;real;bright;cool;new;old;quiet;busy
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Time Concepts,night,dark;long;simple;real;quiet;cold;new;old;starry;deep
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Time Concepts,season,long;short;simple;real;warm;cold;new;old;dry;wet
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Time Concepts,second,short;quick;simple;real;last;first;new;old;fast;slow
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Time Concepts,week,long;short;simple;real;busy;quiet;new;old;full;empty
grok-3-mini,think-in-native,1.0,FR # French,B1,most frequent,Time Concepts,year,long;short;simple;real;new;old;good;bad;busy;quiet
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Abstract Concepts,anger,intense;strong;sudden;blind;deep;great;raw;suppressed;violent;quiet
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Abstract Concepts,courage,brave;bold;true;great;quiet;moral;physical;heroic;selfless;inner
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Abstract Concepts,fear,great;sudden;deep;irrational;constant;real;dark;hidden;cold;growing
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Abstract Concepts,freedom,full;true;personal;basic;hard-won;absolute;political;social;new;lost
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Abstract Concepts,happiness,pure;simple;true;great;lasting;inner;shared;sudden;quiet;warm
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Abstract Concepts,hate,deep;strong;blind;pure;intense;bitter;cold;racial;personal;growing
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Abstract Concepts,honesty,complete;true;simple;brutal;clear;total;rare;basic;direct;natural
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Abstract Concepts,justice,fair;true;social;blind;quick;equal;moral;full;legal;pure
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Abstract Concepts,knowledge,deep;wide;basic;useful;secret;ancient;practical;true;full;personal
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Abstract Concepts,love,true;deep;pure;strong;blind;eternal;simple;passionate;new;lost
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Abstract Concepts,peace,quiet;full;inner;lasting;world;social;deep;simple;true;fragile
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Abstract Concepts,wisdom,great;ancient;practical;deep;true;simple;inner;rare;common;old
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Cultural Artifacts,bell,old;large;small;ringing;broken;golden;church;silver;clear;ancient
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Cultural Artifacts,candle,lit;small;large;white;scented;burning;old;red;simple;decorative
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Cultural Artifacts,carpet,soft;old;new;red;thick;dirty;clean;patterned;large;woven
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Cultural Artifacts,coin,old;new;shiny;gold;silver;rare;small;foreign;ancient;valuable
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Cultural Artifacts,crown,golden;royal;old;heavy;jeweled;ancient;simple;king's;ceremonial;broken
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Cultural Artifacts,flag,national;old;waving;red;blue;foreign;proud;torn;high;symbolic
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Cultural Artifacts,mask,black;old;scary;protective;wooden;full-face;simple;decorative;hidden;colored
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Cultural Artifacts,necklace,gold;silver;long;short;beautiful;simple;old;jeweled;broken;elegant
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Cultural Artifacts,painting,beautiful;old;modern;large;small;colorful;famous;abstract;detailed;simple
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Cultural Artifacts,ring,gold;silver;small;large;old;new;jeweled;broken;wedding;simple
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Cultural Artifacts,statue,large;old;stone;bronze;beautiful;famous;broken;modern;tall;simple
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Cultural Artifacts,vase,old;beautiful;glass;broken;large;small;decorative;simple;colored;ancient
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Environmental Phenomena,cloud,white;dark;fluffy;low;high;moving;rainy;beautiful;thin;heavy
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Environmental Phenomena,earthquake,strong;sudden;devastating;major;minor;deep;shallow;dangerous;rare;violent
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Environmental Phenomena,fog,thick;light;morning;cold;dense;grey;sudden;low;wet;mysterious
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Environmental Phenomena,lightning,bright;fast;dangerous;sudden;powerful;forked;distant;electric;natural;wild
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Environmental Phenomena,rain,heavy;light;cold;warm;steady;sudden;soft;hard;fresh;falling
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Environmental Phenomena,rainbow,bright;colorful;beautiful;double;faint;full;natural;rare;clear;wide
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Environmental Phenomena,snow,white;fresh;deep;light;cold;falling;soft;heavy;pure;wet
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Environmental Phenomena,storm,violent;strong;sudden;big;dark;rainy;windy;tropical;severe;fast
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Environmental Phenomena,thunder,loud;rolling;distant;sudden;deep;scary;constant;powerful;natural;long
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Environmental Phenomena,tide,high;low;strong;incoming;outgoing;fast;calm;dangerous;daily;full
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Environmental Phenomena,volcano,active;dormant;big;dangerous;ancient;smoking;fiery;high;explosive;distant
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Environmental Phenomena,wind,strong;light;cold;warm;blowing;steady;wild;gentle;fast;northern
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Food Items,apple,red;green;fresh;ripe;sweet;juicy;small;large;organic;sour
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Food Items,banana,yellow;ripe;green;fresh;sweet;long;soft;organic;small;peeled
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Food Items,beef,fresh;cooked;lean;fatty;red;tender;tough;organic;grilled;cheap
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Food Items,bread,fresh;warm;soft;hard;white;brown;sliced;homemade;cheap;tasty
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Food Items,broccoli,fresh;green;cooked;raw;organic;small;large;steamed;healthy;frozen
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Food Items,cheese,soft;hard;fresh;yellow;strong;mild;grated;organic;tasty;expensive
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Food Items,chicken,fresh;cooked;roasted;grilled;organic;small;large;white;fried;tender
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Food Items,egg,fresh;boiled;fried;raw;large;small;brown;white;organic;cracked
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Food Items,fish,fresh;cooked;wild;farmed;big;small;silver;tasty;frozen;smoked
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Food Items,pasta,cooked;dry;fresh;Italian;long;short;cheap;tasty;soft;colored
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Food Items,rice,white;brown;cooked;raw;steamed;long-grain;short-grain;cheap;tasty;organic
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Food Items,soup,hot;cold;thick;thin;tasty;vegetable;chicken;homemade;fresh;spicy
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Human Roles,artist,talented;young;famous;creative;skilled;local;modern;dedicated;poor;successful
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Human Roles,athlete,strong;fast;young;professional;skilled;dedicated;famous;injured;fit;competitive
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Human Roles,chef,skilled;famous;young;talented;professional;creative;busy;local;experienced;good
grok-3-mini,think-in-native,1.0,FR # French,B2,most frequent,Human Roles,doctor,good;experienced;young;busy;skilled;local;famous;caring;professional;tired
