Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,anger,strong;hot;bad;quick;sudden;great;deep;blind;fierce;wild
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Inanimate Objects,key,small;old;new;metal;simple;broken;shiny;black;gold;secret
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Inanimate Objects,knife,sharp;old;new;big;small;metal;simple;clean;dirty;strong
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Inanimate Objects,lock,old;new;simple;strong;metal;broken;small;big;shiny;secure
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Inanimate Objects,moon,big;bright;old;full;simple;white;cold;quiet;round;dark
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Inanimate Objects,pen,small;old;new;simple;black;blue;cheap;good;broken;smooth
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Inanimate Objects,sun,big;bright;hot;simple;yellow;warm;strong;daily;clear;rising
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Inanimate Objects,sword,sharp;old;new;big;simple;metal;strong;shiny;broken;long
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Neutral Animals,cat,small;black;white;old;young;lazy;fast;cute;wild;soft
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Neutral Animals,dog,big;small;old;young;friendly;fast;loyal;strong;cute;wild
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Neutral Animals,dolphin,big;smart;fast;wild;friendly;simple;gray;playful;water;active
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Neutral Animals,elephant,big;strong;old;wild;gray;slow;friendly;smart;heavy;tall
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Neutral Animals,hamster,small;cute;fast;wild;simple;brown;soft;young;old;active
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Neutral Animals,monkey,small;smart;fast;wild;funny;brown;playful;young;old;active
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Neutral Animals,mouse,small;gray;fast;wild;simple;quiet;young;old;cute;shy
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Neutral Animals,peacock,beautiful;big;wild;colorful;proud;simple;blue;green;tall;active
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Neutral Animals,rabbit,small;white;fast;wild;cute;soft;young;old;shy;active
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Neutral Animals,shark,big;dangerous;fast;wild;gray;strong;scary;simple;water;active
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Neutral Animals,snake,long;dangerous;wild;green;black;fast;simple;shy;active;slim
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Neutral Animals,whale,big;strong;wild;gray;smart;simple;water;slow;deep;active
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Places,city,big;busy;old;new;modern;simple;noisy;clean;dirty;beautiful
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Places,desert,big;hot;dry;simple;sandy;quiet;empty;wild;yellow;harsh
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Places,forest,big;green;wild;simple;dark;quiet;deep;fresh;old;beautiful
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Places,island,small;big;beautiful;simple;green;quiet;tropical;wild;sunny;remote
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Places,lake,big;small;beautiful;simple;blue;quiet;deep;fresh;cold;clean
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Places,mountain,big;high;old;simple;green;snow;wild;strong;beautiful;steep
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Places,ocean,big;deep;blue;wild;simple;cold;wet;vast;beautiful;strong
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Places,plain,flat;big;simple;green;dry;quiet;open;wild;empty;vast
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Places,plateau,high;big;simple;flat;wild;dry;quiet;open;rocky;vast
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Places,river,long;big;simple;blue;wild;fast;deep;clean;dirty;fresh
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Places,valley,deep;green;simple;beautiful;wild;quiet;narrow;wide;fresh;cool
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Places,village,small;old;simple;quiet;green;rural;clean;poor;rich;friendly
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Plants,cactus,big;small;green;prickly;wild;simple;dry;tall;strong;old
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Plants,eggplant,purple;big;small;fresh;soft;simple;tasty;round;long;healthy
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Plants,flower,beautiful;small;big;colorful;simple;fresh;sweet;wild;red;white
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Plants,grass,green;soft;long;short;simple;fresh;wet;dry;wild;thick
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Plants,lettuce,green;fresh;big;small;crisp;simple;healthy;wet;raw;soft
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Plants,mushroom,small;big;wild;simple;white;fresh;tasty;soft;raw;cooked
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Plants,onion,big;small;white;red;fresh;strong;simple;raw;cooked;tasty
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Plants,pepper,red;green;big;small;hot;fresh;simple;tasty;raw;cooked
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Plants,potato,big;small;brown;fresh;simple;tasty;raw;cooked;soft;hard
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Plants,rose,red;beautiful;small;big;fresh;simple;sweet;wild;soft;full
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Plants,tomato,red;big;small;fresh;juicy;simple;tasty;raw;cooked;soft
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Plants,tree,big;old;green;tall;simple;strong;wild;young;fresh;full
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Social Relationships,ally,strong;true;good;reliable;simple;helpful;loyal;close;old;new
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Social Relationships,brother,young;old;good;strong;simple;helpful;loyal;close;smart;funny
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Social Relationships,enemy,strong;bad;dangerous;old;new;bitter;simple;hidden;real;fierce
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Social Relationships,father,old;young;good;strong;simple;helpful;wise;busy;kind;loving
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Social Relationships,follower,loyal;simple;faithful;strong;young;old;active;good;dedicated;true
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Social Relationships,friend,good;true;close;simple;loyal;young;old;helpful;funny;kind
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Social Relationships,leader,strong;good;simple;wise;young;old;active;famous;smart;brave
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Social Relationships,mother,loving;good;simple;busy;young;old;kind;helpful;caring;strong
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Social Relationships,partner,good;reliable;simple;strong;close;business;loyal;active;smart;true
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Social Relationships,rival,strong;tough;simple;old;new;bitter;good;active;smart;fierce
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Social Relationships,sister,young;old;good;simple;helpful;funny;kind;close;smart;caring
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Social Relationships,stranger,unknown;simple;new;scary;friendly;old;young;quiet;mysterious;fast
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Spatial Concepts,above,high;clear;simple;bright;open;free;top;full;strong;warm
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Spatial Concepts,back,strong;simple;old;new;straight;curved;wide;narrow;clean;dirty
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Spatial Concepts,below,low;dark;simple;deep;hidden;quiet;cold;full;wet;narrow
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Spatial Concepts,east,far;simple;sunny;warm;open;new;rising;quiet;big;green
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Spatial Concepts,front,clean;simple;open;wide;new;old;strong;clear;flat;busy
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Spatial Concepts,inside,warm;dark;simple;safe;full;quiet;dry;clean;hidden;small
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Spatial Concepts,left,free;simple;open;clear;strong;wide;dark;quiet;cold;empty
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Spatial Concepts,north,cold;simple;far;wild;green;quiet;big;open;high;dark
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Spatial Concepts,outside,cold;simple;open;free;wet;dry;noisy;quiet;big;empty
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Spatial Concepts,right,correct;simple;strong;clear;good;wide;flat;clean;straight;true
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Spatial Concepts,south,warm;simple;sunny;open;green;big;quiet;far;wild;hot
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Spatial Concepts,west,far;simple;wild;open;dark;quiet;big;cold;green;free
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Time Concepts,century,long;old;simple;great;new;full;dark;bright;important;past
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Time Concepts,day,long;short;simple;sunny;rainy;busy;quiet;good;new;old
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Time Concepts,evening,long;quiet;simple;cool;dark;peaceful;busy;warm;short;beautiful
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Time Concepts,hour,long;short;simple;busy;quiet;full;early;late;dark;bright
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Time Concepts,minute,short;long;simple;quick;full;last;first;quiet;busy;final
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Time Concepts,month,long;short;simple;busy;quiet;full;new;old;warm;cold
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Time Concepts,morning,early;simple;fresh;quiet;busy;bright;cool;new;short;clear
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Time Concepts,night,dark;long;simple;quiet;cold;full;busy;short;warm;clear
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Time Concepts,season,long;short;simple;warm;cold;wet;dry;full;busy;quiet
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Time Concepts,second,short;simple;quick;last;first;full;quiet;busy;final;new
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Time Concepts,week,long;short;simple;busy;quiet;full;new;old;fast;slow
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Time Concepts,year,long;short;simple;new;old;full;busy;quiet;good;bad
grok-3-mini,think-in-native,1.0,TR # Turkish,B2,most frequent,Abstract Concepts,anger,intense;sudden;deep;hot;blind;raw;explosive;bitter;uncontrolled;destructive
grok-3-mini,think-in-native,1.0,TR # Turkish,B2,most frequent,Abstract Concepts,courage,brave;bold;great;heroic;moral;physical;quiet;unwavering;foolish;inspiring
grok-3-mini,think-in-native,1.0,TR # Turkish,B2,most frequent,Abstract Concepts,fear,intense;sudden;deep;irrational;overwhelming;hidden;constant;primal;chilling;paralyzing
grok-3-mini,think-in-native,1.0,TR # Turkish,B2,most frequent,Abstract Concepts,freedom,absolute;personal;true;basic;hard-won;limited;complete;individual;democratic;precious
grok-3-mini,think-in-native,1.0,TR # Turkish,B2,most frequent,Abstract Concepts,happiness,pure;simple;lasting;genuine;short-lived;inner;shared;everyday;overwhelming;quiet
grok-3-mini,think-in-native,1.0,TR # Turkish,B2,most frequent,Abstract Concepts,hate,intense;deep;blind;bitter;irrational;strong;destructive;mutual;personal;growing
grok-3-mini,think-in-native,1.0,TR # Turkish,B2,most frequent,Abstract Concepts,honesty,complete;straightforward;simple;rare;absolute;genuine;brutal;clear;unwavering;basic
grok-3-mini,think-in-native,1.0,TR # Turkish,B2,most frequent,Abstract Concepts,justice,fair;equal;blind;swift;true;social;criminal;moral;proper;exact
grok-3-mini,think-in-native,1.0,TR # Turkish,B2,most frequent,Abstract Concepts,knowledge,deep;basic;practical;ancient;wide;useful;secret;formal;everyday;important
grok-3-mini,think-in-native,1.0,TR # Turkish,B2,most frequent,Abstract Concepts,love,true;deep;romantic;pure;strong;unconditional;lasting;young;mutual;blind
grok-3-mini,think-in-native,1.0,TR # Turkish,B2,most frequent,Abstract Concepts,peace,lasting;inner;global;quiet;fragile;complete;temporary;mental;social;warm
grok-3-mini,think-in-native,1.0,TR # Turkish,B2,most frequent,Abstract Concepts,wisdom,great;ancient;practical;deep;simple;timeless;wise;old;natural;clear
grok-3-mini,think-in-native,1.0,TR # Turkish,B2,most frequent,Cultural Artifacts,bell,loud;small;big;old;ringing;metal;clear;broken;shiny;antique
grok-3-mini,think-in-native,1.0,TR # Turkish,B2,most frequent,Cultural Artifacts,candle,lit;wax;small;tall;scented;flickering;white;red;melting;simple
grok-3-mini,think-in-native,1.0,TR # Turkish,B2,most frequent,Cultural Artifacts,carpet,soft;old;colorful;thick;woolen;large;patterned;clean;dirty;warm
grok-3-mini,think-in-native,1.0,TR # Turkish,B2,most frequent,Cultural Artifacts,coin,old;shiny;gold;silver;small;rare;fake;heavy;ancient;valuable
grok-3-mini,think-in-native,1.0,TR # Turkish,B2,most frequent,Cultural Artifacts,crown,golden;royal;heavy;ancient;jeweled;big;simple;symbolic;worn;decorative
grok-3-mini,think-in-native,1.0,TR # Turkish,B2,most frequent,Cultural Artifacts,flag,national;colorful;waving;old;torn;red;blue;proud;symbolic;large
grok-3-mini,think-in-native,1.0,TR # Turkish,B2,most frequent,Cultural Artifacts,mask,protective;colorful;scary;wooden;plastic;old;hidden;decorative;simple;mysterious
grok-3-mini,think-in-native,1.0,TR # Turkish,B2,most frequent,Cultural Artifacts,necklace,gold;silver;beautiful;long;short;shiny;pearl;cheap;elegant;broken
grok-3-mini,think-in-native,1.0,TR # Turkish,B2,most frequent,Cultural Artifacts,painting,beautiful;old;modern;colorful;large;small;famous;abstract;detailed;framed
grok-3-mini,think-in-native,1.0,TR # Turkish,B2,most frequent,Cultural Artifacts,ring,gold;silver;small;big;shiny;diamond;simple;old;wedding;broken
grok-3-mini,think-in-native,1.0,TR # Turkish,B2,most frequent,Cultural Artifacts,statue,large;stone;bronze;old;famous;detailed;broken;standing;decorative;ancient
grok-3-mini,think-in-native,1.0,TR # Turkish,B2,most frequent,Cultural Artifacts,vase,tall;glass;ceramic;broken;colorful;simple;decorative;old;empty;fancy
grok-3-mini,think-in-native,1.0,TR # Turkish,B2,most frequent,Environmental Phenomena,cloud,white;dark;fluffy;low;high;stormy;drifting;thin;thick;beautiful
grok-3-mini,think-in-native,1.0,TR # Turkish,B2,most frequent,Environmental Phenomena,earthquake,strong;sudden;destructive;minor;major;rare;violent;frightening;deep;unpredictable
grok-3-mini,think-in-native,1.0,TR # Turkish,B2,most frequent,Environmental Phenomena,fog,thick;light;cold;mysterious;early;morning;dense;wet;gray;covering
grok-3-mini,think-in-native,1.0,TR # Turkish,B2,most frequent,Environmental Phenomena,lightning,bright;fast;dangerous;sudden;striking;electric;powerful;natural;rare;frightening
grok-3-mini,think-in-native,1.0,TR # Turkish,B2,most frequent,Environmental Phenomena,rain,heavy;light;cold;warm;steady;pouring;gentle;seasonal;wet;refreshing
grok-3-mini,think-in-native,1.0,TR # Turkish,B2,most frequent,Environmental Phenomena,rainbow,colorful;bright;beautiful;rare;double;fading;natural;magical;full;short
grok-3-mini,think-in-native,1.0,TR # Turkish,B2,most frequent,Environmental Phenomena,snow,white;soft;heavy;light;fresh;cold;falling;deep;wet;pure
grok-3-mini,think-in-native,1.0,TR # Turkish,B2,most frequent,Environmental Phenomena,storm,violent;strong;sudden;fierce;rainy;windy;dangerous;electrical;long;dark
grok-3-mini,think-in-native,1.0,TR # Turkish,B2,most frequent,Environmental Phenomena,thunder,loud;rumbling;sudden;distant;frightening;powerful;constant;natural;booming;deep
grok-3-mini,think-in-native,1.0,TR # Turkish,B2,most frequent,Environmental Phenomena,tide,high;low;strong;gentle;rising;falling;coastal;daily;unpredictable;cold
grok-3-mini,think-in-native,1.0,TR # Turkish,B2,most frequent,Environmental Phenomena,volcano,active;dormant;dangerous;huge;smoking;ancient;fiery;explosive;natural;remote
grok-3-mini,think-in-native,1.0,TR # Turkish,B2,most frequent,Environmental Phenomena,wind,strong;gentle;cold;warm;blowing;steady;gusty;northern;eastern;fresh
grok-3-mini,think-in-native,1.0,TR # Turkish,B2,most frequent,Food Items,apple,red;green;fresh;ripe;juicy;sweet;sour;small;big;organic
grok-3-mini,think-in-native,1.0,TR # Turkish,B2,most frequent,Food Items,banana,yellow;ripe;green;sweet;long;fresh;soft;peeled;tropical;cheap
grok-3-mini,think-in-native,1.0,TR # Turkish,B2,most frequent,Food Items,beef,fresh;cooked;lean;fatty;tender;tough;red;ground;organic;cheap
grok-3-mini,think-in-native,1.0,TR # Turkish,B2,most frequent,Food Items,bread,fresh;soft;hard;white;whole;warm;sliced;homemade;toasted;cheap
grok-3-mini,think-in-native,1.0,TR # Turkish,B2,most frequent,Food Items,broccoli,green;fresh;raw;cooked;crunchy;healthy;steamed;organic;small;frozen
