Noun,NounCategory,Language1,Language2,Distance,Adjectives1,Adjectives2
artist,Human Roles,BN # Bengali,FR # French,0.013218105,famous;young;old;great;talented;modern;creative;new;local;popular,great;famous;young;old;new;modern;creative;talented;good;local
artist,Human Roles,BN # Bengali,GA # Irish,0.061747134,famous;young;old;great;talented;modern;creative;new;local;popular,young;old;famous;new;great;good;modern;real;true;creative
artist,Human Roles,BN # Bengali,HE # Hebrew,0.01722461,famous;young;old;great;talented;modern;creative;new;local;popular,great;famous;young;old;new;modern;creative;talented;real;local
artist,Human Roles,BN # Bengali,HI # Hindi,0.0,famous;young;old;great;talented;modern;creative;new;local;popular,great;famous;young;old;new;modern;creative;talented;local;popular
artist,Human Roles,BN # Bengali,IT # Italian,5.9604645e-08,famous;young;old;great;talented;modern;creative;new;local;popular,famous;young;old;great;modern;talented;creative;new;local;popular
artist,Human Roles,BN # Bengali,JA # Japanese,0.01722461,famous;young;old;great;talented;modern;creative;new;local;popular,young;old;famous;great;new;modern;creative;talented;local;real
artist,Human Roles,BN # Bengali,KO # Korean,5.9604645e-08,famous;young;old;great;talented;modern;creative;new;local;popular,famous;young;old;great;modern;talented;creative;new;local;popular
artist,Human Roles,BN # Bengali,LV # Latvian,0.013218105,famous;young;old;great;talented;modern;creative;new;local;popular,young;old;famous;great;new;modern;talented;creative;local;good
artist,Human Roles,BN # Bengali,PL # Polish,0.017062604,famous;young;old;great;talented;modern;creative;new;local;popular,young;old;famous;great;good;modern;new;creative;talented;popular
artist,Human Roles,BN # Bengali,PS # Pashto,0.0,famous;young;old;great;talented;modern;creative;new;local;popular,great;famous;young;old;modern;creative;talented;new;local;popular
artist,Human Roles,BN # Bengali,PT # Portuguese,0.0,famous;young;old;great;talented;modern;creative;new;local;popular,young;old;famous;great;new;modern;creative;talented;local;popular
artist,Human Roles,BN # Bengali,RU # Russian,0.03448528,famous;young;old;great;talented;modern;creative;new;local;popular,young;old;famous;great;modern;new;talented;creative;real;good
artist,Human Roles,BN # Bengali,SQ # Albanian,0.0,famous;young;old;great;talented;modern;creative;new;local;popular,famous;young;old;great;modern;talented;creative;local;new;popular
artist,Human Roles,BN # Bengali,SW # Swahili,0.0,famous;young;old;great;talented;modern;creative;new;local;popular,young;old;famous;great;talented;creative;modern;new;local;popular
artist,Human Roles,BN # Bengali,TH # Thai,0.03448528,famous;young;old;great;talented;modern;creative;new;local;popular,young;old;famous;great;new;modern;creative;talented;good;real
artist,Human Roles,BN # Bengali,TR # Turkish,5.9604645e-08,famous;young;old;great;talented;modern;creative;new;local;popular,famous;young;old;great;modern;talented;creative;new;popular;local
artist,Human Roles,BN # Bengali,UR # Urdu,0.014559984,famous;young;old;great;talented;modern;creative;new;local;popular,famous;young;old;great;modern;talented;creative;new;popular;skilled
artist,Human Roles,BN # Bengali,VI # Vietnamese,0.0,famous;young;old;great;talented;modern;creative;new;local;popular,young;old;famous;great;modern;talented;creative;new;local;popular
artist,Human Roles,BN # Bengali,ZH # Mandarin,0.0,famous;young;old;great;talented;modern;creative;new;local;popular,young;old;famous;great;modern;talented;creative;new;local;popular
artist,Human Roles,DE # German,ES # Spanish,0.0,famous;young;old;great;modern;creative;talented;new;local;popular,famous;young;old;great;modern;creative;talented;new;local;popular
artist,Human Roles,DE # German,FA # Persian,0.0,famous;young;old;great;modern;creative;talented;new;local;popular,famous;young;old;great;modern;talented;creative;new;popular;local
artist,Human Roles,DE # German,FR # French,0.013218105,famous;young;old;great;modern;creative;talented;new;local;popular,great;famous;young;old;new;modern;creative;talented;good;local
artist,Human Roles,DE # German,GA # Irish,0.061747134,famous;young;old;great;modern;creative;talented;new;local;popular,young;old;famous;new;great;good;modern;real;true;creative
artist,Human Roles,DE # German,HE # Hebrew,0.01722455,famous;young;old;great;modern;creative;talented;new;local;popular,great;famous;young;old;new;modern;creative;talented;real;local
artist,Human Roles,DE # German,HI # Hindi,0.0,famous;young;old;great;modern;creative;talented;new;local;popular,great;famous;young;old;new;modern;creative;talented;local;popular
artist,Human Roles,DE # German,IT # Italian,0.0,famous;young;old;great;modern;creative;talented;new;local;popular,famous;young;old;great;modern;talented;creative;new;local;popular
artist,Human Roles,DE # German,JA # Japanese,0.01722467,famous;young;old;great;modern;creative;talented;new;local;popular,young;old;famous;great;new;modern;creative;talented;local;real
artist,Human Roles,DE # German,KO # Korean,0.0,famous;young;old;great;modern;creative;talented;new;local;popular,famous;young;old;great;modern;talented;creative;new;local;popular
artist,Human Roles,DE # German,LV # Latvian,0.013218105,famous;young;old;great;modern;creative;talented;new;local;popular,young;old;famous;great;new;modern;talented;creative;local;good
artist,Human Roles,DE # German,PL # Polish,0.017062724,famous;young;old;great;modern;creative;talented;new;local;popular,young;old;famous;great;good;modern;new;creative;talented;popular
artist,Human Roles,DE # German,PS # Pashto,0.0,famous;young;old;great;modern;creative;talented;new;local;popular,great;famous;young;old;modern;creative;talented;new;local;popular
artist,Human Roles,DE # German,PT # Portuguese,0.0,famous;young;old;great;modern;creative;talented;new;local;popular,young;old;famous;great;new;modern;creative;talented;local;popular
artist,Human Roles,DE # German,RU # Russian,0.03448522,famous;young;old;great;modern;creative;talented;new;local;popular,young;old;famous;great;modern;new;talented;creative;real;good
artist,Human Roles,DE # German,SQ # Albanian,0.0,famous;young;old;great;modern;creative;talented;new;local;popular,famous;young;old;great;modern;talented;creative;local;new;popular
artist,Human Roles,DE # German,SW # Swahili,0.0,famous;young;old;great;modern;creative;talented;new;local;popular,young;old;famous;great;talented;creative;modern;new;local;popular
artist,Human Roles,DE # German,TH # Thai,0.03448522,famous;young;old;great;modern;creative;talented;new;local;popular,young;old;famous;great;new;modern;creative;talented;good;real
artist,Human Roles,DE # German,TR # Turkish,0.0,famous;young;old;great;modern;creative;talented;new;local;popular,famous;young;old;great;modern;talented;creative;new;popular;local
artist,Human Roles,DE # German,UR # Urdu,0.014559984,famous;young;old;great;modern;creative;talented;new;local;popular,famous;young;old;great;modern;talented;creative;new;popular;skilled
artist,Human Roles,DE # German,VI # Vietnamese,0.0,famous;young;old;great;modern;creative;talented;new;local;popular,young;old;famous;great;modern;talented;creative;new;local;popular
artist,Human Roles,DE # German,ZH # Mandarin,0.0,famous;young;old;great;modern;creative;talented;new;local;popular,young;old;famous;great;modern;talented;creative;new;local;popular
artist,Human Roles,ES # Spanish,FA # Persian,0.0,famous;young;old;great;modern;creative;talented;new;local;popular,famous;young;old;great;modern;talented;creative;new;popular;local
artist,Human Roles,ES # Spanish,FR # French,0.013218105,famous;young;old;great;modern;creative;talented;new;local;popular,great;famous;young;old;new;modern;creative;talented;good;local
artist,Human Roles,ES # Spanish,GA # Irish,0.061747134,famous;young;old;great;modern;creative;talented;new;local;popular,young;old;famous;new;great;good;modern;real;true;creative
artist,Human Roles,ES # Spanish,HE # Hebrew,0.01722455,famous;young;old;great;modern;creative;talented;new;local;popular,great;famous;young;old;new;modern;creative;talented;real;local
artist,Human Roles,ES # Spanish,HI # Hindi,0.0,famous;young;old;great;modern;creative;talented;new;local;popular,great;famous;young;old;new;modern;creative;talented;local;popular
artist,Human Roles,ES # Spanish,IT # Italian,0.0,famous;young;old;great;modern;creative;talented;new;local;popular,famous;young;old;great;modern;talented;creative;new;local;popular
artist,Human Roles,ES # Spanish,JA # Japanese,0.01722467,famous;young;old;great;modern;creative;talented;new;local;popular,young;old;famous;great;new;modern;creative;talented;local;real
artist,Human Roles,ES # Spanish,KO # Korean,0.0,famous;young;old;great;modern;creative;talented;new;local;popular,famous;young;old;great;modern;talented;creative;new;local;popular
artist,Human Roles,ES # Spanish,LV # Latvian,0.013218105,famous;young;old;great;modern;creative;talented;new;local;popular,young;old;famous;great;new;modern;talented;creative;local;good
artist,Human Roles,ES # Spanish,PL # Polish,0.017062724,famous;young;old;great;modern;creative;talented;new;local;popular,young;old;famous;great;good;modern;new;creative;talented;popular
artist,Human Roles,ES # Spanish,PS # Pashto,0.0,famous;young;old;great;modern;creative;talented;new;local;popular,great;famous;young;old;modern;creative;talented;new;local;popular
artist,Human Roles,ES # Spanish,PT # Portuguese,0.0,famous;young;old;great;modern;creative;talented;new;local;popular,young;old;famous;great;new;modern;creative;talented;local;popular
artist,Human Roles,ES # Spanish,RU # Russian,0.03448522,famous;young;old;great;modern;creative;talented;new;local;popular,young;old;famous;great;modern;new;talented;creative;real;good
artist,Human Roles,ES # Spanish,SQ # Albanian,0.0,famous;young;old;great;modern;creative;talented;new;local;popular,famous;young;old;great;modern;talented;creative;local;new;popular
artist,Human Roles,ES # Spanish,SW # Swahili,0.0,famous;young;old;great;modern;creative;talented;new;local;popular,young;old;famous;great;talented;creative;modern;new;local;popular
artist,Human Roles,ES # Spanish,TH # Thai,0.03448522,famous;young;old;great;modern;creative;talented;new;local;popular,young;old;famous;great;new;modern;creative;talented;good;real
artist,Human Roles,ES # Spanish,TR # Turkish,0.0,famous;young;old;great;modern;creative;talented;new;local;popular,famous;young;old;great;modern;talented;creative;new;popular;local
artist,Human Roles,ES # Spanish,UR # Urdu,0.014559984,famous;young;old;great;modern;creative;talented;new;local;popular,famous;young;old;great;modern;talented;creative;new;popular;skilled
artist,Human Roles,ES # Spanish,VI # Vietnamese,0.0,famous;young;old;great;modern;creative;talented;new;local;popular,young;old;famous;great;modern;talented;creative;new;local;popular
artist,Human Roles,ES # Spanish,ZH # Mandarin,0.0,famous;young;old;great;modern;creative;talented;new;local;popular,young;old;famous;great;modern;talented;creative;new;local;popular
artist,Human Roles,FA # Persian,FR # French,0.013218105,famous;young;old;great;modern;talented;creative;new;popular;local,great;famous;young;old;new;modern;creative;talented;good;local
artist,Human Roles,FA # Persian,GA # Irish,0.061747134,famous;young;old;great;modern;talented;creative;new;popular;local,young;old;famous;new;great;good;modern;real;true;creative
artist,Human Roles,FA # Persian,HE # Hebrew,0.01722461,famous;young;old;great;modern;talented;creative;new;popular;local,great;famous;young;old;new;modern;creative;talented;real;local
artist,Human Roles,FA # Persian,HI # Hindi,0.0,famous;young;old;great;modern;talented;creative;new;popular;local,great;famous;young;old;new;modern;creative;talented;local;popular
artist,Human Roles,FA # Persian,IT # Italian,5.9604645e-08,famous;young;old;great;modern;talented;creative;new;popular;local,famous;young;old;great;modern;talented;creative;new;local;popular
artist,Human Roles,FA # Persian,JA # Japanese,0.01722461,famous;young;old;great;modern;talented;creative;new;popular;local,young;old;famous;great;new;modern;creative;talented;local;real
artist,Human Roles,FA # Persian,KO # Korean,5.9604645e-08,famous;young;old;great;modern;talented;creative;new;popular;local,famous;young;old;great;modern;talented;creative;new;local;popular
artist,Human Roles,FA # Persian,LV # Latvian,0.013218105,famous;young;old;great;modern;talented;creative;new;popular;local,young;old;famous;great;new;modern;talented;creative;local;good
artist,Human Roles,FA # Persian,PL # Polish,0.017062604,famous;young;old;great;modern;talented;creative;new;popular;local,young;old;famous;great;good;modern;new;creative;talented;popular
artist,Human Roles,FA # Persian,PS # Pashto,0.0,famous;young;old;great;modern;talented;creative;new;popular;local,great;famous;young;old;modern;creative;talented;new;local;popular
artist,Human Roles,FA # Persian,PT # Portuguese,0.0,famous;young;old;great;modern;talented;creative;new;popular;local,young;old;famous;great;new;modern;creative;talented;local;popular
artist,Human Roles,FA # Persian,RU # Russian,0.03448528,famous;young;old;great;modern;talented;creative;new;popular;local,young;old;famous;great;modern;new;talented;creative;real;good
artist,Human Roles,FA # Persian,SQ # Albanian,0.0,famous;young;old;great;modern;talented;creative;new;popular;local,famous;young;old;great;modern;talented;creative;local;new;popular
artist,Human Roles,FA # Persian,SW # Swahili,1.1920929e-07,famous;young;old;great;modern;talented;creative;new;popular;local,young;old;famous;great;talented;creative;modern;new;local;popular
artist,Human Roles,FA # Persian,TH # Thai,0.03448528,famous;young;old;great;modern;talented;creative;new;popular;local,young;old;famous;great;new;modern;creative;talented;good;real
artist,Human Roles,FA # Persian,TR # Turkish,0.0,famous;young;old;great;modern;talented;creative;new;popular;local,famous;young;old;great;modern;talented;creative;new;popular;local
artist,Human Roles,FA # Persian,UR # Urdu,0.014559984,famous;young;old;great;modern;talented;creative;new;popular;local,famous;young;old;great;modern;talented;creative;new;popular;skilled
artist,Human Roles,FA # Persian,VI # Vietnamese,0.0,famous;young;old;great;modern;talented;creative;new;popular;local,young;old;famous;great;modern;talented;creative;new;local;popular
artist,Human Roles,FA # Persian,ZH # Mandarin,0.0,famous;young;old;great;modern;talented;creative;new;popular;local,young;old;famous;great;modern;talented;creative;new;local;popular
artist,Human Roles,FR # French,GA # Irish,0.040163934,great;famous;young;old;new;modern;creative;talented;good;local,young;old;famous;new;great;good;modern;real;true;creative
artist,Human Roles,FR # French,HE # Hebrew,0.015264571,great;famous;young;old;new;modern;creative;talented;good;local,great;famous;young;old;new;modern;creative;talented;real;local
artist,Human Roles,FR # French,HI # Hindi,0.013218105,great;famous;young;old;new;modern;creative;talented;good;local,great;famous;young;old;new;modern;creative;talented;local;popular
artist,Human Roles,FR # French,IT # Italian,0.013218105,great;famous;young;old;new;modern;creative;talented;good;local,famous;young;old;great;modern;talented;creative;new;local;popular
artist,Human Roles,FR # French,JA # Japanese,0.015264571,great;famous;young;old;new;modern;creative;talented;good;local,young;old;famous;great;new;modern;creative;talented;local;real
artist,Human Roles,FR # French,KO # Korean,0.013218105,great;famous;young;old;new;modern;creative;talented;good;local,famous;young;old;great;modern;talented;creative;new;local;popular
artist,Human Roles,FR # French,LV # Latvian,0.0,great;famous;young;old;new;modern;creative;talented;good;local,young;old;famous;great;new;modern;talented;creative;local;good
artist,Human Roles,FR # French,PL # Polish,0.012093842,great;famous;young;old;new;modern;creative;talented;good;local,young;old;famous;great;good;modern;new;creative;talented;popular
artist,Human Roles,FR # French,PS # Pashto,0.013218105,great;famous;young;old;new;modern;creative;talented;good;local,great;famous;young;old;modern;creative;talented;new;local;popular
artist,Human Roles,FR # French,PT # Portuguese,0.013218105,great;famous;young;old;new;modern;creative;talented;good;local,young;old;famous;great;new;modern;creative;talented;local;popular
artist,Human Roles,FR # French,RU # Russian,0.014638901,great;famous;young;old;new;modern;creative;talented;good;local,young;old;famous;great;modern;new;talented;creative;real;good
artist,Human Roles,FR # French,SQ # Albanian,0.013218105,great;famous;young;old;new;modern;creative;talented;good;local,famous;young;old;great;modern;talented;creative;local;new;popular
artist,Human Roles,FR # French,SW # Swahili,0.013218105,great;famous;young;old;new;modern;creative;talented;good;local,young;old;famous;great;talented;creative;modern;new;local;popular
artist,Human Roles,FR # French,TH # Thai,0.014638901,great;famous;young;old;new;modern;creative;talented;good;local,young;old;famous;great;new;modern;creative;talented;good;real
artist,Human Roles,FR # French,TR # Turkish,0.013218105,great;famous;young;old;new;modern;creative;talented;good;local,famous;young;old;great;modern;talented;creative;new;popular;local
artist,Human Roles,FR # French,UR # Urdu,0.023322701,great;famous;young;old;new;modern;creative;talented;good;local,famous;young;old;great;modern;talented;creative;new;popular;skilled
artist,Human Roles,FR # French,VI # Vietnamese,0.013218105,great;famous;young;old;new;modern;creative;talented;good;local,young;old;famous;great;modern;talented;creative;new;local;popular
artist,Human Roles,FR # French,ZH # Mandarin,0.013218105,great;famous;young;old;new;modern;creative;talented;good;local,young;old;famous;great;modern;talented;creative;new;local;popular
artist,Human Roles,GA # Irish,HE # Hebrew,0.033453465,young;old;famous;new;great;good;modern;real;true;creative,great;famous;young;old;new;modern;creative;talented;real;local
artist,Human Roles,GA # Irish,HI # Hindi,0.061747134,young;old;famous;new;great;good;modern;real;true;creative,great;famous;young;old;new;modern;creative;talented;local;popular
artist,Human Roles,GA # Irish,IT # Italian,0.061747134,young;old;famous;new;great;good;modern;real;true;creative,famous;young;old;great;modern;talented;creative;new;local;popular
artist,Human Roles,GA # Irish,JA # Japanese,0.033453524,young;old;famous;new;great;good;modern;real;true;creative,young;old;famous;great;new;modern;creative;talented;local;real
artist,Human Roles,GA # Irish,KO # Korean,0.061747134,young;old;famous;new;great;good;modern;real;true;creative,famous;young;old;great;modern;talented;creative;new;local;popular
artist,Human Roles,GA # Irish,LV # Latvian,0.040163934,young;old;famous;new;great;good;modern;real;true;creative,young;old;famous;great;new;modern;talented;creative;local;good
artist,Human Roles,GA # Irish,PL # Polish,0.043788314,young;old;famous;new;great;good;modern;real;true;creative,young;old;famous;great;good;modern;new;creative;talented;popular
artist,Human Roles,GA # Irish,PS # Pashto,0.061747134,young;old;famous;new;great;good;modern;real;true;creative,great;famous;young;old;modern;creative;talented;new;local;popular
artist,Human Roles,GA # Irish,PT # Portuguese,0.061747134,young;old;famous;new;great;good;modern;real;true;creative,young;old;famous;great;new;modern;creative;talented;local;popular
artist,Human Roles,GA # Irish,RU # Russian,0.01678145,young;old;famous;new;great;good;modern;real;true;creative,young;old;famous;great;modern;new;talented;creative;real;good
artist,Human Roles,GA # Irish,SQ # Albanian,0.061747074,young;old;famous;new;great;good;modern;real;true;creative,famous;young;old;great;modern;talented;creative;local;new;popular
artist,Human Roles,GA # Irish,SW # Swahili,0.061747134,young;old;famous;new;great;good;modern;real;true;creative,young;old;famous;great;talented;creative;modern;new;local;popular
artist,Human Roles,GA # Irish,TH # Thai,0.01678145,young;old;famous;new;great;good;modern;real;true;creative,young;old;famous;great;new;modern;creative;talented;good;real
artist,Human Roles,GA # Irish,TR # Turkish,0.061747134,young;old;famous;new;great;good;modern;real;true;creative,famous;young;old;great;modern;talented;creative;new;popular;local
artist,Human Roles,GA # Irish,UR # Urdu,0.070776045,young;old;famous;new;great;good;modern;real;true;creative,famous;young;old;great;modern;talented;creative;new;popular;skilled
artist,Human Roles,GA # Irish,VI # Vietnamese,0.061747134,young;old;famous;new;great;good;modern;real;true;creative,young;old;famous;great;modern;talented;creative;new;local;popular
artist,Human Roles,GA # Irish,ZH # Mandarin,0.061747134,young;old;famous;new;great;good;modern;real;true;creative,young;old;famous;great;modern;talented;creative;new;local;popular
artist,Human Roles,HE # Hebrew,HI # Hindi,0.01722461,great;famous;young;old;new;modern;creative;talented;real;local,great;famous;young;old;new;modern;creative;talented;local;popular
artist,Human Roles,HE # Hebrew,IT # Italian,0.01722461,great;famous;young;old;new;modern;creative;talented;real;local,famous;young;old;great;modern;talented;creative;new;local;popular
artist,Human Roles,HE # Hebrew,JA # Japanese,-1.1920929e-07,great;famous;young;old;new;modern;creative;talented;real;local,young;old;famous;great;new;modern;creative;talented;local;real
artist,Human Roles,HE # Hebrew,KO # Korean,0.01722461,great;famous;young;old;new;modern;creative;talented;real;local,famous;young;old;great;modern;talented;creative;new;local;popular
artist,Human Roles,HE # Hebrew,LV # Latvian,0.01526469,great;famous;young;old;new;modern;creative;talented;real;local,young;old;famous;great;new;modern;talented;creative;local;good
artist,Human Roles,HE # Hebrew,PL # Polish,0.033334732,great;famous;young;old;new;modern;creative;talented;real;local,young;old;famous;great;good;modern;new;creative;talented;popular
artist,Human Roles,HE # Hebrew,PS # Pashto,0.01722455,great;famous;young;old;new;modern;creative;talented;real;local,great;famous;young;old;modern;creative;talented;new;local;popular
artist,Human Roles,HE # Hebrew,PT # Portuguese,0.01722455,great;famous;young;old;new;modern;creative;talented;real;local,young;old;famous;great;new;modern;creative;talented;local;popular
artist,Human Roles,HE # Hebrew,RU # Russian,0.017410815,great;famous;young;old;new;modern;creative;talented;real;local,young;old;famous;great;modern;new;talented;creative;real;good
artist,Human Roles,HE # Hebrew,SQ # Albanian,0.01722461,great;famous;young;old;new;modern;creative;talented;real;local,famous;young;old;great;modern;talented;creative;local;new;popular
artist,Human Roles,HE # Hebrew,SW # Swahili,0.01722461,great;famous;young;old;new;modern;creative;talented;real;local,young;old;famous;great;talented;creative;modern;new;local;popular
artist,Human Roles,HE # Hebrew,TH # Thai,0.017410815,great;famous;young;old;new;modern;creative;talented;real;local,young;old;famous;great;new;modern;creative;talented;good;real
artist,Human Roles,HE # Hebrew,TR # Turkish,0.01722461,great;famous;young;old;new;modern;creative;talented;real;local,famous;young;old;great;modern;talented;creative;new;popular;local
artist,Human Roles,HE # Hebrew,UR # Urdu,0.032681644,great;famous;young;old;new;modern;creative;talented;real;local,famous;young;old;great;modern;talented;creative;new;popular;skilled
artist,Human Roles,HE # Hebrew,VI # Vietnamese,0.01722455,great;famous;young;old;new;modern;creative;talented;real;local,young;old;famous;great;modern;talented;creative;new;local;popular
artist,Human Roles,HE # Hebrew,ZH # Mandarin,0.01722455,great;famous;young;old;new;modern;creative;talented;real;local,young;old;famous;great;modern;talented;creative;new;local;popular
artist,Human Roles,HI # Hindi,IT # Italian,0.0,great;famous;young;old;new;modern;creative;talented;local;popular,famous;young;old;great;modern;talented;creative;new;local;popular
artist,Human Roles,HI # Hindi,JA # Japanese,0.01722461,great;famous;young;old;new;modern;creative;talented;local;popular,young;old;famous;great;new;modern;creative;talented;local;real
artist,Human Roles,HI # Hindi,KO # Korean,0.0,great;famous;young;old;new;modern;creative;talented;local;popular,famous;young;old;great;modern;talented;creative;new;local;popular
artist,Human Roles,HI # Hindi,LV # Latvian,0.013218105,great;famous;young;old;new;modern;creative;talented;local;popular,young;old;famous;great;new;modern;talented;creative;local;good
artist,Human Roles,HI # Hindi,PL # Polish,0.017062724,great;famous;young;old;new;modern;creative;talented;local;popular,young;old;famous;great;good;modern;new;creative;talented;popular
artist,Human Roles,HI # Hindi,PS # Pashto,0.0,great;famous;young;old;new;modern;creative;talented;local;popular,great;famous;young;old;modern;creative;talented;new;local;popular
artist,Human Roles,HI # Hindi,PT # Portuguese,0.0,great;famous;young;old;new;modern;creative;talented;local;popular,young;old;famous;great;new;modern;creative;talented;local;popular
artist,Human Roles,HI # Hindi,RU # Russian,0.03448522,great;famous;young;old;new;modern;creative;talented;local;popular,young;old;famous;great;modern;new;talented;creative;real;good
artist,Human Roles,HI # Hindi,SQ # Albanian,0.0,great;famous;young;old;new;modern;creative;talented;local;popular,famous;young;old;great;modern;talented;creative;local;new;popular
artist,Human Roles,HI # Hindi,SW # Swahili,0.0,great;famous;young;old;new;modern;creative;talented;local;popular,young;old;famous;great;talented;creative;modern;new;local;popular
artist,Human Roles,HI # Hindi,TH # Thai,0.03448528,great;famous;young;old;new;modern;creative;talented;local;popular,young;old;famous;great;new;modern;creative;talented;good;real
artist,Human Roles,HI # Hindi,TR # Turkish,0.0,great;famous;young;old;new;modern;creative;talented;local;popular,famous;young;old;great;modern;talented;creative;new;popular;local
artist,Human Roles,HI # Hindi,UR # Urdu,0.014559984,great;famous;young;old;new;modern;creative;talented;local;popular,famous;young;old;great;modern;talented;creative;new;popular;skilled
artist,Human Roles,HI # Hindi,VI # Vietnamese,0.0,great;famous;young;old;new;modern;creative;talented;local;popular,young;old;famous;great;modern;talented;creative;new;local;popular
artist,Human Roles,HI # Hindi,ZH # Mandarin,0.0,great;famous;young;old;new;modern;creative;talented;local;popular,young;old;famous;great;modern;talented;creative;new;local;popular
artist,Human Roles,IT # Italian,JA # Japanese,0.01722467,famous;young;old;great;modern;talented;creative;new;local;popular,young;old;famous;great;new;modern;creative;talented;local;real
artist,Human Roles,IT # Italian,KO # Korean,5.9604645e-08,famous;young;old;great;modern;talented;creative;new;local;popular,famous;young;old;great;modern;talented;creative;new;local;popular
artist,Human Roles,IT # Italian,LV # Latvian,0.013218105,famous;young;old;great;modern;talented;creative;new;local;popular,young;old;famous;great;new;modern;talented;creative;local;good
artist,Human Roles,IT # Italian,PL # Polish,0.017062724,famous;young;old;great;modern;talented;creative;new;local;popular,young;old;famous;great;good;modern;new;creative;talented;popular
artist,Human Roles,IT # Italian,PS # Pashto,0.0,famous;young;old;great;modern;talented;creative;new;local;popular,great;famous;young;old;modern;creative;talented;new;local;popular
