Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Abstract Concepts,anger,intense;fiery;uncontrollable;deep;burning;fierce;raw;bitter;sudden;suppressed
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Human Roles,soldier,brave;disciplined;loyal;tough;dedicated;fearless;strong;honorable;resilient;determined
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Human Roles,teacher,patient;inspiring;dedicated;knowledgeable;caring;strict;supportive;wise;enthusiastic;approachable
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Human Roles,writer,creative;imaginative;eloquent;prolific;insightful;passionate;thoughtful;witty;introspective;skilled
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Inanimate Objects,book,thick;thin;old;new;engaging;boring;hardcover;paperback;classic;modern
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Inanimate Objects,bridge,sturdy;old;wooden;steel;long;narrow;iconic;suspended;arched;historic
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Inanimate Objects,drums,loud;rhythmic;powerful;deep;tribal;resonant;beaten;polished;traditional;electric
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Inanimate Objects,earth,vast;ancient;fertile;blue;fragile;living;rotating;rich;diverse;sacred
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Inanimate Objects,flute,delicate;melodic;silver;wooden;soft;high-pitched;elegant;ancient;slender;haunting
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Inanimate Objects,key,old;rusty;shiny;small;golden;important;mysterious;spare;heavy;ornate
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Inanimate Objects,knife,sharp;dull;serrated;long;short;rusty;shiny;dangerous;utility;curved
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Inanimate Objects,lock,secure;rusty;old;heavy;broken;sturdy;brass;tiny;complex;reliable
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Inanimate Objects,moon,full;crescent;bright;pale;mysterious;distant;glowing;silvery;haunting;serene
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Inanimate Objects,pen,black;blue;fine;cheap;expensive;leaky;smooth;elegant;plastic;fountain
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Inanimate Objects,sun,bright;warm;blazing;golden;radiant;hot;setting;rising;blinding;powerful
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Inanimate Objects,sword,sharp;ancient;heavy;gleaming;deadly;ornate;legendary;rusty;ceremonial;forged
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Neutral Animals,cat,fluffy;sleek;playful;curious;lazy;independent;affectionate;sneaky;elegant;mischievous
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Neutral Animals,dog,loyal;friendly;energetic;protective;playful;obedient;furry;gentle;smart;loving
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Neutral Animals,dolphin,intelligent;playful;sleek;friendly;graceful;social;curious;swift;acrobatic;charming
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Neutral Animals,elephant,massive;gentle;wise;strong;gray;majestic;slow;powerful;intelligent;protective
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Neutral Animals,hamster,tiny;cute;furry;active;shy;cuddly;small;playful;nocturnal;curious
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Neutral Animals,monkey,playful;curious;agile;mischievous;clever;social;noisy;wild;energetic;cheeky
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Neutral Animals,mouse,small;timid;quick;sneaky;tiny;gray;quiet;scurrying;cute;delicate
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Neutral Animals,peacock,colorful;proud;vibrant;majestic;beautiful;elegant;striking;ornate;showy;regal
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Neutral Animals,rabbit,soft;fluffy;quick;timid;cute;hopping;gentle;small;white;alert
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Neutral Animals,shark,fierce;powerful;sleek;dangerous;predatory;swift;deadly;gray;massive;terrifying
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Neutral Animals,snake,slithery;venomous;long;scaly;silent;dangerous;coiled;sleek;deadly;deceptive
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Neutral Animals,whale,massive;gentle;majestic;enormous;deep;powerful;graceful;mysterious;singing;migratory
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Places,city,bustling;crowded;modern;historic;noisy;vibrant;sprawling;urban;busy;diverse
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Places,desert,arid;vast;hot;barren;sandy;dry;harsh;endless;quiet;desolate
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Places,forest,dense;green;ancient;dark;lush;mysterious;quiet;thick;wild;enchanted
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Places,island,tropical;remote;small;beautiful;isolated;sandy;lush;volcanic;serene;uninhabited
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Places,lake,calm;clear;deep;blue;serene;still;cold;reflective;vast;tranquil
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Places,mountain,tall;rugged;snowy;steep;majestic;rocky;towering;ancient;imposing;breathtaking
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Places,ocean,vast;deep;blue;wild;endless;powerful;mysterious;turbulent;calm;salty
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Places,plain,flat;vast;open;grassy;barren;wide;endless;quiet;fertile;expansive
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Places,plateau,high;flat;vast;rocky;elevated;barren;wide;remote;rugged;scenic
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Places,river,winding;wide;deep;swift;calm;muddy;clear;long;powerful;serene
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Places,valley,green;deep;narrow;fertile;quiet;lush;scenic;hidden;peaceful;sheltered
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Places,village,small;quiet;quaint;rural;friendly;remote;traditional;peaceful;charming;tight-knit
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Plants,cactus,spiky;green;tall;desert;tough;prickly;hardy;dry;unique;resilient
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Plants,eggplant,purple;shiny;smooth;fresh;firm;bitter;oval;ripe;healthy;versatile
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Plants,flower,beautiful;colorful;fragrant;delicate;bright;blooming;soft;vibrant;lovely;fresh
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Plants,grass,green;lush;soft;tall;thick;fresh;wet;dry;short;wild
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Plants,lettuce,crisp;green;fresh;leafy;tender;healthy;light;crunchy;raw;vibrant
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Plants,mushroom,earthy;soft;white;brown;edible;wild;small;fleshy;delicate;savory
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Plants,onion,sharp;pungent;white;yellow;raw;sweet;strong;layered;fresh;chopped
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Plants,pepper,spicy;hot;red;green;sweet;fresh;bold;fiery;crisp;vibrant
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Plants,potato,starchy;brown;fresh;raw;boiled;mashed;roasted;firm;hearty;versatile
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Plants,rose,red;pink;fragrant;beautiful;delicate;thorny;elegant;romantic;blooming;classic
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Plants,tomato,red;ripe;juicy;fresh;sweet;tangy;round;firm;plump;vibrant
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Plants,tree,tall;old;sturdy;green;leafy;ancient;strong;shady;majestic;sprawling
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Social Relationships,ally,loyal;trusted;supportive;reliable;close;steadfast;helpful;dependable;friendly;committed
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Social Relationships,brother,loving;protective;annoying;close;supportive;older;younger;loyal;funny;caring
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Social Relationships,enemy,dangerous;hostile;bitter;cunning;relentless;powerful;deceptive;hated;formidable;ruthless
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Social Relationships,father,loving;strict;supportive;wise;caring;protective;strong;kind;hardworking;dependable
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Social Relationships,follower,loyal;dedicated;eager;supportive;obedient;enthusiastic;trusting;committed;devoted;admiring
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Social Relationships,friend,close;loyal;funny;kind;supportive;trusted;caring;reliable;lifelong;dear
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Social Relationships,leader,strong;charismatic;inspiring;decisive;confident;visionary;bold;respected;influential;determined
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Social Relationships,mother,loving;nurturing;caring;strict;supportive;gentle;strong;wise;protective;selfless
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Social Relationships,partner,loving;supportive;equal;trusted;reliable;close;committed;understanding;loyal;compatible
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Social Relationships,rival,fierce;competitive;challenging;tough;bitter;determined;aggressive;formidable;persistent;envious
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Social Relationships,sister,loving;annoying;supportive;close;caring;protective;funny;loyal;sweet;helpful
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Social Relationships,stranger,mysterious;unknown;unfamiliar;distant;curious;suspicious;odd;random;unexpected;intriguing
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Spatial Concepts,above,high;elevated;overhead;superior;towering;lofty;upper;skyward;dominant;prominent
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Spatial Concepts,back,rear;hind;posterior;hidden;behind;distant;remote;trailing;secondary;supportive
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Spatial Concepts,below,lower;beneath;underneath;inferior;submerged;underground;bottom;lesser;hidden;deep
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Spatial Concepts,east,eastern;oriental;rising;distant;cultural;ancient;exotic;warm;vibrant;historic
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Spatial Concepts,front,forward;leading;primary;main;visible;prominent;foremost;initial;central;bold
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Spatial Concepts,inside,inner;internal;hidden;enclosed;private;deep;secret;confined;sheltered;intimate
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Spatial Concepts,left,western;remaining;liberal;odd;stray;abandoned;sideways;awkward;unconventional;spare
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Spatial Concepts,north,cold;polar;upper;distant;rugged;harsh;remote;chilly;northern;wild
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Spatial Concepts,outside,external;outer;exposed;public;open;distant;foreign;peripheral;surface;visible
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Spatial Concepts,right,correct;proper;eastern;conservative;just;accurate;fitting;moral;precise;suitable
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Spatial Concepts,south,warm;southern;tropical;lower;sunny;humid;vibrant;exotic;coastal;relaxed
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Spatial Concepts,west,western;frontier;modern;progressive;distant;wild;innovative;cultural;adventurous;pioneering
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Time Concepts,century,past;new;old;modern;ancient;specific;turning;historic;pivotal;defining
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Time Concepts,day,sunny;rainy;long;short;busy;lazy;bright;gloomy;warm;cold
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Time Concepts,evening,quiet;cool;dark;peaceful;late;relaxing;calm;twilight;serene;pleasant
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Time Concepts,hour,late;early;long;short;busy;quiet;critical;fleeting;golden;rushed
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Time Concepts,minute,quick;brief;fleeting;short;crucial;last;precise;tense;hurried;exact
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Time Concepts,month,long;short;busy;quiet;cold;warm;rainy;dry;festive;dreary
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Time Concepts,morning,early;bright;fresh;cool;quiet;sunny;foggy;crisp;peaceful;rushed
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Time Concepts,night,dark;quiet;late;long;cold;starry;silent;eerie;peaceful;restless
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Time Concepts,season,warm;cold;wet;dry;festive;harsh;mild;changing;favorite;transitional
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Time Concepts,second,quick;brief;fleeting;critical;last;precise;short;tense;split;exact
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Time Concepts,week,busy;long;short;hectic;quiet;stressful;productive;relaxing;eventful;routine
grok-3,english-monolingual,0.0,FR # French,B1,most frequent,Time Concepts,year,past;new;long;short;memorable;challenging;successful;difficult;transformative;historic
grok-3,english-monolingual,0.0,FR # French,B2,most frequent,Abstract Concepts,anger,intense;burning;fierce;uncontrollable;deep;raw;bitter;sudden;suppressed;righteous
grok-3,english-monolingual,0.0,FR # French,B2,most frequent,Abstract Concepts,courage,bold;fearless;brave;heroic;daring;steadfast;valiant;resolute;unwavering;admirable
grok-3,english-monolingual,0.0,FR # French,B2,most frequent,Abstract Concepts,fear,overwhelming;paralyzing;chilling;deep-seated;irrational;haunting;gripping;primal;lingering;unspoken
grok-3,english-monolingual,0.0,FR # French,B2,most frequent,Abstract Concepts,freedom,absolute;cherished;hard-won;liberating;boundless;precious;fundamental;exhilarating;true;enduring
grok-3,english-monolingual,0.0,FR # French,B2,most frequent,Abstract Concepts,happiness,pure;radiant;infectious;genuine;lasting;simple;profound;unexpected;blissful;heartfelt
grok-3,english-monolingual,0.0,FR # French,B2,most frequent,Abstract Concepts,hate,venomous;consuming;blind;bitter;relentless;toxic;deep-rooted;unspoken;destructive;passionate
grok-3,english-monolingual,0.0,FR # French,B2,most frequent,Abstract Concepts,honesty,brutal;refreshing;unwavering;sincere;raw;admirable;rare;complete;transparent;steadfast
grok-3,english-monolingual,0.0,FR # French,B2,most frequent,Abstract Concepts,justice,fair;impartial;righteous;overdue;hard-fought;blind;swift;moral;absolute;restorative
grok-3,english-monolingual,0.0,FR # French,B2,most frequent,Abstract Concepts,knowledge,vast;deep;profound;practical;essential;ancient;specialized;invaluable;shared;growing
grok-3,english-monolingual,0.0,FR # French,B2,most frequent,Abstract Concepts,love,unconditional;passionate;tender;eternal;selfless;romantic;enduring;fierce;gentle;true
grok-3,english-monolingual,0.0,FR # French,B2,most frequent,Abstract Concepts,peace,serene;lasting;fragile;inner;quiet;harmonious;elusive;profound;global;calming
grok-3,english-monolingual,0.0,FR # French,B2,most frequent,Abstract Concepts,wisdom,timeless;profound;hard-earned;insightful;ancient;practical;quiet;deep;guiding;invaluable
grok-3,english-monolingual,0.0,FR # French,B2,most frequent,Cultural Artifacts,bell,loud;clear;resonant;melodic;antique;brass;tiny;ceremonial;warning;cheerful
grok-3,english-monolingual,0.0,FR # French,B2,most frequent,Cultural Artifacts,candle,flickering;warm;scented;delicate;glowing;tall;decorative;calming;soft;handmade
grok-3,english-monolingual,0.0,FR # French,B2,most frequent,Cultural Artifacts,carpet,plush;soft;colorful;worn;thick;elegant;patterned;cozy;luxurious;vintage
grok-3,english-monolingual,0.0,FR # French,B2,most frequent,Cultural Artifacts,coin,shiny;old;rare;valuable;small;silver;gold;worn;collectible;ancient
grok-3,english-monolingual,0.0,FR # French,B2,most frequent,Cultural Artifacts,crown,golden;jeweled;regal;heavy;ornate;ancient;symbolic;majestic;royal;ceremonial
grok-3,english-monolingual,0.0,FR # French,B2,most frequent,Cultural Artifacts,flag,national;vibrant;tattered;proud;waving;symbolic;colorful;historic;bold;iconic
grok-3,english-monolingual,0.0,FR # French,B2,most frequent,Cultural Artifacts,mask,mysterious;eerie;colorful;intricate;hidden;ceremonial;frightening;decorative;traditional;protective
grok-3,english-monolingual,0.0,FR # French,B2,most frequent,Cultural Artifacts,necklace,delicate;elegant;sparkling;vintage;gold;silver;beaded;heirloom;simple;ornate
grok-3,english-monolingual,0.0,FR # French,B2,most frequent,Cultural Artifacts,painting,beautiful;abstract;vivid;classic;detailed;expressive;modern;haunting;colorful;timeless
grok-3,english-monolingual,0.0,FR # French,B2,most frequent,Cultural Artifacts,ring,shiny;golden;diamond;simple;elegant;antique;engraved;precious;silver;ornate
grok-3,english-monolingual,0.0,FR # French,B2,most frequent,Cultural Artifacts,statue,towering;ancient;marble;bronze;majestic;detailed;weathered;iconic;commemorative;imposing
grok-3,english-monolingual,0.0,FR # French,B2,most frequent,Cultural Artifacts,vase,delicate;ceramic;ornate;tall;antique;floral;fragile;elegant;painted;classic
grok-3,english-monolingual,0.0,FR # French,B2,most frequent,Environmental Phenomena,cloud,fluffy;dark;white;ominous;wispy;towering;gray;soft;drifting;heavy
grok-3,english-monolingual,0.0,FR # French,B2,most frequent,Environmental Phenomena,earthquake,devastating;powerful;sudden;terrifying;destructive;massive;violent;unexpected;catastrophic;rumbling
grok-3,english-monolingual,0.0,FR # French,B2,most frequent,Environmental Phenomena,fog,thick;eerie;dense;mysterious;cold;enveloping;gray;silent;creeping;blinding
grok-3,english-monolingual,0.0,FR # French,B2,most frequent,Environmental Phenomena,lightning,bright;jagged;sudden;powerful;electric;striking;dangerous;vivid;intense;fleeting
grok-3,english-monolingual,0.0,FR # French,B2,most frequent,Environmental Phenomena,rain,gentle;heavy;steady;cold;refreshing;relentless;drizzling;torrential;soft;cleansing
grok-3,english-monolingual,0.0,FR # French,B2,most frequent,Environmental Phenomena,rainbow,vibrant;colorful;beautiful;rare;magical;fleeting;bright;arched;stunning;hopeful
grok-3,english-monolingual,0.0,FR # French,B2,most frequent,Environmental Phenomena,snow,soft;white;powdery;cold;heavy;glistening;fresh;silent;thick;falling
grok-3,english-monolingual,0.0,FR # French,B2,most frequent,Environmental Phenomena,storm,fierce;violent;raging;dark;powerful;sudden;destructive;howling;intense;brewing
grok-3,english-monolingual,0.0,FR # French,B2,most frequent,Environmental Phenomena,thunder,loud;booming;rolling;deep;startling;ominous;distant;powerful;echoing;menacing
grok-3,english-monolingual,0.0,FR # French,B2,most frequent,Environmental Phenomena,tide,high;low;strong;relentless;incoming;outgoing;powerful;calm;rhythmic;unpredictable
grok-3,english-monolingual,0.0,FR # French,B2,most frequent,Environmental Phenomena,volcano,active;dormant;fiery;massive;dangerous;erupting;ancient;towering;destructive;smoldering
