Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Abstract Concepts,anger,intense;fiery;uncontrollable;deep;burning;fierce;raw;bitter;sudden;suppressed
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Cultural Artifacts,ring,shiny;golden;diamond;simple;engraved;antique;wedding;silver;ornate;precious
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Cultural Artifacts,statue,towering;ancient;marble;bronze;majestic;weathered;detailed;iconic;commemorative;imposing
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Cultural Artifacts,vase,delicate;ceramic;tall;ornate;antique;floral;cracked;elegant;decorative;fragile
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Environmental Phenomena,cloud,fluffy;dark;white;ominous;wispy;thick;drifting;towering;gray;soft
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Environmental Phenomena,earthquake,devastating;powerful;sudden;terrifying;destructive;massive;violent;unexpected;catastrophic;rumbling
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Environmental Phenomena,fog,thick;eerie;dense;mysterious;cold;creeping;heavy;obscuring;silent;ghostly
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Environmental Phenomena,lightning,bright;jagged;sudden;powerful;electric;blinding;fierce;dramatic;dangerous;striking
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Environmental Phenomena,rain,gentle;heavy;steady;cold;refreshing;torrential;light;persistent;drizzling;soothing
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Environmental Phenomena,rainbow,vibrant;colorful;beautiful;rare;magical;bright;fleeting;arched;stunning;vivid
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Environmental Phenomena,snow,soft;white;heavy;powdery;fresh;cold;silent;thick;falling;pristine
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Environmental Phenomena,storm,fierce;violent;raging;dark;powerful;sudden;destructive;howling;intense;brewing
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Environmental Phenomena,thunder,loud;booming;rolling;distant;powerful;startling;deep;ominous;echoing;rumbling
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Environmental Phenomena,tide,high;low;strong;incoming;outgoing;relentless;powerful;calm;shifting;dangerous
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Environmental Phenomena,volcano,active;dormant;explosive;massive;fiery;ancient;dangerous;towering;smoking;destructive
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Environmental Phenomena,wind,strong;gusty;cold;warm;gentle;howling;brisk;relentless;swirling;biting
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Food Items,apple,red;green;crisp;juicy;sweet;tart;fresh;shiny;ripe;firm
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Food Items,banana,yellow;ripe;soft;sweet;curved;fresh;tropical;mushy;spotted;peeled
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Food Items,beef,tender;juicy;lean;grilled;rare;cooked;savory;marbled;fresh;seasoned
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Food Items,bread,fresh;crusty;soft;warm;homemade;sliced;stale;whole-grain;toasted;fluffy
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Food Items,broccoli,green;fresh;crisp;tender;steamed;raw;healthy;vibrant;bitter;nutritious
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Food Items,cheese,sharp;creamy;aged;melted;soft;hard;tangy;mild;stinky;grated
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Food Items,chicken,roasted;grilled;tender;juicy;fried;spicy;lean;cooked;savory;marinated
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Food Items,egg,fresh;boiled;fried;scrambled;raw;white;brown;cracked;soft;hard-boiled
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Food Items,fish,fresh;grilled;raw;flaky;oily;smoked;salty;tender;cooked;wild
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Food Items,pasta,al dente;soft;fresh;homemade;creamy;cheesy;spicy;saucy;boiled;twirled
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Food Items,rice,white;brown;sticky;fluffy;steamed;cooked;plain;seasoned;fragrant;long-grain
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Food Items,soup,hot;creamy;hearty;clear;savory;spicy;homemade;comforting;thick;brothy
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Human Roles,artist,talented;creative;innovative;passionate;eccentric;visionary;skilled;struggling;famous;inspired
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Human Roles,athlete,strong;fast;dedicated;competitive;skilled;disciplined;agile;powerful;determined;injured
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Human Roles,chef,skilled;creative;passionate;innovative;busy;professional;meticulous;talented;renowned;experimental
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Human Roles,doctor,compassionate;skilled;dedicated;busy;experienced;caring;knowledgeable;trusted;patient;overworked
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Human Roles,engineer,innovative;skilled;analytical;creative;precise;dedicated;technical;brilliant;practical;resourceful
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Human Roles,farmer,hardworking;dedicated;rugged;patient;knowledgeable;early-rising;resilient;rural;tough;resourceful
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Human Roles,lawyer,sharp;persuasive;dedicated;aggressive;experienced;cunning;ethical;busy;articulate;expensive
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Human Roles,musician,talented;passionate;creative;skilled;dedicated;expressive;struggling;famous;versatile;inspired
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Human Roles,scientist,curious;brilliant;dedicated;analytical;innovative;meticulous;groundbreaking;focused;experimental;knowledgeable
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Human Roles,soldier,brave;disciplined;loyal;tough;dedicated;heroic;hardened;resilient;honorable;battle-worn
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Human Roles,teacher,patient;inspiring;dedicated;knowledgeable;strict;caring;supportive;creative;overworked;wise
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Human Roles,writer,creative;talented;prolific;struggling;insightful;imaginative;dedicated;reclusive;published;eloquent
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Inanimate Objects,book,old;new;thick;thin;worn;engaging;boring;hardcover;paperback;fascinating
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Inanimate Objects,bridge,old;sturdy;long;narrow;suspension;wooden;iconic;rusty;modern;arched
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Inanimate Objects,drums,loud;rhythmic;powerful;tribal;worn;polished;booming;resonant;beaten;dynamic
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Inanimate Objects,earth,vast;ancient;fertile;fragile;blue;living;scarred;rotating;precious;diverse
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Inanimate Objects,flute,delicate;melodic;silver;wooden;soft;ancient;shrill;elegant;haunting;small
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Inanimate Objects,key,old;rusty;shiny;small;golden;important;lost;spare;heavy;mysterious
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Inanimate Objects,knife,sharp;dull;rusty;serrated;small;dangerous;kitchen;pocket;gleaming;worn
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Inanimate Objects,lock,sturdy;old;rusty;secure;broken;heavy;tiny;complicated;antique;reliable
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Inanimate Objects,moon,full;crescent;bright;pale;mysterious;distant;glowing;silvery;haunting;beautiful
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Inanimate Objects,pen,black;blue;old;fancy;cheap;leaking;smooth;scratchy;elegant;worn
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Inanimate Objects,sun,bright;warm;blazing;golden;rising;setting;hot;radiant;blinding;powerful
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Inanimate Objects,sword,sharp;ancient;heavy;gleaming;rusty;legendary;deadly;ornate;battle-worn;ceremonial
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Neutral Animals,cat,fluffy;sleek;curious;lazy;playful;independent;sneaky;affectionate;aloof;agile
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Neutral Animals,dog,loyal;friendly;energetic;protective;playful;obedient;furry;loud;gentle;eager
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Neutral Animals,dolphin,playful;intelligent;sleek;friendly;graceful;curious;social;swift;charming;acrobatic
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Neutral Animals,elephant,massive;gentle;wise;gray;powerful;majestic;slow;wrinkled;endangered;loyal
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Neutral Animals,hamster,tiny;cute;fluffy;active;shy;curious;small;cuddly;nocturnal;energetic
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Neutral Animals,monkey,playful;curious;agile;mischievous;loud;social;clever;wild;energetic;cheeky
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Neutral Animals,mouse,tiny;shy;quick;sneaky;small;quiet;timid;gray;cute;scurrying
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Neutral Animals,peacock,colorful;proud;majestic;vibrant;beautiful;elegant;striking;ornate;loud;showy
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Neutral Animals,rabbit,fluffy;cute;timid;quick;soft;white;wild;gentle;hopping;small
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Neutral Animals,shark,fierce;powerful;sleek;dangerous;predatory;swift;deadly;gray;massive;feared
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Neutral Animals,snake,slithery;venomous;sleek;dangerous;quiet;long;coiled;scaly;deadly;elusive
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Neutral Animals,whale,massive;gentle;majestic;blue;enormous;powerful;graceful;deep-diving;endangered;singing
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Places,city,bustling;crowded;modern;noisy;vibrant;sprawling;historic;busy;urban;diverse
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Places,desert,vast;arid;hot;barren;sandy;harsh;empty;dry;endless;scorching
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Places,forest,dense;green;ancient;dark;lush;mysterious;quiet;thick;wild;enchanted
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Places,island,remote;tropical;small;beautiful;isolated;rocky;lush;deserted;volcanic;serene
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Places,lake,calm;clear;deep;blue;still;cold;serene;reflective;vast;tranquil
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Places,mountain,tall;rugged;snowy;majestic;steep;rocky;towering;ancient;imposing;breathtaking
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Places,ocean,vast;deep;blue;wild;endless;powerful;mysterious;turbulent;calm;salty
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Places,plain,vast;flat;open;grassy;barren;wide;endless;quiet;fertile;expansive
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Places,plateau,high;flat;vast;rocky;barren;elevated;wide;remote;rugged;windswept
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Places,river,winding;wide;deep;calm;rushing;clear;muddy;long;powerful;serene
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Places,valley,deep;green;narrow;fertile;quiet;hidden;lush;scenic;steep;peaceful
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Places,village,small;quiet;quaint;remote;friendly;rural;traditional;peaceful;charming;tight-knit
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Plants,cactus,spiky;green;tall;desert;tough;prickly;hardy;dry;unique;resilient
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Plants,eggplant,purple;shiny;smooth;fresh;firm;bitter;oval;cooked;raw;versatile
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Plants,flower,beautiful;colorful;fragrant;delicate;bright;blooming;fresh;wild;tiny;vibrant
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Plants,grass,green;lush;tall;short;wet;dry;soft;thick;fresh;dewy
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Plants,lettuce,crisp;green;fresh;leafy;tender;raw;healthy;light;crunchy;vibrant
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Plants,mushroom,earthy;small;brown;white;edible;wild;soft;spongy;toxic;savory
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Plants,onion,sharp;pungent;raw;sweet;white;yellow;red;strong;layered;cooked
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Plants,pepper,spicy;hot;red;green;sweet;fresh;mild;fiery;crunchy;bold
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Plants,potato,brown;starchy;firm;soft;baked;fried;mashed;fresh;hearty;versatile
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Plants,rose,red;pink;fragrant;beautiful;delicate;thorny;blooming;elegant;romantic;classic
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Plants,tomato,red;ripe;juicy;fresh;sweet;tangy;round;firm;soft;versatile
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Plants,tree,tall;old;green;sturdy;leafy;ancient;bare;thick;majestic;sprawling
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Social Relationships,ally,loyal;trusted;supportive;reliable;close;valuable;steadfast;helpful;dependable;strategic
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Social Relationships,brother,loving;protective;annoying;close;supportive;older;younger;loyal;funny;dependable
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Social Relationships,enemy,fierce;dangerous;bitter;relentless;cunning;hated;powerful;deceptive;formidable;sworn
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Social Relationships,father,loving;strict;supportive;wise;protective;caring;hardworking;stern;gentle;proud
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Social Relationships,follower,loyal;dedicated;eager;obedient;supportive;enthusiastic;trusting;devoted;admiring;dependent
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Social Relationships,friend,close;loyal;funny;kind;supportive;trusted;lifelong;caring;reliable;honest
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Social Relationships,leader,strong;inspiring;confident;decisive;charismatic;wise;bold;respected;visionary;authoritative
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Social Relationships,mother,loving;nurturing;caring;strict;supportive;gentle;strong;protective;wise;selfless
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Social Relationships,partner,loyal;supportive;loving;equal;trusted;reliable;compatible;caring;committed;understanding
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Social Relationships,rival,fierce;competitive;challenging;bitter;determined;aggressive;formidable;persistent;jealous;worthy
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Social Relationships,sister,loving;annoying;supportive;close;protective;funny;caring;older;younger;loyal
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Social Relationships,stranger,mysterious;unknown;distant;unfamiliar;suspicious;quiet;odd;random;passing;curious
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Spatial Concepts,above,high;elevated;overhead;superior;towering;lofty;upper;distant;prominent;soaring
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Spatial Concepts,back,rear;hind;behind;posterior;hidden;distant;trailing;supportive;aching;broad
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Spatial Concepts,below,lower;beneath;underneath;inferior;submerged;hidden;deep;underground;lesser;sunken
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Spatial Concepts,east,distant;rising;oriental;far;cultural;ancient;exotic;warm;remote;traditional
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Spatial Concepts,front,forward;leading;ahead;primary;visible;prominent;main;open;bold;central
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Spatial Concepts,inside,inner;internal;hidden;enclosed;private;deep;secret;confined;cozy;sheltered
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Spatial Concepts,left,remaining;abandoned;western;liberal;odd;stray;awkward;unused;sidelined;progressive
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Spatial Concepts,north,cold;distant;upper;polar;remote;harsh;chilly;rugged;northernmost;wild
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Spatial Concepts,outside,external;outer;exposed;public;distant;foreign;wild;open;unfamiliar;peripheral
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Spatial Concepts,right,correct;proper;eastern;conservative;just;accurate;fitting;moral;immediate;suitable
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Spatial Concepts,south,warm;lower;tropical;distant;sunny;southernmost;humid;exotic;rural;inviting
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Spatial Concepts,west,distant;wild;frontier;modern;progressive;setting;far;cultural;open;adventurous
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Time Concepts,century,past;new;old;modern;ancient;turning;significant;historic;long;pivotal
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Time Concepts,day,long;short;busy;sunny;rainy;quiet;hectic;special;ordinary;memorable
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Time Concepts,evening,quiet;cool;late;dark;peaceful;relaxing;romantic;calm;twilight;pleasant
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Time Concepts,hour,long;short;late;early;busy;quiet;critical;fleeting;precious;rushed
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Time Concepts,minute,quick;brief;fleeting;short;last;crucial;passing;tense;exact;hurried
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Time Concepts,month,long;short;busy;cold;warm;rainy;quiet;eventful;current;past
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Time Concepts,morning,early;bright;cool;quiet;fresh;sunny;busy;peaceful;crisp;new
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Time Concepts,night,dark;late;quiet;long;cold;starry;sleepless;eerie;calm;endless
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Time Concepts,season,warm;cold;rainy;dry;festive;changing;favorite;harsh;mild;transitional
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Time Concepts,second,quick;brief;fleeting;critical;last;passing;split;precise;tense;momentary
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Time Concepts,week,long;short;busy;quiet;hectic;eventful;stressful;relaxing;productive;memorable
grok-3,english-monolingual,0.0,RU # Russian,B1,most frequent,Time Concepts,year,long;short;eventful;challenging;successful;memorable;tough;new;past;significant
grok-3,english-monolingual,0.0,RU # Russian,B2,most frequent,Abstract Concepts,anger,intense;burning;fierce;raw;deep;uncontrollable;bitter;sudden;suppressed;righteous
grok-3,english-monolingual,0.0,RU # Russian,B2,most frequent,Abstract Concepts,courage,bold;fearless;brave;heroic;daring;steadfast;valiant;resolute;unwavering;admirable
grok-3,english-monolingual,0.0,RU # Russian,B2,most frequent,Abstract Concepts,fear,overwhelming;paralyzing;chilling;deep-seated;irrational;haunting;primal;lingering;acute;unspoken
grok-3,english-monolingual,0.0,RU # Russian,B2,most frequent,Abstract Concepts,freedom,absolute;cherished;hard-won;liberating;boundless;precious;fundamental;exhilarating;true;enduring
grok-3,english-monolingual,0.0,RU # Russian,B2,most frequent,Abstract Concepts,happiness,pure;radiant;infectious;genuine;lasting;simple;profound;unexpected;blissful;heartfelt
grok-3,english-monolingual,0.0,RU # Russian,B2,most frequent,Abstract Concepts,hate,venomous;consuming;blind;bitter;relentless;toxic;ingrained;passionate;destructive;unspoken
grok-3,english-monolingual,0.0,RU # Russian,B2,most frequent,Abstract Concepts,honesty,brutal;refreshing;unwavering;sincere;raw;admirable;rare;complete;transparent;steadfast
grok-3,english-monolingual,0.0,RU # Russian,B2,most frequent,Abstract Concepts,justice,fair;impartial;swift;righteous;overdue;hard-fought;blind;moral;restorative;uncompromising
grok-3,english-monolingual,0.0,RU # Russian,B2,most frequent,Abstract Concepts,knowledge,vast;deep;profound;extensive;practical;specialized;ancient;invaluable;shared;growing
grok-3,english-monolingual,0.0,RU # Russian,B2,most frequent,Abstract Concepts,love,unconditional;passionate;tender;eternal;selfless;romantic;deep;enduring;genuine;protective
grok-3,english-monolingual,0.0,RU # Russian,B2,most frequent,Abstract Concepts,peace,serene;lasting;fragile;inner;quiet;harmonious;elusive;profound;global;calming
grok-3,english-monolingual,0.0,RU # Russian,B2,most frequent,Abstract Concepts,wisdom,timeless;profound;hard-earned;insightful;ancient;practical;quiet;deep;guiding;invaluable
grok-3,english-monolingual,0.0,RU # Russian,B2,most frequent,Cultural Artifacts,bell,loud;clear;resonant;golden;antique;small;melodic;heavy;ornate;classic
grok-3,english-monolingual,0.0,RU # Russian,B2,most frequent,Cultural Artifacts,candle,flickering;warm;scented;tall;delicate;glowing;handmade;soft;romantic;dim
grok-3,english-monolingual,0.0,RU # Russian,B2,most frequent,Cultural Artifacts,carpet,plush;soft;colorful;thick;worn;elegant;patterned;luxurious;old;cozy
grok-3,english-monolingual,0.0,RU # Russian,B2,most frequent,Cultural Artifacts,coin,shiny;old;rare;silver;small;valuable;ancient;worn;commemorative;copper
grok-3,english-monolingual,0.0,RU # Russian,B2,most frequent,Cultural Artifacts,crown,golden;jeweled;royal;heavy;ornate;ancient;majestic;ceremonial;glittering;symbolic
grok-3,english-monolingual,0.0,RU # Russian,B2,most frequent,Cultural Artifacts,flag,national;colorful;waving;proud;tattered;iconic;bold;historic;vibrant;symbolic
grok-3,english-monolingual,0.0,RU # Russian,B2,most frequent,Cultural Artifacts,mask,mysterious;intricate;colorful;eerie;traditional;hidden;painted;ceremonial;dark;elaborate
grok-3,english-monolingual,0.0,RU # Russian,B2,most frequent,Cultural Artifacts,necklace,delicate;elegant;sparkling;silver;beaded;antique;long;precious;ornate;simple
grok-3,english-monolingual,0.0,RU # Russian,B2,most frequent,Cultural Artifacts,painting,beautiful;vivid;abstract;classic;detailed;expressive;old;stunning;colorful;haunting
grok-3,english-monolingual,0.0,RU # Russian,B2,most frequent,Cultural Artifacts,ring,golden;diamond;simple;elegant;antique;engraved;shiny;small;precious;ornate
grok-3,english-monolingual,0.0,RU # Russian,B2,most frequent,Cultural Artifacts,statue,towering;ancient;marble;majestic;detailed;weathered;iconic;bronze;grand;solemn
grok-3,english-monolingual,0.0,RU # Russian,B2,most frequent,Cultural Artifacts,vase,delicate;ceramic;tall;ornate;antique;floral;fragile;elegant;painted;slender
grok-3,english-monolingual,0.0,RU # Russian,B2,most frequent,Environmental Phenomena,cloud,fluffy;dark;white;heavy;drifting;ominous;light;thick;wispy;towering
grok-3,english-monolingual,0.0,RU # Russian,B2,most frequent,Environmental Phenomena,earthquake,powerful;devastating;sudden;violent;terrifying;massive;destructive;unexpected;catastrophic;rumbling
grok-3,english-monolingual,0.0,RU # Russian,B2,most frequent,Environmental Phenomena,fog,thick;eerie;dense;mysterious;cold;heavy;silent;creeping;gray;obscuring
grok-3,english-monolingual,0.0,RU # Russian,B2,most frequent,Environmental Phenomena,lightning,bright;jagged;sudden;powerful;striking;electric;fierce;blinding;dramatic;dangerous
grok-3,english-monolingual,0.0,RU # Russian,B2,most frequent,Environmental Phenomena,rain,gentle;heavy;steady;cold;refreshing;relentless;soft;drizzling;torrential;calming
grok-3,english-monolingual,0.0,RU # Russian,B2,most frequent,Environmental Phenomena,rainbow,vibrant;colorful;beautiful;rare;magical;bright;fleeting;arched;stunning;vivid
grok-3,english-monolingual,0.0,RU # Russian,B2,most frequent,Environmental Phenomena,snow,soft;white;heavy;powdery;fresh;cold;silent;thick;glistening;falling
