Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
o3-mini,basic,1.0,DE # German,B1,most frequent,Abstract Concepts,anger,strong;hot;deep;quick;wild;heavy;bitter;raw;fierce;sudden
o3-mini,basic,1.0,DE # German,B1,most frequent,Environmental Phenomena,lightning,bright;fast;strong;clear;quick;real;sharp;hot;wild;pure
o3-mini,basic,1.0,DE # German,B1,most frequent,Environmental Phenomena,rain,soft;cold;wet;strong;heavy;deep;real;clear;quick;low
o3-mini,basic,1.0,DE # German,B1,most frequent,Environmental Phenomena,rainbow,bright;clear;full;real;neat;fine;pure;deep;true;wide
o3-mini,basic,1.0,DE # German,B1,most frequent,Environmental Phenomena,snow,white;soft;cold;light;deep;pure;real;high;slow;calm
o3-mini,basic,1.0,DE # German,B1,most frequent,Environmental Phenomena,storm,strong;big;wild;dark;heavy;fast;real;deep;high;loud
o3-mini,basic,1.0,DE # German,B1,most frequent,Environmental Phenomena,thunder,loud;deep;strong;big;fast;dark;sharp;real;sudden;wild
o3-mini,basic,1.0,DE # German,B1,most frequent,Environmental Phenomena,tide,high;low;strong;deep;real;clear;long;old;sudden;calm
o3-mini,basic,1.0,DE # German,B1,most frequent,Environmental Phenomena,volcano,big;hot;real;strong;dark;deep;fierce;old;bold;wild
o3-mini,basic,1.0,DE # German,B1,most frequent,Environmental Phenomena,wind,strong;cold;light;soft;deep;real;clear;fast;high;wild
o3-mini,basic,1.0,DE # German,B1,most frequent,Food Items,apple,red;green;small;round;sweet;good;fresh;ripe;bright;juicy
o3-mini,basic,1.0,DE # German,B1,most frequent,Food Items,banana,yellow;long;sweet;good;ripe;soft;fresh;small;curved;bright
o3-mini,basic,1.0,DE # German,B1,most frequent,Food Items,beef,red;good;fresh;raw;soft;lean;rich;strong;big;tasty
o3-mini,basic,1.0,DE # German,B1,most frequent,Food Items,bread,fresh;soft;good;warm;brown;light;round;old;nice;tasty
o3-mini,basic,1.0,DE # German,B1,most frequent,Food Items,broccoli,green;fresh;good;small;raw;neat;bright;tasty;healthy;clean
o3-mini,basic,1.0,DE # German,B1,most frequent,Food Items,cheese,white;yellow;good;old;rich;soft;fresh;round;tasty;mild
o3-mini,basic,1.0,DE # German,B1,most frequent,Food Items,chicken,good;fresh;hot;small;raw;neat;tasty;lean;rich;soft
o3-mini,basic,1.0,DE # German,B1,most frequent,Food Items,egg,small;white;raw;good;round;fresh;neat;hard;soft;yellow
o3-mini,basic,1.0,DE # German,B1,most frequent,Food Items,fish,fresh;small;good;raw;wet;light;neat;soft;bright;clean
o3-mini,basic,1.0,DE # German,B1,most frequent,Food Items,pasta,long;hot;good;plain;soft;neat;fresh;round;light;thin
o3-mini,basic,1.0,DE # German,B1,most frequent,Food Items,rice,small;white;good;neat;plain;soft;hot;real;light;fine
o3-mini,basic,1.0,DE # German,B1,most frequent,Food Items,soup,hot;good;fresh;clear;deep;neat;soft;warm;light;real
o3-mini,basic,1.0,DE # German,B1,most frequent,Human Roles,artist,good;kind;smart;true;brave;neat;strong;deep;real;nice
o3-mini,basic,1.0,DE # German,B1,most frequent,Human Roles,athlete,strong;fast;good;brave;neat;firm;bold;quick;real;hard
o3-mini,basic,1.0,DE # German,B1,most frequent,Human Roles,chef,good;neat;smart;kind;brave;real;strong;warm;clear;fine
o3-mini,basic,1.0,DE # German,B1,most frequent,Human Roles,doctor,good;kind;smart;brave;neat;true;firm;real;warm;clear
o3-mini,basic,1.0,DE # German,B1,most frequent,Human Roles,engineer,good;smart;neat;strong;brave;clear;real;kind;true;fine
o3-mini,basic,1.0,DE # German,B1,most frequent,Human Roles,farmer,good;strong;kind;hard;neat;brave;real;true;simple;deep
o3-mini,basic,1.0,DE # German,B1,most frequent,Human Roles,lawyer,good;smart;clear;strong;true;neat;kind;real;firm;brave
o3-mini,basic,1.0,DE # German,B1,most frequent,Human Roles,musician,good;kind;smart;strong;neat;brave;real;warm;clear;fine
o3-mini,basic,1.0,DE # German,B1,most frequent,Human Roles,scientist,good;smart;real;neat;clear;true;brave;strong;deep;kind
o3-mini,basic,1.0,DE # German,B1,most frequent,Human Roles,soldier,brave;strong;good;neat;true;firm;real;bold;quick;hard
o3-mini,basic,1.0,DE # German,B1,most frequent,Human Roles,teacher,good;kind;smart;true;neat;strong;real;brave;clear;warm
o3-mini,basic,1.0,DE # German,B1,most frequent,Human Roles,writer,good;smart;neat;true;kind;real;deep;clear;brave;simple
o3-mini,basic,1.0,DE # German,B1,most frequent,Inanimate Objects,book,old;good;neat;clear;true;deep;real;plain;small;bright
o3-mini,basic,1.0,DE # German,B1,most frequent,Inanimate Objects,bridge,long;big;strong;good;old;firm;neat;clear;real;wide
o3-mini,basic,1.0,DE # German,B1,most frequent,Inanimate Objects,drums,loud;big;strong;real;deep;quick;bold;true;neat;fast
o3-mini,basic,1.0,DE # German,B1,most frequent,Inanimate Objects,earth,big;old;round;real;good;deep;clear;strong;high;warm
o3-mini,basic,1.0,DE # German,B1,most frequent,Inanimate Objects,flute,small;clear;soft;neat;good;pure;high;real;bright;thin
o3-mini,basic,1.0,DE # German,B1,most frequent,Inanimate Objects,key,small;old;clear;real;good;neat;fine;round;simple;pure
o3-mini,basic,1.0,DE # German,B1,most frequent,Inanimate Objects,knife,sharp;good;strong;real;clear;small;hard;neat;bright;old
o3-mini,basic,1.0,DE # German,B1,most frequent,Inanimate Objects,lock,small;strong;good;old;neat;tight;real;clear;firm;safe
o3-mini,basic,1.0,DE # German,B1,most frequent,Inanimate Objects,moon,bright;round;old;clear;full;soft;high;real;white;calm
o3-mini,basic,1.0,DE # German,B1,most frequent,Inanimate Objects,pen,small;neat;good;clear;real;fine;dark;old;bright;thin
o3-mini,basic,1.0,DE # German,B1,most frequent,Inanimate Objects,sun,big;bright;hot;strong;clear;real;round;warm;good;high
o3-mini,basic,1.0,DE # German,B1,most frequent,Inanimate Objects,sword,sharp;strong;old;bright;real;clear;good;neat;bold;firm
o3-mini,basic,1.0,DE # German,B1,most frequent,Neutral Animals,cat,small;cute;soft;neat;good;quick;kind;clear;real;warm
o3-mini,basic,1.0,DE # German,B1,most frequent,Neutral Animals,dog,small;cute;good;loyal;kind;fast;neat;real;strong;brave
o3-mini,basic,1.0,DE # German,B1,most frequent,Neutral Animals,dolphin,small;smart;kind;real;good;fast;clear;neat;cool;friendly
o3-mini,basic,1.0,DE # German,B1,most frequent,Neutral Animals,elephant,big;strong;old;kind;real;good;slow;neat;firm;tall
o3-mini,basic,1.0,DE # German,B1,most frequent,Neutral Animals,hamster,small;cute;neat;soft;kind;real;light;mild;warm;tiny
o3-mini,basic,1.0,DE # German,B1,most frequent,Neutral Animals,monkey,small;quick;smart;kind;good;neat;playful;real;high;funny
o3-mini,basic,1.0,DE # German,B1,most frequent,Neutral Animals,mouse,small;cute;quick;soft;good;neat;real;mild;tiny;light
o3-mini,basic,1.0,DE # German,B1,most frequent,Neutral Animals,peacock,bright;beautiful;neat;good;real;fine;clear;small;bold;royal
o3-mini,basic,1.0,DE # German,B1,most frequent,Neutral Animals,rabbit,small;cute;soft;quick;good;neat;kind;real;light;calm
o3-mini,basic,1.0,DE # German,B1,most frequent,Neutral Animals,shark,big;strong;fierce;real;dark;fast;rough;wild;good;bold
o3-mini,basic,1.0,DE # German,B1,most frequent,Neutral Animals,snake,long;small;slim;real;dark;quick;good;cold;neat;smooth
o3-mini,basic,1.0,DE # German,B1,most frequent,Neutral Animals,whale,big;huge;strong;old;deep;real;calm;good;slow;white
o3-mini,basic,1.0,DE # German,B1,most frequent,Places,city,big;busy;loud;old;modern;clear;real;neat;wide;good
o3-mini,basic,1.0,DE # German,B1,most frequent,Places,desert,hot;dry;big;clear;real;old;long;pure;harsh;wide
o3-mini,basic,1.0,DE # German,B1,most frequent,Places,forest,big;green;deep;old;clear;real;calm;dark;neat;thick
o3-mini,basic,1.0,DE # German,B1,most frequent,Places,island,small;green;old;clear;real;calm;warm;pure;neat;round
o3-mini,basic,1.0,DE # German,B1,most frequent,Places,lake,big;deep;clear;blue;calm;still;old;good;real;pure
o3-mini,basic,1.0,DE # German,B1,most frequent,Places,mountain,big;high;old;steep;clear;deep;real;strong;pure;bold
o3-mini,basic,1.0,DE # German,B1,most frequent,Places,ocean,big;deep;blue;strong;wild;clear;real;vast;pure;calm
o3-mini,basic,1.0,DE # German,B1,most frequent,Places,plain,wide;flat;open;soft;real;old;pure;neat;calm;long
o3-mini,basic,1.0,DE # German,B1,most frequent,Places,plateau,high;flat;old;clear;real;strong;wide;good;neat;calm
o3-mini,basic,1.0,DE # German,B1,most frequent,Places,river,long;deep;clear;fast;wide;good;real;slow;blue;pure
o3-mini,basic,1.0,DE # German,B1,most frequent,Places,valley,deep;long;green;clear;quiet;old;real;wide;soft;calm
o3-mini,basic,1.0,DE # German,B1,most frequent,Places,village,small;quiet;old;neat;real;good;simple;clear;warm;friendly
o3-mini,basic,1.0,DE # German,B1,most frequent,Plants,cactus,small;green;sharp;real;old;neat;good;clear;stiff;dry
o3-mini,basic,1.0,DE # German,B1,most frequent,Plants,eggplant,big;purple;fresh;good;soft;neat;real;dark;clear;raw
o3-mini,basic,1.0,DE # German,B1,most frequent,Plants,flower,small;bright;red;sweet;good;fresh;neat;real;pure;nice
o3-mini,basic,1.0,DE # German,B1,most frequent,Plants,grass,green;soft;small;fresh;good;neat;real;clear;pure;light
o3-mini,basic,1.0,DE # German,B1,most frequent,Plants,lettuce,green;fresh;small;good;neat;real;soft;clear;pure;light
o3-mini,basic,1.0,DE # German,B1,most frequent,Plants,mushroom,small;brown;good;real;neat;soft;fresh;clear;wild;old
o3-mini,basic,1.0,DE # German,B1,most frequent,Plants,onion,small;white;strong;raw;good;neat;real;fresh;clear;bold
o3-mini,basic,1.0,DE # German,B1,most frequent,Plants,pepper,red;hot;small;good;neat;real;fresh;clear;pure;bold
o3-mini,basic,1.0,DE # German,B1,most frequent,Plants,potato,brown;big;good;raw;soft;neat;real;fresh;clear;simple
o3-mini,basic,1.0,DE # German,B1,most frequent,Plants,rose,red;small;bright;good;soft;neat;real;pure;sweet;nice
o3-mini,basic,1.0,DE # German,B1,most frequent,Plants,tomato,red;round;fresh;good;small;neat;soft;real;clear;sweet
o3-mini,basic,1.0,DE # German,B1,most frequent,Plants,tree,big;tall;old;green;strong;real;clear;good;neat;wide
o3-mini,basic,1.0,DE # German,B1,most frequent,Social Relationships,ally,true;good;kind;real;brave;firm;neat;clear;strong;loyal
o3-mini,basic,1.0,DE # German,B1,most frequent,Social Relationships,brother,good;kind;real;true;brave;neat;strong;warm;nice;close
o3-mini,basic,1.0,DE # German,B1,most frequent,Social Relationships,enemy,bad;strong;fierce;dark;real;mean;sharp;cold;quick;cruel
o3-mini,basic,1.0,DE # German,B1,most frequent,Social Relationships,father,old;good;strong;kind;real;true;brave;neat;warm;wise
o3-mini,basic,1.0,DE # German,B1,most frequent,Social Relationships,follower,loyal;good;kind;true;neat;real;close;brave;clear;strong
o3-mini,basic,1.0,DE # German,B1,most frequent,Social Relationships,friend,good;kind;true;close;neat;real;warm;brave;nice;happy
o3-mini,basic,1.0,DE # German,B1,most frequent,Social Relationships,leader,strong;true;good;brave;real;kind;neat;smart;clear;bold
o3-mini,basic,1.0,DE # German,B1,most frequent,Social Relationships,mother,old;good;kind;true;strong;warm;neat;real;brave;wise
o3-mini,basic,1.0,DE # German,B1,most frequent,Social Relationships,partner,good;kind;true;close;real;neat;warm;smart;brave;clear
o3-mini,basic,1.0,DE # German,B1,most frequent,Social Relationships,rival,strong;real;true;bold;good;fierce;sharp;clear;fast;big
o3-mini,basic,1.0,DE # German,B1,most frequent,Social Relationships,sister,good;kind;true;neat;real;warm;close;brave;smart;sweet
o3-mini,basic,1.0,DE # German,B1,most frequent,Social Relationships,stranger,new;unknown;good;real;true;neat;clear;fair;kind;small
o3-mini,basic,1.0,DE # German,B1,most frequent,Spatial Concepts,above,high;clear;true;open;big;neat;real;light;deep;pure
o3-mini,basic,1.0,DE # German,B1,most frequent,Spatial Concepts,back,strong;clear;good;true;neat;real;big;old;kind;deep
o3-mini,basic,1.0,DE # German,B1,most frequent,Spatial Concepts,below,low;deep;clear;good;real;neat;small;true;plain;soft
o3-mini,basic,1.0,DE # German,B1,most frequent,Spatial Concepts,east,old;good;clear;true;neat;real;warm;bright;pure;calm
o3-mini,basic,1.0,DE # German,B1,most frequent,Spatial Concepts,front,clear;neat;good;strong;true;real;bright;bold;simple;plain
o3-mini,basic,1.0,DE # German,B1,most frequent,Spatial Concepts,inside,clear;real;good;true;neat;small;warm;soft;deep;open
o3-mini,basic,1.0,DE # German,B1,most frequent,Spatial Concepts,left,good;neat;real;true;clear;small;kind;strong;bright;bold
o3-mini,basic,1.0,DE # German,B1,most frequent,Spatial Concepts,north,cold;clear;real;true;good;neat;high;dark;strong;pure
o3-mini,basic,1.0,DE # German,B1,most frequent,Spatial Concepts,outside,open;clear;good;real;true;neat;bright;bold;big;wide
o3-mini,basic,1.0,DE # German,B1,most frequent,Spatial Concepts,right,good;clear;real;true;neat;smart;kind;strong;bright;solid
o3-mini,basic,1.0,DE # German,B1,most frequent,Spatial Concepts,south,warm;clear;real;good;true;neat;kind;bright;strong;pure
o3-mini,basic,1.0,DE # German,B1,most frequent,Spatial Concepts,west,old;clear;real;good;true;neat;strong;bold;bright;pure
o3-mini,basic,1.0,DE # German,B1,most frequent,Time Concepts,century,old;long;real;clear;good;strong;true;neat;far;big
o3-mini,basic,1.0,DE # German,B1,most frequent,Time Concepts,day,long;bright;good;clear;warm;real;neat;true;big;fresh
o3-mini,basic,1.0,DE # German,B1,most frequent,Time Concepts,evening,dark;cool;good;clear;real;neat;soft;calm;true;warm
o3-mini,basic,1.0,DE # German,B1,most frequent,Time Concepts,hour,short;long;clear;neat;real;true;good;brief;quiet;small
o3-mini,basic,1.0,DE # German,B1,most frequent,Time Concepts,minute,small;short;clear;neat;real;true;good;quick;brief;tiny
o3-mini,basic,1.0,DE # German,B1,most frequent,Time Concepts,month,long;short;good;clear;neat;real;true;big;old;new
o3-mini,basic,1.0,DE # German,B1,most frequent,Time Concepts,morning,bright;clear;good;real;early;neat;true;warm;soft;calm
o3-mini,basic,1.0,DE # German,B1,most frequent,Time Concepts,night,dark;quiet;clear;good;real;true;neat;deep;cool;calm
o3-mini,basic,1.0,DE # German,B1,most frequent,Time Concepts,season,good;long;short;clear;real;true;neat;old;new;warm
o3-mini,basic,1.0,DE # German,B1,most frequent,Time Concepts,second,short;quick;small;clear;neat;real;true;good;fast;brief
o3-mini,basic,1.0,DE # German,B1,most frequent,Time Concepts,week,long;short;good;clear;neat;real;true;old;new;busy
o3-mini,basic,1.0,DE # German,B1,most frequent,Time Concepts,year,long;big;good;clear;real;true;old;new;neat;strong
o3-mini,basic,1.0,DE # German,B2,most frequent,Abstract Concepts,anger,strong;intense;deep;sudden;fierce;boiling;burning;hidden;raw;uncontrollable
o3-mini,basic,1.0,DE # German,B2,most frequent,Abstract Concepts,courage,brave;strong;true;bold;clear;deep;quiet;steadfast;real;steady
o3-mini,basic,1.0,DE # German,B2,most frequent,Abstract Concepts,fear,intense;deep;strong;real;sudden;constant;hidden;overwhelming;awful;frightening
o3-mini,basic,1.0,DE # German,B2,most frequent,Abstract Concepts,freedom,absolute;complete;true;basic;natural;free;clear;simple;universal;secure
o3-mini,basic,1.0,DE # German,B2,most frequent,Abstract Concepts,happiness,deep;pure;true;strong;great;lasting;constant;bright;simple;joyful
o3-mini,basic,1.0,DE # German,B2,most frequent,Abstract Concepts,hate,intense;deep;strong;bitter;raw;fierce;sudden;dangerous;overwhelming;hard
o3-mini,basic,1.0,DE # German,B2,most frequent,Abstract Concepts,honesty,true;deep;pure;sincere;direct;open;clear;frank;real;simple
o3-mini,basic,1.0,DE # German,B2,most frequent,Abstract Concepts,justice,fair;true;strong;clear;deep;honest;complete;simple;real;equal
o3-mini,basic,1.0,DE # German,B2,most frequent,Abstract Concepts,knowledge,deep;broad;clear;true;strong;complete;basic;real;valuable;wide
o3-mini,basic,1.0,DE # German,B2,most frequent,Abstract Concepts,love,true;deep;real;strong;lasting;pure;warm;tender;sweet;clear
o3-mini,basic,1.0,DE # German,B2,most frequent,Abstract Concepts,peace,calm;deep;quiet;true;lasting;pure;clear;soft;gentle;complete
o3-mini,basic,1.0,DE # German,B2,most frequent,Abstract Concepts,wisdom,deep;true;pure;real;old;strong;great;clear;simple;gentle
o3-mini,basic,1.0,DE # German,B2,most frequent,Cultural Artifacts,bell,small;loud;clear;old;pretty;round;heavy;bright;soft;shiny
o3-mini,basic,1.0,DE # German,B2,most frequent,Cultural Artifacts,candle,small;bright;soft;warm;clear;old;pure;gentle;short;simple
o3-mini,basic,1.0,DE # German,B2,most frequent,Cultural Artifacts,carpet,soft;thick;colorful;warm;heavy;clean;simple;old;neat;flat
o3-mini,basic,1.0,DE # German,B2,most frequent,Cultural Artifacts,coin,small;round;shiny;old;bright;simple;hard;metallic;cheap;rare
o3-mini,basic,1.0,DE # German,B2,most frequent,Cultural Artifacts,crown,golden;royal;high;big;strong;bright;old;shiny;pure;proud
o3-mini,basic,1.0,DE # German,B2,most frequent,Cultural Artifacts,flag,red;blue;bright;small;big;bold;clear;simple;old;proud
o3-mini,basic,1.0,DE # German,B2,most frequent,Cultural Artifacts,mask,old;pale;dark;plain;simple;white;clear;bright;thin;cheap
o3-mini,basic,1.0,DE # German,B2,most frequent,Cultural Artifacts,necklace,small;pretty;bright;golden;blue;clear;old;simple;soft;neat
o3-mini,basic,1.0,DE # German,B2,most frequent,Cultural Artifacts,painting,old;bright;clear;deep;true;simple;rich;bold;real;pretty
o3-mini,basic,1.0,DE # German,B2,most frequent,Cultural Artifacts,ring,small;round;bright;pure;simple;old;clear;neat;thin;golden
o3-mini,basic,1.0,DE # German,B2,most frequent,Cultural Artifacts,statue,big;old;strong;clear;real;simple;pure;bright;solid;noble
o3-mini,basic,1.0,DE # German,B2,most frequent,Cultural Artifacts,vase,small;old;clear;bright;simple;round;blue;neat;pure;elegant
o3-mini,basic,1.0,DE # German,B2,most frequent,Environmental Phenomena,cloud,white;soft;big;dark;light;fluffy;high;low;nice;grey
o3-mini,basic,1.0,DE # German,B2,most frequent,Environmental Phenomena,earthquake,big;strong;sudden;deep;heavy;real;hard;fierce;violent;rare
o3-mini,basic,1.0,DE # German,B2,most frequent,Environmental Phenomena,fog,thick;low;heavy;soft;deep;dull;cool;gray;dense;slow
o3-mini,basic,1.0,DE # German,B2,most frequent,Environmental Phenomena,lightning,bright;quick;sudden;strong;clear;sharp;fast;fierce;pure;vivid
o3-mini,basic,1.0,DE # German,B2,most frequent,Environmental Phenomena,rain,wet;heavy;soft;light;cold;warm;clear;strong;slow;fresh
o3-mini,basic,1.0,DE # German,B2,most frequent,Environmental Phenomena,rainbow,bright;clear;colorful;soft;real;high;pure;neat;long;rare
o3-mini,basic,1.0,DE # German,B2,most frequent,Environmental Phenomena,snow,white;soft;cold;light;heavy;deep;fresh;pure;thick;gentle
o3-mini,basic,1.0,DE # German,B2,most frequent,Environmental Phenomena,storm,big;strong;heavy;dark;wild;quick;deep;fierce;loud;cold
o3-mini,basic,1.0,DE # German,B2,most frequent,Environmental Phenomena,thunder,loud;deep;strong;quick;heavy;clear;big;fierce;dark;long
o3-mini,basic,1.0,DE # German,B2,most frequent,Environmental Phenomena,tide,high;low;strong;deep;clear;rough;calm;steady;wet;regular
o3-mini,basic,1.0,DE # German,B2,most frequent,Environmental Phenomena,volcano,big;hot;strong;deep;old;active;fierce;dangerous;sudden;tall
o3-mini,basic,1.0,DE # German,B2,most frequent,Environmental Phenomena,wind,strong;soft;cold;warm;wild;quick;heavy;deep;clear;fresh
o3-mini,basic,1.0,DE # German,B2,most frequent,Food Items,apple,red;big;small;sweet;fresh;ripe;good;juicy;soft;round
o3-mini,basic,1.0,DE # German,B2,most frequent,Food Items,banana,yellow;ripe;long;sweet;soft;good;fresh;small;tasty;bright
o3-mini,basic,1.0,DE # German,B2,most frequent,Food Items,beef,red;raw;fresh;strong;juicy;tender;firm;lean;thick;tasty
o3-mini,basic,1.0,DE # German,B2,most frequent,Food Items,bread,fresh;soft;good;warm;brown;white;tasty;simple;hard;rich
o3-mini,basic,1.0,DE # German,B2,most frequent,Food Items,broccoli,green;fresh;good;raw;firm;small;healthy;tasty;bright;crisp
o3-mini,basic,1.0,DE # German,B2,most frequent,Food Items,cheese,soft;hard;fresh;good;tasty;old;rich;sharp;smooth;mild
o3-mini,basic,1.0,DE # German,B2,most frequent,Food Items,chicken,fresh;cooked;good;raw;tasty;light;lean;simple;small;warm
o3-mini,basic,1.0,DE # German,B2,most frequent,Food Items,egg,small;fresh;raw;white;good;hard;soft;oval;pure;light
o3-mini,basic,1.0,DE # German,B2,most frequent,Food Items,fish,fresh;raw;good;tasty;small;big;light;strong;soft;wild
o3-mini,basic,1.0,DE # German,B2,most frequent,Food Items,pasta,cooked;warm;good;soft;long;tasty;simple;rich;fresh;plain
o3-mini,basic,1.0,DE # German,B2,most frequent,Food Items,rice,white;small;good;fresh;soft;plain;firm;light;cooked;tasty
o3-mini,basic,1.0,DE # German,B2,most frequent,Food Items,soup,hot;warm;good;fresh;deep;rich;soft;tasty;clear;simple
o3-mini,basic,1.0,DE # German,B2,most frequent,Human Roles,artist,creative;smart;good;kind;deep;real;strong;quiet;brave;true
o3-mini,basic,1.0,DE # German,B2,most frequent,Human Roles,athlete,strong;fast;good;brave;tough;quick;smart;active;real;fit
o3-mini,basic,1.0,DE # German,B2,most frequent,Human Roles,chef,good;smart;creative;kind;neat;strong;brave;clear;real;quick
o3-mini,basic,1.0,DE # German,B2,most frequent,Human Roles,doctor,good;kind;smart;careful;strong;real;true;brave;nice;clear
o3-mini,basic,1.0,DE # German,B2,most frequent,Human Roles,engineer,smart;good;strong;clear;real;kind;brave;deep;quick;neat
o3-mini,basic,1.0,DE # German,B2,most frequent,Human Roles,farmer,hardworking;good;strong;kind;real;brave;simple;deep;smart;rural
o3-mini,basic,1.0,DE # German,B2,most frequent,Human Roles,lawyer,smart;careful;good;strong;brave;deep;clear;fair;neat;real
o3-mini,basic,1.0,DE # German,B2,most frequent,Human Roles,musician,creative;good;deep;strong;kind;brave;smart;clear;true;neat
o3-mini,basic,1.0,DE # German,B2,most frequent,Human Roles,scientist,smart;good;deep;clear;strong;real;true;kind;brave;careful
o3-mini,basic,1.0,DE # German,B2,most frequent,Human Roles,soldier,brave;strong;tough;smart;good;true;clear;steady;real;bold
o3-mini,basic,1.0,DE # German,B2,most frequent,Human Roles,teacher,kind;smart;good;clear;strong;deep;true;real;patient;brave
o3-mini,basic,1.0,DE # German,B2,most frequent,Human Roles,writer,creative;good;kind;smart;deep;true;real;clear;old;neat
o3-mini,basic,1.0,DE # German,B2,most frequent,Inanimate Objects,book,old;thick;good;clear;deep;simple;interesting;long;small;heavy
o3-mini,basic,1.0,DE # German,B2,most frequent,Inanimate Objects,bridge,long;strong;good;old;high;clear;deep;wide;simple;safe
o3-mini,basic,1.0,DE # German,B2,most frequent,Inanimate Objects,drums,loud;strong;deep;good;fast;clear;big;bright;raw;heavy
o3-mini,basic,1.0,DE # German,B2,most frequent,Inanimate Objects,earth,old;big;round;pure;deep;real;natural;strong;rich;warm
o3-mini,basic,1.0,DE # German,B2,most frequent,Inanimate Objects,flute,small;soft;clear;good;bright;thin;pure;neat;deep;gentle
o3-mini,basic,1.0,DE # German,B2,most frequent,Inanimate Objects,key,small;old;good;clear;bright;simple;heavy;real;plain;neat
o3-mini,basic,1.0,DE # German,B2,most frequent,Inanimate Objects,knife,sharp;strong;good;old;clear;bright;hard;real;simple;dangerous
o3-mini,basic,1.0,DE # German,B2,most frequent,Inanimate Objects,lock,old;strong;good;tight;clear;simple;heavy;real;safe;dark
o3-mini,basic,1.0,DE # German,B2,most frequent,Inanimate Objects,moon,big;bright;clear;old;round;pure;deep;calm;high;soft
o3-mini,basic,1.0,DE # German,B2,most frequent,Inanimate Objects,pen,small;good;neat;clear;bright;old;simple;thin;smooth;real
