Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,anger,strong;deep;hot;fierce;burning;sudden;wild;bitter;constant;raw
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Places,mountain,big;high;old;strong;real;deep;good;clear;pure;tall
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Places,ocean,big;deep;blue;real;good;wild;high;strong;clear;pure
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Places,plain,big;wide;flat;real;good;clear;old;neat;pure;bright
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Places,plateau,high;flat;old;big;strong;real;good;clear;pure;wide
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Places,river,long;deep;clear;real;old;good;strong;pure;high;wild
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Places,valley,deep;low;wide;real;old;good;clear;pure;high;calm
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Places,village,small;old;neat;real;good;clear;strong;pure;high;quiet
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Plants,cactus,green;sharp;small;good;real;prickly;deep;old;clear;pure
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Plants,eggplant,purple;small;good;fresh;real;pure;clear;bright;old;soft
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Plants,flower,small;bright;red;good;clear;pure;real;fresh;nice;sweet
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Plants,grass,green;small;good;real;pure;soft;neat;clear;fine;fresh
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Plants,lettuce,green;fresh;good;small;real;pure;clear;neat;raw;clean
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Plants,mushroom,small;brown;good;fresh;real;pure;deep;old;neat;soft
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Plants,onion,small;white;strong;real;good;fresh;pure;sharp;raw;clear
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Plants,pepper,red;hot;good;small;real;pure;clear;fresh;bold;strong
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Plants,potato,brown;big;good;real;soft;pure;clear;old;round;raw
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Plants,rose,red;sweet;good;bright;real;pure;soft;small;fresh;nice
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Plants,tomato,red;round;good;fresh;real;pure;bright;soft;nice;sweet
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Plants,tree,big;old;green;strong;real;good;high;clear;pure;tall
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Social Relationships,ally,true;good;kind;brave;real;strong;clear;bold;firm;pure
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Social Relationships,brother,good;kind;strong;real;true;old;young;neat;close;dear
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Social Relationships,enemy,bad;cruel;strong;real;dark;mean;fierce;wild;harsh;cold
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Social Relationships,father,old;good;strong;kind;real;true;wise;close;neat;brave
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Social Relationships,follower,good;true;kind;real;strong;neat;bold;close;simple;young
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Social Relationships,friend,good;kind;true;real;close;neat;bold;warm;young;nice
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Social Relationships,leader,strong;true;good;bold;kind;real;smart;brave;clear;neat
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Social Relationships,mother,old;good;kind;real;true;warm;neat;close;calm;brave
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Social Relationships,partner,good;close;kind;true;real;strong;neat;bold;clear;friendly
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Social Relationships,rival,strong;bad;real;bold;fierce;true;clear;tough;hard;wild
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Social Relationships,sister,good;kind;true;real;close;neat;old;young;warm;dear
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Social Relationships,stranger,bad;new;real;unknown;kind;true;clear;neat;dark;cold
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Spatial Concepts,above,high;clear;real;bright;true;good;fine;pure;neat;open
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Spatial Concepts,back,strong;real;good;firm;clear;tight;neat;high;pure;hard
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Spatial Concepts,below,low;deep;real;good;clear;pure;strong;fine;neat;dark
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Spatial Concepts,east,good;real;pure;bright;high;clear;strong;old;neat;warm
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Spatial Concepts,front,clear;strong;real;good;bold;neat;high;true;pure;open
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Spatial Concepts,inside,deep;clear;real;good;warm;pure;strong;neat;bright;calm
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Spatial Concepts,left,small;good;real;clear;pure;neat;strong;fine;bright;true
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Spatial Concepts,north,cold;high;clear;strong;real;good;pure;neat;bright;true
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Spatial Concepts,outside,open;wide;clear;real;good;strong;bright;neat;pure;high
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Spatial Concepts,right,true;clear;good;strong;real;neat;pure;bold;firm;bright
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Spatial Concepts,south,warm;high;clear;good;real;pure;strong;neat;bright;kind
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Spatial Concepts,west,old;clear;real;good;strong;high;pure;neat;bright;wide
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Time Concepts,century,old;long;great;real;good;high;clear;pure;deep;famous
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Time Concepts,day,long;bright;good;clear;real;warm;high;pure;simple;fine
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Time Concepts,evening,dark;calm;good;clear;real;cool;quiet;warm;pure;soft
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Time Concepts,hour,short;long;good;clear;real;high;pure;quick;fine;simple
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Time Concepts,minute,small;short;good;clear;real;quick;pure;fine;neat;light
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Time Concepts,month,long;good;real;clear;old;high;pure;bright;fine;cool
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Time Concepts,morning,bright;good;clear;real;warm;pure;fresh;high;calm;early
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Time Concepts,night,dark;long;good;deep;quiet;real;pure;still;cool;calm
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Time Concepts,season,good;long;real;clear;old;high;pure;warm;cool;fine
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Time Concepts,second,short;good;clear;real;quick;fine;pure;neat;small;fast
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Time Concepts,week,long;good;real;clear;fine;pure;high;neat;old;bright
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Time Concepts,year,long;good;old;real;clear;high;pure;fine;great;bright
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Abstract Concepts,anger,intense;powerful;strong;quick;deep;burning;fierce;loud;raw;bitter
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Abstract Concepts,courage,brave;bold;strong;heroic;determined;noble;fearless;steadfast;daring;valiant
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Abstract Concepts,fear,intense;deep;sudden;overwhelming;constant;strong;dark;eerie;cold;sharp
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Abstract Concepts,freedom,absolute;true;complete;free;vast;open;pure;simple;independent;natural
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Abstract Concepts,happiness,joyful;bright;warm;sweet;calm;deep;true;full;pleasant;clear
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Abstract Concepts,hate,intense;deep;strong;bitter;cold;sharp;harsh;fierce;powerful;severe
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Abstract Concepts,honesty,clear;true;open;frank;pure;simple;sincere;direct;plain;fair
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Abstract Concepts,justice,true;fair;equal;strict;complete;right;firm;solid;clear;proper
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Abstract Concepts,knowledge,deep;broad;vast;true;clear;sound;solid;basic;modern;useful
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Abstract Concepts,love,true;deep;pure;strong;warm;tender;sweet;kind;real;gentle
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Abstract Concepts,peace,calm;quiet;lasting;gentle;clear;pure;soft;steady;deep;smooth
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Abstract Concepts,wisdom,old;deep;true;clear;solid;ancient;sound;basic;humble;pure
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Cultural Artifacts,bell,small;round;clear;old;loud;shiny;metal;heavy;bright;crisp
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Cultural Artifacts,candle,small;thin;bright;old;soft;warm;flickering;pale;gentle;simple
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Cultural Artifacts,carpet,soft;thick;warm;bright;clean;neat;old;new;rich;fine
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Cultural Artifacts,coin,small;round;bright;old;shiny;heavy;silver;golden;clear;valuable
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Cultural Artifacts,crown,golden;royal;bright;heavy;old;fine;neat;shiny;elegant;majestic
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Cultural Artifacts,flag,bright;colorful;bold;large;red;blue;neat;clear;simple;strong
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Cultural Artifacts,mask,plain;old;new;neat;clear;strange;dark;silent;simple;scary
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Cultural Artifacts,necklace,golden;pretty;bright;old;small;neat;fine;clear;shiny;elegant
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Cultural Artifacts,painting,old;bright;colorful;neat;clear;true;deep;rich;warm;soft
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Cultural Artifacts,ring,small;golden;bright;neat;old;fine;round;clear;shiny;elegant
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Cultural Artifacts,statue,big;old;proud;strong;clear;neat;tall;solid;fine;noble
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Cultural Artifacts,vase,old;neat;fine;clear;bright;pure;simple;round;elegant;delicate
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Environmental Phenomena,cloud,white;soft;light;dark;high;large;thin;deep;slow;gentle
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Environmental Phenomena,earthquake,strong;sudden;deep;large;heavy;fierce;intense;major;violent;quick
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Environmental Phenomena,fog,thick;soft;light;dark;deep;white;slow;dense;low;misty
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Environmental Phenomena,lightning,bright;quick;strong;sharp;sudden;clear;hot;vivid;pure;intense
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Environmental Phenomena,rain,wet;soft;light;heavy;cold;clear;dark;strong;fresh;sudden
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Environmental Phenomena,rainbow,bright;colorful;clear;soft;deep;rare;bold;neat;true;lovely
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Environmental Phenomena,snow,white;soft;cold;light;fresh;pure;deep;thick;clear;silent
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Environmental Phenomena,storm,strong;heavy;dark;wild;fierce;quick;loud;deep;sudden;rough
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Environmental Phenomena,thunder,loud;deep;strong;sudden;booming;dark;heavy;clear;rough;fierce
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Environmental Phenomena,tide,high;low;strong;deep;powerful;slow;clear;rough;steady;regular
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Environmental Phenomena,volcano,hot;active;strong;deep;large;sudden;fierce;heavy;burning;dangerous
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Environmental Phenomena,wind,strong;cold;warm;soft;heavy;fast;clear;light;fresh;wild
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Food Items,apple,red;green;sweet;fresh;tasty;small;round;juicy;crisp;ripe
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Food Items,banana,yellow;sweet;ripe;soft;long;fresh;smooth;tasty;bright;curved
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Food Items,beef,red;fresh;rare;hot;cooked;tender;thick;juicy;lean;raw
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Food Items,bread,fresh;soft;warm;brown;tasty;light;neat;firm;thick;plain
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Food Items,broccoli,green;fresh;raw;firm;healthy;crunchy;tasty;light;small;bright
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Food Items,cheese,soft;hard;fresh;old;tasty;rich;mild;sharp;white;creamy
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Food Items,chicken,fresh;small;cooked;tender;hot;tasty;firm;lean;juicy;light
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Food Items,egg,small;white;fresh;raw;hard;soft;oval;neat;pure;fragile
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Food Items,fish,fresh;small;raw;cooked;tasty;firm;lean;light;wet;salty
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Food Items,pasta,cooked;soft;fresh;hot;neat;plain;firm;tasty;light;smooth
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Food Items,rice,white;steamed;fresh;soft;neat;plain;tasty;hot;small;light
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Food Items,soup,warm;hot;rich;fresh;tasty;neat;light;clear;deep;mild
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Human Roles,artist,creative;talented;wise;bold;smart;careful;thoughtful;deep;unique;skilled
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Human Roles,athlete,strong;fast;brave;tough;active;smart;agile;fit;quick;powerful
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Human Roles,chef,skilled;creative;careful;tidy;neat;smart;experienced;friendly;precise;bold
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Human Roles,doctor,kind;smart;careful;true;brave;gentle;skilled;calm;patient;helpful
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Human Roles,engineer,smart;careful;skilled;creative;logical;precise;neat;true;modern;practical
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Human Roles,farmer,hard;strong;kind;smart;patient;honest;active;hardworking;calm;rural
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Human Roles,lawyer,smart;careful;true;strong;wise;bold;clear;firm;fair;legal
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Human Roles,musician,creative;talented;smart;bright;deep;bold;neat;fine;rhythmic;skilled
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Human Roles,scientist,smart;careful;deep;true;logical;neat;bright;solid;precise;curious
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Human Roles,soldier,brave;strong;tough;bold;loyal;disciplined;active;firm;steady;resilient
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Human Roles,teacher,kind;smart;patient;clear;fair;gentle;wise;friendly;steady;helpful
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Human Roles,writer,creative;smart;careful;deep;bold;true;neat;bright;fine;original
