Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Abstract Concepts,anger,big;hot;bad;strong;much;real;new;long;quick;black
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Environmental Phenomena,rain,big;small;much;new;old;hard;good;bad;long;heavy
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Environmental Phenomena,rainbow,beautiful;new;good;big;long;bright;nice;small;high;same
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Environmental Phenomena,snow,white;new;cold;big;small;much;good;long;hard;soft
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Environmental Phenomena,storm,big;strong;bad;new;long;hard;great;real;same;cold
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Environmental Phenomena,thunder,loud;big;strong;new;good;bad;long;hard;great;same
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Environmental Phenomena,tide,big;high;low;new;good;bad;long;small;same;real
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Environmental Phenomena,volcano,big;hot;active;new;old;good;bad;long;hard;same
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Environmental Phenomena,wind,strong;cold;big;new;good;bad;long;hard;great;same
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Food Items,apple,red;green;new;old;big;small;sweet;good;bad;hard
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Food Items,banana,yellow;new;good;big;small;sweet;long;hard;same;soft
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Food Items,beef,red;new;old;good;bad;long;hard;soft;same;cheap
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Food Items,bread,new;old;white;brown;good;bad;long;hard;soft;same
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Food Items,broccoli,green;new;good;small;same;hard;soft;fresh;big;long
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Food Items,cheese,yellow;new;old;good;bad;hard;soft;strong;same;small
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Food Items,chicken,new;good;bad;long;hard;soft;same;small;white;big
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Food Items,egg,new;old;white;brown;good;bad;long;hard;soft;same
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Food Items,fish,new;old;good;bad;long;hard;soft;same;small;big
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Food Items,pasta,new;old;good;bad;long;hard;soft;same;small;big
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Food Items,rice,new;good;bad;long;white;small;same;hard;soft;big
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Food Items,soup,hot;new;good;bad;long;same;small;big;chicken;vegetable
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Human Roles,artist,good;new;young;old;great;same;small;big;hard;famous
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Human Roles,athlete,good;new;young;old;great;same;small;big;hard;strong
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Human Roles,chef,good;new;young;old;great;same;small;big;hard;famous
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Human Roles,doctor,good;new;young;old;great;same;small;big;hard;nice
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Human Roles,engineer,good;new;young;old;great;same;small;big;hard;smart
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Human Roles,farmer,good;new;young;old;great;same;small;big;hard
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Human Roles,lawyer,good;new;young;old;great;same;small;big;hard;smart
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Human Roles,musician,good;new;young;old;great;same;small;big;hard;famous
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Human Roles,scientist,good;new;young;old;great;same;small;big;hard;smart
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Human Roles,soldier,good;new;young;old;great;same;small;big;hard;strong
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Human Roles,teacher,good;new;young;old;great;same;small;big;hard;nice
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Human Roles,writer,good;new;young;old;great;same;small;big;hard;famous
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Inanimate Objects,book,new;old;big;small;good;bad;long;hard;same;interesting
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Inanimate Objects,bridge,big;new;old;long;good;same;small;hard;high;stone
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Inanimate Objects,drums,big;new;old;good;bad;loud;small;same;hard;great
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Inanimate Objects,earth,big;new;old;good;same;small;hard;round;flat;great
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Inanimate Objects,flute,new;old;good;small;long;same;hard;nice;wood;silver
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Inanimate Objects,key,new;old;small;big;good;same;hard;metal;gold;silver
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Inanimate Objects,knife,new;old;small;big;good;bad;sharp;same;hard;metal
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Inanimate Objects,lock,new;old;small;big;good;same;hard;metal;strong
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Inanimate Objects,moon,big;new;old;small;good;same;round;bright;far;close
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Inanimate Objects,pen,new;old;small;big;good;same;long;hard;black;blue
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Inanimate Objects,sun,big;hot;new;old;good;same;bright;far;yellow;round
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Inanimate Objects,sword,new;old;small;big;good;bad;sharp;same;hard;metal
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Neutral Animals,cat,small;new;old;good;black;white;cute;same;fat;thin
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Neutral Animals,dog,big;small;new;old;good;bad;same;cute;black;white
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Neutral Animals,dolphin,big;new;old;good;same;small;blue;grey;smart;nice
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Neutral Animals,elephant,big;new;old;good;same;grey;small;long;strong;heavy
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Neutral Animals,hamster,small;new;old;good;cute;same;brown;white;fast;nice
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Neutral Animals,monkey,small;new;old;good;same;brown;funny;smart;fast;big
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Neutral Animals,mouse,small;new;old;good;bad;same;grey;white;fast;cute
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Neutral Animals,peacock,beautiful;new;good;same;small;big;long;nice;green;blue
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Neutral Animals,rabbit,small;new;old;good;cute;same;white;brown;fast;big
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Neutral Animals,shark,big;new;old;good;bad;same;grey;white;fast;dangerous
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Neutral Animals,snake,long;new;old;good;bad;same;green;small;big;dangerous
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Neutral Animals,whale,big;new;old;good;same;blue;grey;long;heavy;small
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Places,city,big;new;old;good;same;small;long;great;important;beautiful
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Places,desert,big;hot;dry;new;old;good;same;long;small;great
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Places,forest,big;green;new;old;good;same;small;long;great;deep
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Places,island,big;small;new;old;good;same;green;long;beautiful;far
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Places,lake,big;small;new;old;good;same;blue;long;deep;beautiful
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Places,mountain,big;high;new;old;good;same;small;long;green;cold
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Places,ocean,big;blue;new;old;good;same;deep;long;great;important
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Places,plain,big;new;old;good;same;long;flat;green;small;great
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Places,plateau,big;high;new;old;good;same;long;flat;small;great
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Places,river,big;long;new;old;good;same;small;blue;deep;great
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Places,valley,big;new;old;good;same;long;green;small;deep;great
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Places,village,small;new;old;good;same;long;quiet;nice;beautiful;big
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Plants,cactus,green;new;old;good;small;same;long;hard;big;sharp
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Plants,eggplant,purple;new;good;small;same;big;long;hard;soft;fresh
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Plants,flower,beautiful;new;good;small;big;red;white;yellow;long;nice
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Plants,grass,green;new;good;small;long;same;short;dry;wet;soft
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Plants,lettuce,green;new;good;small;same;big;long;hard;soft;fresh
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Plants,mushroom,white;new;good;bad;small;big;long;same;hard;soft
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Plants,onion,white;new;good;small;same;big;long;hard;soft;strong
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Plants,pepper,red;new;good;small;same;big;long;hard;soft;spicy
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Plants,potato,brown;new;good;small;same;big;long;hard;soft;cheap
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Plants,rose,red;new;good;small;same;big;long;beautiful;nice;pink
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Plants,tomato,red;new;good;small;same;big;long;hard;soft;fresh
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Plants,tree,big;green;new;old;good;same;tall;small;long;hard
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Social Relationships,ally,good;new;old;big;small;strong;same;important;true;great
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Social Relationships,brother,big;new;old;good;same;small;young;older;little;nice
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Social Relationships,enemy,bad;new;old;big;small;strong;same;great;important;real
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Social Relationships,father,big;new;old;good;same;small;young;older;little;nice
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Social Relationships,follower,new;old;good;same;small;big;long;many;true;important
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Social Relationships,friend,good;new;old;big;small;same;young;true;best;nice
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Social Relationships,leader,good;new;old;big;small;strong;same;great;important;true
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Social Relationships,mother,big;new;old;good;same;small;young;older;little;nice
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Social Relationships,partner,good;new;old;big;small;same;long;hard;true;important
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Social Relationships,rival,bad;new;old;big;small;strong;same;great;important;real
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Social Relationships,sister,big;new;old;good;same;small;young;older;little;nice
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Social Relationships,stranger,new;old;big;small;same;bad;long;nice;good;different
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Spatial Concepts,above,high;new;good;same;small;big;long;important;real;true
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Spatial Concepts,back,big;new;good;same;small;long;important;real;true;far
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Spatial Concepts,below,low;new;good;same;small;big;long;important;real;true
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Spatial Concepts,east,new;good;same;small;big;long;important;real;true;far
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Spatial Concepts,front,big;new;good;same;small;long;important;real;true;far
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Spatial Concepts,inside,new;good;same;small;big;long;important;real;true;dark
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Spatial Concepts,left,new;good;same;small;big;long;important;real;true;hard
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Spatial Concepts,north,new;good;same;small;big;long;important;real;true;far
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Spatial Concepts,outside,new;good;same;small;big;long;important;real;true;cold
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Spatial Concepts,right,new;good;same;small;big;long;important;real;true;hard
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Spatial Concepts,south,new;good;same;small;big;long;important;real;true;far
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Spatial Concepts,west,new;good;same;small;big;long;important;real;true;far
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Time Concepts,century,big;new;old;long;good;same;small;great;important;real
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Time Concepts,day,big;new;old;long;good;same;small;great;important;real
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Time Concepts,evening,new;good;same;small;big;long;nice;real;true;dark
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Time Concepts,hour,long;new;good;same;small;big;real;true;fast;slow
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Time Concepts,minute,long;new;good;same;small;big;real;true;fast;slow
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Time Concepts,month,long;new;good;same;small;big;real;true;hard;easy
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Time Concepts,morning,new;good;same;small;big;long;nice;real;true;early
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Time Concepts,night,new;good;same;small;big;long;dark;real;true;late
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Time Concepts,season,new;good;same;small;big;long;hot;cold;real;true
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Time Concepts,second,long;new;good;same;small;big;real;true;fast;slow
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Time Concepts,week,long;new;good;same;small;big;real;true;hard;easy
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B1,most frequent,Time Concepts,year,long;new;good;same;small;big;real;true;hard;easy
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Abstract Concepts,anger,big;bad;hot;strong;real;true;hard;new;little;old
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Abstract Concepts,courage,great;much;real;true;strong;brave;new;little;old;hard
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Abstract Concepts,fear,big;great;much;real;true;new;little;strong;common;deep
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Abstract Concepts,freedom,great;much;real;true;new;little;old;strong;important;equal
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Abstract Concepts,happiness,real;much;great;new;true;little;big;good;complete;simple
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Abstract Concepts,hate,big;strong;real;true;much;bad;new;little;hard;deep
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Abstract Concepts,honesty,real;much;great;true;new;little;big;good;important;simple
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Abstract Concepts,justice,real;much;great;true;new;little;big;good;important;social
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Abstract Concepts,knowledge,much;great;real;true;new;little;big;good;important;hard
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Abstract Concepts,love,big;real;true;much;good;new;little;old;hard;deep
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Abstract Concepts,peace,great;much;real;true;new;little;big;good;important;world
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Abstract Concepts,wisdom,great;much;real;true;new;little;big;good;important;old
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Cultural Artifacts,bell,big;small;old;new;gold;silver;loud;beautiful;church;school
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Cultural Artifacts,candle,big;small;white;red;new;old;tall;short;long;thin
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Cultural Artifacts,carpet,big;small;red;new;old;beautiful;soft;thick;thin;wool
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Cultural Artifacts,coin,gold;silver;old;new;small;big;round;rare;valuable;fake
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Cultural Artifacts,crown,gold;silver;old;new;big;small;beautiful;royal;important;heavy
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Cultural Artifacts,flag,big;small;red;white;blue;new;old;national;important;country
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Cultural Artifacts,mask,big;small;black;white;new;old;beautiful;scary;funny;important
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Cultural Artifacts,necklace,gold;silver;pearl;new;old;beautiful;long;short;expensive;cheap
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Cultural Artifacts,painting,big;small;new;old;beautiful;famous;good;bad;expensive;cheap
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Cultural Artifacts,ring,gold;silver;diamond;new;old;beautiful;big;small;important;wedding
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Cultural Artifacts,statue,big;small;old;new;beautiful;famous;tall;stone;bronze;marble
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Cultural Artifacts,vase,big;small;new;old;beautiful;glass;ceramic;tall;short;round
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Environmental Phenomena,cloud,big;small;white;black;grey;dark;heavy;light;rain;storm
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Environmental Phenomena,earthquake,big;small;strong;weak;new;old;common;rare;important;dangerous
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Environmental Phenomena,fog,thick;thin;white;grey;dark;heavy;light;new;common;sea
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Environmental Phenomena,lightning,bright;strong;quick;fast;dangerous;new;scary;loud;hot;ball
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Environmental Phenomena,rain,big;small;heavy;light;hard;soft;new;cold;warm;acid
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Environmental Phenomena,rainbow,beautiful;colorful;bright;big;small;new;double;full;high;low
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Environmental Phenomena,snow,white;big;small;heavy;light;hard;soft;new;cold;fresh
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Environmental Phenomena,storm,big;strong;bad;new;old;dangerous;heavy;wind;rain;thunder
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Environmental Phenomena,thunder,loud;strong;big;new;old;deep;far;close;scary;heavy
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Environmental Phenomena,tide,high;low;big;small;new;full;spring;neap;strong;weak
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Environmental Phenomena,volcano,big;small;active;inactive;new;old;dangerous;hot;famous
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Environmental Phenomena,wind,big;small;strong;weak;cold;hot;new;heavy;light;north
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Food Items,apple,red;green;yellow;big;small;new;old;sweet;sour;fresh
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Food Items,banana,yellow;green;big;small;new;ripe;sweet;fresh;soft;hard
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Food Items,beef,good;bad;new;old;fresh;raw;cooked;big;small;expensive
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Food Items,bread,white;brown;fresh;new;old;big;small;hard;soft;good
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Food Items,broccoli,green;fresh;new;old;big;small;raw;cooked;good;bad
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Food Items,cheese,yellow;white;hard;soft;new;old;fresh;good;bad;strong
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Food Items,chicken,fresh;new;old;raw;cooked;big;small;good;bad;fried
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Food Items,egg,white;brown;new;old;fresh;raw;cooked;big;small;good
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Food Items,fish,fresh;new;old;raw;cooked;big;small;good;bad;salty
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Food Items,pasta,white;yellow;new;old;big;small;long;short;dry;cooked
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Food Items,rice,white;brown;new;old;big;small;long;short;cooked;dry
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Food Items,soup,hot;cold;good;bad;new;old;big;small;thick;thin
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Human Roles,artist,good;bad;famous;new;old;young;talented;real;great;local
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Human Roles,athlete,good;bad;new;old;young;famous;strong;fast;great;professional
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Human Roles,chef,good;bad;famous;new;old;young;great;professional;head;sous
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Human Roles,doctor,good;bad;new;old;young;famous;important;great;local;family
gemini-2.0-flash,think-in-native,1.0,TH # Thai,B2,most frequent,Human Roles,engineer,good;bad;new;old;young;great;important;civil;mechanical;electrical
