Language,Response,Count,Percentage
PT # Portuguese,"Start at S, go right, down, right, down, right to reach E.",1,8.33
PT # Portuguese,d,1,8.33
PT # Portuguese,"Start, down, right, up, right, down, right.",1,8.33
RU # Russian,a,5,41.67
RU # Russian,b,3,25.0
RU # Russian,"Go down twice, right twice, down once, right once.",1,8.33
RU # Russian,Your Answer: a,1,8.33
RU # Russian,"Start at S, go right, down, right, down, right to reach E.",1,8.33
RU # Russian,"Down, right, down, right, right, up, right, down.",1,8.33
SQ # Albanian,b,3,25.0
SQ # Albanian,a,3,25.0
SQ # Albanian,Your Answer: a,2,16.67
SQ # Albanian,"Down, down, right, right, down, right.",1,8.33
SQ # Albanian,"Start at S, go right, down, right, down, right to reach E.",1,8.33
SQ # Albanian,d,1,8.33
SQ # Albanian,"Down, right, down, right, right, up, right, down.",1,8.33
SW # Swahili,b,4,33.33
SW # Swahili,a,3,25.0
SW # Swahili,"Go down twice, right twice, down once, right to E.",1,8.33
SW # Swahili,Your Answer: a,1,8.33
SW # Swahili,"Start at S, go right, down, right, down, right to reach E.",1,8.33
SW # Swahili,c,1,8.33
SW # Swahili,"Start, down, right, up, right, down, down, right, right to the end.",1,8.33
TH # Thai,b,4,33.33
TH # Thai,a,3,25.0
TH # Thai,"Go down twice, right twice, down once, right to E.",1,8.33
TH # Thai,Your Answer: a,1,8.33
TH # Thai,"Start at S, go right, down, right, down, right to reach E.",1,8.33
TH # Thai,d,1,8.33
TH # Thai,"Go down, right, down, right, up, right, down, right to the end.",1,8.33
TR # Turkish,b,4,33.33
TR # Turkish,a,4,33.33
TR # Turkish,"Go down twice, right twice, down once, right once.",1,8.33
TR # Turkish,Your Answer: a,1,8.33
TR # Turkish,"Start at S, go right, down, right, down, right to reach E.",1,8.33
TR # Turkish,"Go down, right, down, right, up, right, down, right to the end.",1,8.33
UR # Urdu,b,4,33.33
UR # Urdu,a,4,33.33
UR # Urdu,"Go down twice, right twice, down once, right to E.",1,8.33
UR # Urdu,Your Answer: a,1,8.33
UR # Urdu,"Start at S, go right, down, right, down, right to reach E.",1,8.33
UR # Urdu,"Go down, right, down, right, up, right, down, right to the end.",1,8.33
VI # Vietnamese,b,4,33.33
VI # Vietnamese,a,4,33.33
VI # Vietnamese,"Down, down, right, right, down, right.",1,8.33
VI # Vietnamese,Your Answer: a,1,8.33
VI # Vietnamese,"Start at S, go right, down, right, down, right to reach E.",1,8.33
VI # Vietnamese,"Down, right, down, right, right, up, right, down.",1,8.33
ZH # Mandarin,b,3,25.0
ZH # Mandarin,a,3,25.0
ZH # Mandarin,Your Answer: a,2,16.67
ZH # Mandarin,c,1,8.33
ZH # Mandarin,"Go down, down, right, right, down, right.",1,8.33
ZH # Mandarin,"Start at S, go right, down, right, down, right to reach E.",1,8.33
ZH # Mandarin,"Go down, right, down, right, up, right, down, right to the end.",1,8.33
