Language,Response,Count,Percentage
ES # Spanish,lock,1,2.08
ES # Spanish,fog,1,2.08
ES # Spanish,wisdom,1,2.08
ES # Spanish,freedom,1,2.08
ES # Spanish,candle,1,2.08
ES # Spanish,flag,1,2.08
ES # Spanish,painting,1,2.08
ES # Spanish,crown,1,2.08
ES # Spanish,earthquake,1,2.08
ES # Spanish,rainbow,1,2.08
ES # Spanish,volcano,1,2.08
ES # Spanish,banana,1,2.08
ES # Spanish,moon,1,2.08
ES # Spanish,soup,1,2.08
ES # Spanish,beef,1,2.08
ES # Spanish,rice,1,2.08
ES # Spanish,artist,1,2.08
ES # Spanish,soldier,1,2.08
ES # Spanish,teacher,1,2.08
ES # Spanish,farmer,1,2.08
ES # Spanish,book,1,2.08
ES # Spanish,bridge,1,2.08
ES # Spanish,century,1,2.08
FA # Persian,courage,1,2.08
FA # Persian,justice,1,2.08
FA # Persian,monkey,1,2.08
FA # Persian,dog,1,2.08
FA # Persian,lake,1,2.08
FA # Persian,ocean,1,2.08
FA # Persian,forest,1,2.08
FA # Persian,desert,1,2.08
FA # Persian,cactus,1,2.08
FA # Persian,rose,1,2.08
FA # Persian,grass,1,2.08
FA # Persian,potato,1,2.08
FA # Persian,brother,1,2.08
FA # Persian,rival,1,2.08
FA # Persian,father,1,2.08
FA # Persian,stranger,1,2.08
FA # Persian,front,1,2.08
FA # Persian,inside,1,2.08
FA # Persian,west,1,2.08
FA # Persian,above,1,2.08
FA # Persian,morning,1,2.08
FA # Persian,evening,1,2.08
FA # Persian,second,1,2.08
FA # Persian,elephant,1,2.08
FA # Persian,cat,1,2.08
FA # Persian,lock,1,2.08
FA # Persian,fog,1,2.08
FA # Persian,wisdom,1,2.08
FA # Persian,freedom,1,2.08
FA # Persian,candle,1,2.08
FA # Persian,flag,1,2.08
FA # Persian,painting,1,2.08
FA # Persian,crown,1,2.08
FA # Persian,earthquake,1,2.08
FA # Persian,rainbow,1,2.08
FA # Persian,volcano,1,2.08
FA # Persian,banana,1,2.08
FA # Persian,moon,1,2.08
FA # Persian,bread,1,2.08
FA # Persian,fish,1,2.08
FA # Persian,rice,1,2.08
FA # Persian,artist,1,2.08
FA # Persian,soldier,1,2.08
FA # Persian,teacher,1,2.08
FA # Persian,farmer,1,2.08
FA # Persian,book,1,2.08
FA # Persian,bridge,1,2.08
FA # Persian,century,1,2.08
FR # French,bread,2,4.17
FR # French,courage,1,2.08
FR # French,elephant,1,2.08
FR # French,dog,1,2.08
FR # French,lake,1,2.08
FR # French,ocean,1,2.08
FR # French,forest,1,2.08
FR # French,island,1,2.08
FR # French,cactus,1,2.08
FR # French,rose,1,2.08
FR # French,grass,1,2.08
FR # French,potato,1,2.08
FR # French,brother,1,2.08
FR # French,rival,1,2.08
FR # French,father,1,2.08
FR # French,stranger,1,2.08
FR # French,front,1,2.08
FR # French,inside,1,2.08
FR # French,west,1,2.08
FR # French,above,1,2.08
FR # French,morning,1,2.08
FR # French,evening,1,2.08
FR # French,second,1,2.08
FR # French,monkey,1,2.08
FR # French,cat,1,2.08
FR # French,justice,1,2.08
FR # French,lock,1,2.08
FR # French,wisdom,1,2.08
FR # French,freedom,1,2.08
FR # French,candle,1,2.08
FR # French,flag,1,2.08
FR # French,painting,1,2.08
FR # French,crown,1,2.08
FR # French,earthquake,1,2.08
FR # French,rainbow,1,2.08
FR # French,volcano,1,2.08
FR # French,fog,1,2.08
FR # French,banana,1,2.08
FR # French,beef,1,2.08
FR # French,artist,1,2.08
FR # French,soldier,1,2.08
FR # French,teacher,1,2.08
FR # French,farmer,1,2.08
FR # French,book,1,2.08
FR # French,bridge,1,2.08
FR # French,moon,1,2.08
FR # French,century,1,2.08
GA # Irish,potato,2,4.17
GA # Irish,courage,1,2.08
GA # Irish,cat,1,2.08
GA # Irish,snake,1,2.08
GA # Irish,dog,1,2.08
GA # Irish,lake,1,2.08
GA # Irish,ocean,1,2.08
GA # Irish,forest,1,2.08
GA # Irish,island,1,2.08
GA # Irish,cactus,1,2.08
GA # Irish,rose,1,2.08
GA # Irish,grass,1,2.08
GA # Irish,brother,1,2.08
GA # Irish,rival,1,2.08
GA # Irish,father,1,2.08
GA # Irish,stranger,1,2.08
GA # Irish,front,1,2.08
GA # Irish,inside,1,2.08
GA # Irish,west,1,2.08
GA # Irish,above,1,2.08
GA # Irish,morning,1,2.08
GA # Irish,evening,1,2.08
GA # Irish,second,1,2.08
GA # Irish,elephant,1,2.08
GA # Irish,lock,1,2.08
GA # Irish,honesty,1,2.08
GA # Irish,moon,1,2.08
GA # Irish,wisdom,1,2.08
GA # Irish,freedom,1,2.08
GA # Irish,candle,1,2.08
GA # Irish,flag,1,2.08
GA # Irish,painting,1,2.08
GA # Irish,crown,1,2.08
GA # Irish,lightning,1,2.08
GA # Irish,rainbow,1,2.08
GA # Irish,thunder,1,2.08
GA # Irish,fog,1,2.08
GA # Irish,banana,1,2.08
GA # Irish,beef,1,2.08
GA # Irish,bread,1,2.08
GA # Irish,artist,1,2.08
GA # Irish,soldier,1,2.08
GA # Irish,teacher,1,2.08
GA # Irish,farmer,1,2.08
GA # Irish,book,1,2.08
GA # Irish,bridge,1,2.08
GA # Irish,century,1,2.08
HE # Hebrew,courage,1,2.08
HE # Hebrew,justice,1,2.08
HE # Hebrew,snake,1,2.08
HE # Hebrew,dog,1,2.08
HE # Hebrew,lake,1,2.08
HE # Hebrew,ocean,1,2.08
HE # Hebrew,river,1,2.08
HE # Hebrew,desert,1,2.08
HE # Hebrew,cactus,1,2.08
HE # Hebrew,rose,1,2.08
HE # Hebrew,grass,1,2.08
HE # Hebrew,potato,1,2.08
HE # Hebrew,brother,1,2.08
HE # Hebrew,rival,1,2.08
HE # Hebrew,father,1,2.08
HE # Hebrew,stranger,1,2.08
HE # Hebrew,front,1,2.08
HE # Hebrew,inside,1,2.08
HE # Hebrew,west,1,2.08
HE # Hebrew,above,1,2.08
HE # Hebrew,morning,1,2.08
HE # Hebrew,evening,1,2.08
HE # Hebrew,second,1,2.08
HE # Hebrew,elephant,1,2.08
HE # Hebrew,cat,1,2.08
HE # Hebrew,lock,1,2.08
HE # Hebrew,fog,1,2.08
HE # Hebrew,wisdom,1,2.08
HE # Hebrew,freedom,1,2.08
HE # Hebrew,candle,1,2.08
HE # Hebrew,flag,1,2.08
HE # Hebrew,painting,1,2.08
HE # Hebrew,crown,1,2.08
HE # Hebrew,earthquake,1,2.08
HE # Hebrew,rainbow,1,2.08
HE # Hebrew,volcano,1,2.08
HE # Hebrew,banana,1,2.08
HE # Hebrew,moon,1,2.08
HE # Hebrew,soup,1,2.08
HE # Hebrew,fish,1,2.08
HE # Hebrew,bread,1,2.08
HE # Hebrew,artist,1,2.08
HE # Hebrew,soldier,1,2.08
HE # Hebrew,teacher,1,2.08
HE # Hebrew,farmer,1,2.08
HE # Hebrew,book,1,2.08
HE # Hebrew,bridge,1,2.08
HE # Hebrew,century,1,2.08
HI # Hindi,potato,2,4.17
HI # Hindi,courage,1,2.08
HI # Hindi,cat,1,2.08
HI # Hindi,monkey,1,2.08
HI # Hindi,dog,1,2.08
HI # Hindi,lake,1,2.08
HI # Hindi,ocean,1,2.08
HI # Hindi,river,1,2.08
HI # Hindi,desert,1,2.08
HI # Hindi,cactus,1,2.08
HI # Hindi,rose,1,2.08
HI # Hindi,grass,1,2.08
HI # Hindi,brother,1,2.08
HI # Hindi,rival,1,2.08
HI # Hindi,father,1,2.08
HI # Hindi,stranger,1,2.08
HI # Hindi,east,1,2.08
HI # Hindi,inside,1,2.08
HI # Hindi,outside,1,2.08
HI # Hindi,above,1,2.08
HI # Hindi,morning,1,2.08
HI # Hindi,evening,1,2.08
HI # Hindi,second,1,2.08
HI # Hindi,elephant,1,2.08
HI # Hindi,lock,1,2.08
HI # Hindi,honesty,1,2.08
HI # Hindi,moon,1,2.08
HI # Hindi,wisdom,1,2.08
HI # Hindi,freedom,1,2.08
HI # Hindi,candle,1,2.08
HI # Hindi,flag,1,2.08
HI # Hindi,painting,1,2.08
HI # Hindi,crown,1,2.08
HI # Hindi,earthquake,1,2.08
HI # Hindi,rainbow,1,2.08
HI # Hindi,thunder,1,2.08
HI # Hindi,fog,1,2.08
HI # Hindi,banana,1,2.08
HI # Hindi,egg,1,2.08
HI # Hindi,rice,1,2.08
HI # Hindi,artist,1,2.08
HI # Hindi,soldier,1,2.08
HI # Hindi,teacher,1,2.08
HI # Hindi,farmer,1,2.08
HI # Hindi,book,1,2.08
HI # Hindi,bridge,1,2.08
HI # Hindi,century,1,2.08
IT # Italian,courage,1,2.08
IT # Italian,justice,1,2.08
IT # Italian,monkey,1,2.08
IT # Italian,dog,1,2.08
IT # Italian,lake,1,2.08
IT # Italian,ocean,1,2.08
IT # Italian,forest,1,2.08
IT # Italian,island,1,2.08
IT # Italian,cactus,1,2.08
IT # Italian,rose,1,2.08
IT # Italian,grass,1,2.08
IT # Italian,potato,1,2.08
IT # Italian,brother,1,2.08
IT # Italian,rival,1,2.08
IT # Italian,father,1,2.08
IT # Italian,stranger,1,2.08
IT # Italian,front,1,2.08
IT # Italian,inside,1,2.08
IT # Italian,outside,1,2.08
IT # Italian,above,1,2.08
IT # Italian,morning,1,2.08
IT # Italian,evening,1,2.08
IT # Italian,second,1,2.08
IT # Italian,elephant,1,2.08
IT # Italian,cat,1,2.08
IT # Italian,lock,1,2.08
IT # Italian,fog,1,2.08
IT # Italian,wisdom,1,2.08
IT # Italian,freedom,1,2.08
IT # Italian,candle,1,2.08
IT # Italian,flag,1,2.08
IT # Italian,painting,1,2.08
IT # Italian,crown,1,2.08
IT # Italian,earthquake,1,2.08
IT # Italian,rainbow,1,2.08
IT # Italian,volcano,1,2.08
IT # Italian,banana,1,2.08
IT # Italian,moon,1,2.08
IT # Italian,bread,1,2.08
IT # Italian,beef,1,2.08
IT # Italian,pasta,1,2.08
IT # Italian,artist,1,2.08
IT # Italian,soldier,1,2.08
IT # Italian,teacher,1,2.08
IT # Italian,farmer,1,2.08
IT # Italian,book,1,2.08
IT # Italian,bridge,1,2.08
IT # Italian,century,1,2.08
JA # Japanese,courage,1,2.08
JA # Japanese,"honesty, I’m thinking about this question in Japanese first. 公平でバランスの取れたリーダーにとって最も重要な特性は何だろう？選択肢は「幸福」「憎しみ」「正直さ」「正義」。日本文化では、リーダーは公正で信頼できる存在であるべきとされることが多い。正直さ（honesty）は信頼を築く基盤だし、正義（justice）も公平さを保つために重要。でも、直感的には「正義」がリーダーシップにおいてより核心的な価値として感じられる。リーダーが正義感を持っていれば、公平な判断ができ、みんなが納得する方向に導けると思う。

Answer: justice",1,2.08
JA # Japanese,monkey,1,2.08
JA # Japanese,dog,1,2.08
JA # Japanese,lake,1,2.08
JA # Japanese,ocean,1,2.08
JA # Japanese,forest,1,2.08
JA # Japanese,island,1,2.08
JA # Japanese,cactus,1,2.08
JA # Japanese,rose,1,2.08
JA # Japanese,grass,1,2.08
JA # Japanese,potato,1,2.08
JA # Japanese,brother,1,2.08
JA # Japanese,rival,1,2.08
JA # Japanese,father,1,2.08
JA # Japanese,stranger,1,2.08
JA # Japanese,east,1,2.08
JA # Japanese,inside,1,2.08
JA # Japanese,west,1,2.08
JA # Japanese,above,1,2.08
JA # Japanese,morning,1,2.08
JA # Japanese,evening,1,2.08
JA # Japanese,second,1,2.08
JA # Japanese,elephant,1,2.08
JA # Japanese,cat,1,2.08
JA # Japanese,lock,1,2.08
JA # Japanese,fog,1,2.08
JA # Japanese,wisdom,1,2.08
JA # Japanese,freedom,1,2.08
JA # Japanese,candle,1,2.08
JA # Japanese,flag,1,2.08
JA # Japanese,painting,1,2.08
JA # Japanese,crown,1,2.08
JA # Japanese,earthquake,1,2.08
JA # Japanese,rainbow,1,2.08
JA # Japanese,volcano,1,2.08
JA # Japanese,banana,1,2.08
JA # Japanese,moon,1,2.08
JA # Japanese,soup,1,2.08
JA # Japanese,fish,1,2.08
JA # Japanese,rice,1,2.08
JA # Japanese,artist,1,2.08
JA # Japanese,soldier,1,2.08
JA # Japanese,teacher,1,2.08
JA # Japanese,farmer,1,2.08
JA # Japanese,book,1,2.08
JA # Japanese,bridge,1,2.08
JA # Japanese,century,1,2.08
KO # Korean,courage,1,2.08
KO # Korean,honesty,1,2.08
KO # Korean,monkey,1,2.08
KO # Korean,dog,1,2.08
KO # Korean,lake,1,2.08
KO # Korean,ocean,1,2.08
KO # Korean,forest,1,2.08
KO # Korean,island,1,2.08
KO # Korean,cactus,1,2.08
KO # Korean,rose,1,2.08
KO # Korean,grass,1,2.08
KO # Korean,potato,1,2.08
KO # Korean,brother,1,2.08
KO # Korean,rival,1,2.08
KO # Korean,father,1,2.08
KO # Korean,stranger,1,2.08
KO # Korean,east,1,2.08
KO # Korean,inside,1,2.08
KO # Korean,west,1,2.08
KO # Korean,above,1,2.08
KO # Korean,morning,1,2.08
KO # Korean,evening,1,2.08
KO # Korean,second,1,2.08
KO # Korean,elephant,1,2.08
KO # Korean,cat,1,2.08
KO # Korean,lock,1,2.08
KO # Korean,fog,1,2.08
KO # Korean,wisdom,1,2.08
KO # Korean,freedom,1,2.08
KO # Korean,candle,1,2.08
KO # Korean,flag,1,2.08
KO # Korean,painting,1,2.08
KO # Korean,crown,1,2.08
KO # Korean,earthquake,1,2.08
KO # Korean,rainbow,1,2.08
KO # Korean,volcano,1,2.08
KO # Korean,banana,1,2.08
KO # Korean,moon,1,2.08
KO # Korean,soup,1,2.08
KO # Korean,beef,1,2.08
KO # Korean,rice,1,2.08
KO # Korean,artist,1,2.08
KO # Korean,soldier,1,2.08
KO # Korean,teacher,1,2.08
KO # Korean,farmer,1,2.08
KO # Korean,book,1,2.08
KO # Korean,bridge,1,2.08
KO # Korean,century,1,2.08
LV # Latvian,forest,2,4.17
LV # Latvian,bread,2,4.17
LV # Latvian,courage,1,2.08
LV # Latvian,brother,1,2.08
LV # Latvian,dog,1,2.08
LV # Latvian,lake,1,2.08
LV # Latvian,ocean,1,2.08
LV # Latvian,cactus,1,2.08
LV # Latvian,rose,1,2.08
LV # Latvian,grass,1,2.08
LV # Latvian,potato,1,2.08
LV # Latvian,rival,1,2.08
LV # Latvian,elephant,1,2.08
LV # Latvian,father,1,2.08
LV # Latvian,stranger,1,2.08
LV # Latvian,front,1,2.08
LV # Latvian,inside,1,2.08
LV # Latvian,west,1,2.08
LV # Latvian,above,1,2.08
LV # Latvian,morning,1,2.08
LV # Latvian,evening,1,2.08
LV # Latvian,second,1,2.08
LV # Latvian,monkey,1,2.08
LV # Latvian,cat,1,2.08
LV # Latvian,honesty,1,2.08
LV # Latvian,lock,1,2.08
LV # Latvian,wisdom,1,2.08
LV # Latvian,freedom,1,2.08
LV # Latvian,candle,1,2.08
LV # Latvian,flag,1,2.08
LV # Latvian,painting,1,2.08
LV # Latvian,crown,1,2.08
LV # Latvian,earthquake,1,2.08
LV # Latvian,rainbow,1,2.08
LV # Latvian,volcano,1,2.08
LV # Latvian,fog,1,2.08
LV # Latvian,banana,1,2.08
LV # Latvian,beef,1,2.08
LV # Latvian,artist,1,2.08
LV # Latvian,soldier,1,2.08
LV # Latvian,teacher,1,2.08
LV # Latvian,farmer,1,2.08
LV # Latvian,book,1,2.08
LV # Latvian,bridge,1,2.08
LV # Latvian,moon,1,2.08
LV # Latvian,century,1,2.08
PL # Polish,forest,2,4.17
PL # Polish,courage,1,2.08
PL # Polish,brother,1,2.08
PL # Polish,monkey,1,2.08
PL # Polish,dog,1,2.08
PL # Polish,lake,1,2.08
PL # Polish,ocean,1,2.08
PL # Polish,cactus,1,2.08
PL # Polish,rose,1,2.08
PL # Polish,grass,1,2.08
PL # Polish,potato,1,2.08
PL # Polish,rival,1,2.08
PL # Polish,cat,1,2.08
PL # Polish,father,1,2.08
PL # Polish,stranger,1,2.08
PL # Polish,front,1,2.08
PL # Polish,inside,1,2.08
PL # Polish,west,1,2.08
PL # Polish,above,1,2.08
PL # Polish,morning,1,2.08
PL # Polish,evening,1,2.08
PL # Polish,second,1,2.08
PL # Polish,elephant,1,2.08
PL # Polish,lock,1,2.08
PL # Polish,justice,1,2.08
PL # Polish,fog,1,2.08
PL # Polish,wisdom,1,2.08
PL # Polish,freedom,1,2.08
PL # Polish,candle,1,2.08
PL # Polish,flag,1,2.08
PL # Polish,painting,1,2.08
PL # Polish,crown,1,2.08
PL # Polish,earthquake,1,2.08
PL # Polish,rainbow,1,2.08
PL # Polish,volcano,1,2.08
PL # Polish,banana,1,2.08
PL # Polish,moon,1,2.08
PL # Polish,soup,1,2.08
PL # Polish,beef,1,2.08
PL # Polish,bread,1,2.08
PL # Polish,artist,1,2.08
PL # Polish,soldier,1,2.08
PL # Polish,teacher,1,2.08
PL # Polish,farmer,1,2.08
PL # Polish,book,1,2.08
PL # Polish,bridge,1,2.08
PL # Polish,century,1,2.08
PS # Pashto,courage,1,2.08
PS # Pashto,justice,1,2.08
PS # Pashto,monkey,1,2.08
PS # Pashto,dog,1,2.08
PS # Pashto,lake,1,2.08
PS # Pashto,ocean,1,2.08
PS # Pashto,river,1,2.08
PS # Pashto,desert,1,2.08
PS # Pashto,cactus,1,2.08
PS # Pashto,rose,1,2.08
PS # Pashto,grass,1,2.08
PS # Pashto,potato,1,2.08
PS # Pashto,brother,1,2.08
PS # Pashto,rival,1,2.08
PS # Pashto,father,1,2.08
PS # Pashto,stranger,1,2.08
PS # Pashto,front,1,2.08
PS # Pashto,inside,1,2.08
PS # Pashto,outside,1,2.08
PS # Pashto,above,1,2.08
PS # Pashto,morning,1,2.08
PS # Pashto,evening,1,2.08
PS # Pashto,second,1,2.08
PS # Pashto,elephant,1,2.08
PS # Pashto,cat,1,2.08
PS # Pashto,lock,1,2.08
PS # Pashto,fog,1,2.08
PS # Pashto,wisdom,1,2.08
PS # Pashto,freedom,1,2.08
PS # Pashto,candle,1,2.08
PS # Pashto,flag,1,2.08
PS # Pashto,painting,1,2.08
PS # Pashto,crown,1,2.08
PS # Pashto,earthquake,1,2.08
PS # Pashto,rainbow,1,2.08
PS # Pashto,thunder,1,2.08
PS # Pashto,banana,1,2.08
PS # Pashto,moon,1,2.08
PS # Pashto,bread,1,2.08
PS # Pashto,beef,1,2.08
PS # Pashto,rice,1,2.08
PS # Pashto,artist,1,2.08
PS # Pashto,soldier,1,2.08
PS # Pashto,teacher,1,2.08
PS # Pashto,farmer,1,2.08
PS # Pashto,book,1,2.08
PS # Pashto,bridge,1,2.08
PS # Pashto,century,1,2.08
PT # Portuguese,courage,1,2.08
PT # Portuguese,justice,1,2.08
PT # Portuguese,monkey,1,2.08
PT # Portuguese,dog,1,2.08
PT # Portuguese,lake,1,2.08
PT # Portuguese,ocean,1,2.08
PT # Portuguese,forest,1,2.08
PT # Portuguese,island,1,2.08
PT # Portuguese,cactus,1,2.08
PT # Portuguese,rose,1,2.08
PT # Portuguese,grass,1,2.08
PT # Portuguese,potato,1,2.08
PT # Portuguese,brother,1,2.08
PT # Portuguese,rival,1,2.08
PT # Portuguese,father,1,2.08
PT # Portuguese,stranger,1,2.08
PT # Portuguese,front,1,2.08
PT # Portuguese,inside,1,2.08
PT # Portuguese,outside,1,2.08
PT # Portuguese,above,1,2.08
PT # Portuguese,morning,1,2.08
PT # Portuguese,evening,1,2.08
PT # Portuguese,second,1,2.08
PT # Portuguese,elephant,1,2.08
PT # Portuguese,cat,1,2.08
PT # Portuguese,lock,1,2.08
PT # Portuguese,fog,1,2.08
PT # Portuguese,wisdom,1,2.08
PT # Portuguese,freedom,1,2.08
PT # Portuguese,candle,1,2.08
PT # Portuguese,flag,1,2.08
PT # Portuguese,painting,1,2.08
PT # Portuguese,crown,1,2.08
PT # Portuguese,earthquake,1,2.08
PT # Portuguese,rainbow,1,2.08
PT # Portuguese,volcano,1,2.08
PT # Portuguese,banana,1,2.08
PT # Portuguese,moon,1,2.08
PT # Portuguese,soup,1,2.08
PT # Portuguese,beef,1,2.08
PT # Portuguese,rice,1,2.08
PT # Portuguese,artist,1,2.08
PT # Portuguese,soldier,1,2.08
PT # Portuguese,teacher,1,2.08
PT # Portuguese,farmer,1,2.08
PT # Portuguese,book,1,2.08
PT # Portuguese,bridge,1,2.08
PT # Portuguese,century,1,2.08
RU # Russian,courage,1,2.08
RU # Russian,justice,1,2.08
RU # Russian,snake,1,2.08
RU # Russian,dog,1,2.08
RU # Russian,lake,1,2.08
RU # Russian,ocean,1,2.08
RU # Russian,forest,1,2.08
RU # Russian,island,1,2.08
RU # Russian,cactus,1,2.08
RU # Russian,rose,1,2.08
RU # Russian,grass,1,2.08
RU # Russian,potato,1,2.08
RU # Russian,brother,1,2.08
RU # Russian,rival,1,2.08
RU # Russian,father,1,2.08
RU # Russian,stranger,1,2.08
RU # Russian,east,1,2.08
RU # Russian,inside,1,2.08
RU # Russian,west,1,2.08
RU # Russian,above,1,2.08
RU # Russian,morning,1,2.08
RU # Russian,evening,1,2.08
RU # Russian,second,1,2.08
RU # Russian,elephant,1,2.08
RU # Russian,cat,1,2.08
RU # Russian,lock,1,2.08
RU # Russian,fog,1,2.08
RU # Russian,wisdom,1,2.08
RU # Russian,freedom,1,2.08
RU # Russian,candle,1,2.08
RU # Russian,flag,1,2.08
RU # Russian,painting,1,2.08
RU # Russian,crown,1,2.08
RU # Russian,earthquake,1,2.08
RU # Russian,rainbow,1,2.08
RU # Russian,volcano,1,2.08
RU # Russian,banana,1,2.08
RU # Russian,moon,1,2.08
RU # Russian,soup,1,2.08
RU # Russian,beef,1,2.08
RU # Russian,bread,1,2.08
RU # Russian,artist,1,2.08
RU # Russian,soldier,1,2.08
RU # Russian,teacher,1,2.08
RU # Russian,farmer,1,2.08
RU # Russian,book,1,2.08
RU # Russian,bridge,1,2.08
RU # Russian,century,1,2.08
SQ # Albanian,bread,2,4.17
SQ # Albanian,courage,1,2.08
SQ # Albanian,elephant,1,2.08
SQ # Albanian,dog,1,2.08
SQ # Albanian,lake,1,2.08
SQ # Albanian,ocean,1,2.08
SQ # Albanian,forest,1,2.08
SQ # Albanian,island,1,2.08
SQ # Albanian,cactus,1,2.08
SQ # Albanian,rose,1,2.08
SQ # Albanian,grass,1,2.08
SQ # Albanian,potato,1,2.08
SQ # Albanian,brother,1,2.08
SQ # Albanian,rival,1,2.08
SQ # Albanian,father,1,2.08
