Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Abstract Concepts,anger,intense;sudden;deep;boiling;blind;righteous;suppressed;explosive;simmering;uncontrolled
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Food Items,fish,fresh;grilled;smoked;wild;frozen;flaky;oily;salted;raw;seasoned
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Food Items,pasta,cooked;al dente;fresh;dried;stuffed;whole-wheat;sauced;homemade;twisted;colorful
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Food Items,rice,steamed;white;brown;cooked;sticky;wild;fluffy;seasoned;raw;aromatic
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Food Items,soup,hot;creamy;vegetable;hearty;spicy;clear;homemade;chilled;thick;flavorful
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Human Roles,artist,talented;creative;struggling;famous;dedicated;visionary;eccentric;skilled;emerging;passionate
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Human Roles,athlete,fit;professional;dedicated;Olympic;injured;speedy;strong;competitive;young;seasoned
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Human Roles,chef,skilled;innovative;famous;busy;talented;professional;creative;experienced;passionate;meticulous
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Human Roles,doctor,skilled;dedicated;experienced;busy;compassionate;specialist;young;renowned;emergency;caring
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Human Roles,engineer,skilled;innovative;mechanical;electrical;dedicated;experienced;creative;problem-solving;young;senior
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Human Roles,farmer,hardworking;local;organic;experienced;rural;dedicated;small-scale;innovative;seasonal;independent
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Human Roles,lawyer,sharp;experienced;corporate;defense;dedicated;ambitious;ethical;trial;young;renowned
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Human Roles,musician,talented;classical;rock;dedicated;emerging;famous;versatile;passionate;skilled;indie
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Human Roles,scientist,brilliant;dedicated;innovative;environmental;theoretical;experimental;young;renowned;curious;precise
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Human Roles,soldier,brave;trained;veteran;elite;disciplined;young;wounded;loyal;combat-ready;heroic
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Human Roles,teacher,dedicated;experienced;inspiring;patient;young;knowledgeable;strict;creative;passionate;effective
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Human Roles,writer,talented;prolific;aspiring;famous;creative;dedicated;mystery;poetic;young;seasoned
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Inanimate Objects,book,thick;hardcover;bestselling;old;fictional;educational;tattered;colorful;digital;rare
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Inanimate Objects,bridge,old;wooden;steel;suspension;ancient;modern;arched;broken;iconic;long
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Inanimate Objects,drums,loud;rhythmic;wooden;electronic;tribal;small;professional;tuned;antique;colorful
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Inanimate Objects,earth,fertile;round;blue;ancient;shaking;vast;green;molten;distant;stable
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Inanimate Objects,flute,wooden;silver;melodic;antique;handheld;professional;simple;tuned;ancient;shiny
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Inanimate Objects,key,small;metal;rusty;spare;golden;locked;electronic;antique;modern;lost
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Inanimate Objects,knife,sharp;kitchen;rusty;pocket;ceremonial;dull;silver;ancient;folding;dangerous
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Inanimate Objects,lock,sturdy;electronic;rusty;combination;antique;modern;broken;keyed;secure;hidden
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Inanimate Objects,moon,full;crescent;bright;distant;waxing;waning;glowing;ancient;mysterious;red
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Inanimate Objects,pen,black;fountain;ballpoint;cheap;elegant;leaking;colorful;antique;fine-tipped;disposable
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Inanimate Objects,sun,bright;setting;rising;hot;distant;golden;midday;ancient;scorching;mild
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Inanimate Objects,sword,sharp;ancient;ceremonial;steel;magical;rusty;ornate;lightweight;deadly;forged
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Neutral Animals,cat,fluffy;playful;black;stray;domestic;lazy;wild;curious;sleek;affectionate
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Neutral Animals,dog,loyal;playful;large;small;trained;stray;energetic;friendly;barking;protective
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Neutral Animals,dolphin,intelligent;playful;marine;graceful;wild;captive;sleek;social;jumping;endangered
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Neutral Animals,elephant,massive;gray;wild;tame;endangered;intelligent;trumpeting;majestic;charging;gentle
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Neutral Animals,hamster,small;furry;playful;caged;nocturnal;tame;energetic;curious;brown;fluffy
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Neutral Animals,monkey,playful;agile;wild;mischievous;intelligent;swinging;small;captive;noisy;curious
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Neutral Animals,mouse,small;gray;timid;wild;laboratory;squeaky;fast;furry;trapped;nocturnal
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Neutral Animals,peacock,colorful;majestic;wild;captive;strutting;noisy;elegant;rare;feathered;proud
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Neutral Animals,rabbit,fluffy;white;wild;tame;hopping;fast;furry;small;playful;burrowing
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Neutral Animals,shark,dangerous;great;marine;fast;predatory;gray;endangered;aggressive;solitary;massive
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Neutral Animals,snake,venomous;slithering;long;wild;colorful;coiled;harmless;exotic;hidden;scaled
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Neutral Animals,whale,massive;blue;migrating;endangered;graceful;singing;deep-sea;playful;ancient;solitary
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Places,city,bustling;modern;ancient;crowded;coastal;industrial;historic;sprawling;vibrant;polluted
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Places,desert,vast;sandy;arid;hot;barren;remote;windswept;golden;endless;harsh
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Places,forest,dense;ancient;green;tropical;dark;lush;quiet;enchanted;vast;foggy
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Places,island,tropical;remote;volcanic;deserted;green;rocky;inhabited;sandy;small;exotic
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Places,lake,deep;clear;frozen;scenic;freshwater;calm;polluted;vast;hidden;shimmering
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Places,mountain,tall;snowy;rugged;ancient;volcanic;majestic;steep;remote;forested;challenging
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Places,ocean,vast;deep;blue;stormy;calm;salty;endless;mysterious;warm;frigid
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Places,plain,vast;flat;grassy;fertile;dry;endless;open;windswept;green;barren
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Places,plateau,high;flat;rocky;elevated;vast;ancient;windswept;fertile;remote;scenic
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Places,river,wide;flowing;muddy;clear;winding;frozen;swift;ancient;polluted;scenic
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Places,valley,deep;green;fertile;narrow;hidden;scenic;misty;remote;lush;dry
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Places,village,quaint;rural;small;peaceful;ancient;coastal;bustling;isolated;charming;forgotten
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Plants,cactus,spiky;desert;tall;green;flowering;hardy;small;exotic;prickly;drought-resistant
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Plants,eggplant,purple;fresh;ripe;glossy;organic;cooked;large;raw;seeded;firm
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Plants,flower,colorful;fragrant;wild;blooming;delicate;exotic;wilted;garden;red;perennial
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Plants,grass,green;lush;tall;dry;mowed;wild;soft;overgrown;fresh;yellowed
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Plants,lettuce,fresh;crisp;green;organic;leafy;wilted;raw;chopped;hydroponic;salad
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Plants,mushroom,wild;edible;poisonous;fresh;dried;large;button;exotic;cooked;fungal
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Plants,onion,fresh;red;white;pungent;sliced;organic;raw;caramelized;small;spicy
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Plants,pepper,hot;red;green;fresh;spicy;bell;ground;dried;sweet;sliced
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Plants,potato,fresh;baked;mashed;organic;small;raw;fried;starchy;peeled;golden
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Plants,rose,red;fragrant;blooming;thorny;wild;hybrid;white;delicate;garden;wilted
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Plants,tomato,red;ripe;fresh;juicy;organic;sliced;cherry;raw;vine-ripened;canned
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Plants,tree,tall;ancient;leafy;fruit-bearing;evergreen;bare;shady;twisted;young;majestic
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Social Relationships,ally,reliable;strategic;faithful;powerful;secret;international;trusted;supportive;unexpected;loyal
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Social Relationships,brother,older;younger;protective;caring;estranged;twin;supportive;mischievous;distant;loving
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Social Relationships,enemy,sworn;bitter;formidable;hidden;ancient;ruthless;foreign;defeated;dangerous;vengeful
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Social Relationships,father,loving;strict;absent;proud;hardworking;distant;supportive;biological;adoptive;wise
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Social Relationships,follower,loyal;devoted;blind;enthusiastic;cult;social;dedicated;misguided;faithful;active
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Social Relationships,friend,close;loyal;old;new;trustworthy;fun;distant;supportive;childhood;reliable
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Social Relationships,leader,charismatic;strong;visionary;elected;authoritarian;inspiring;effective;controversial;natural;failed
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Social Relationships,mother,loving;caring;strict;single;protective;absent;nurturing;biological;adoptive;devoted
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Social Relationships,partner,business;romantic;reliable;equal;supportive;professional;creative;distant;trusted;committed
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Social Relationships,rival,fierce;corporate;athletic;bitter;longstanding;competitive;defeated;emerging;respected;dangerous
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Social Relationships,sister,younger;older;protective;caring;estranged;twin;supportive;mischievous;distant;loving
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Social Relationships,stranger,mysterious;helpful;dangerous;unknown;friendly;passing;suspicious;foreign;wandering;intriguing
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Spatial Concepts,above,high;overhead;superior;elevated;distant;floating;uppermost;celestial;prominent;airy
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Spatial Concepts,back,rear;hidden;supportive;distant;strong;injured;covered;lower;muscular;straight
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Spatial Concepts,below,underground;lower;submerged;hidden;inferior;deep;sunken;beneath;shadowy;remote
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Spatial Concepts,east,rising;distant;coastal;sunny;ancient;eastern;foggy;remote;windswept;mysterious
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Spatial Concepts,front,forward;main;visible;leading;bold;exposed;decorative;protective;central;striking
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Spatial Concepts,inside,hidden;warm;secure;inner;cozy;protected;enclosed;secret;damp;spacious
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Spatial Concepts,left,abandoned;forgotten;western;unused;damaged;shadowy;isolated;empty;crooked;neglected
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Spatial Concepts,north,frozen;distant;polar;windy;ancient;northern;rugged;remote;chilly;vast
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Spatial Concepts,outside,cold;exposed;bright;rainy;vast;forbidden;open;noisy;welcoming;harsh
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Spatial Concepts,right,correct;eastern;straight;moral;immediate;dominant;proper;accurate;lawful;justified
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Spatial Concepts,south,warm;tropical;distant;southern;humid;coastal;sunny;remote;fertile;breezy
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Spatial Concepts,west,wild;distant;western;sunset;rugged;remote;coastal;windy;ancient;mysterious
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Time Concepts,century,past;modern;ancient;golden;dark;progressive;turbulent;forgotten;revolutionary;prosperous
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Time Concepts,day,sunny;long;busy;short;rainy;ordinary;special;clear;exhausting;memorable
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Time Concepts,evening,quiet;cool;romantic;long;peaceful;golden;busy;foggy;relaxing;festive
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Time Concepts,hour,late;early;final;golden;busy;quiet;fleeting;endless;productive;relaxing
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Time Concepts,minute,final;fleeting;crucial;quiet;tense;brief;endless;precise;waiting;decisive
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Time Concepts,month,busy;short;long;festive;quiet;rainy;productive;memorable;cold;warm
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Time Concepts,morning,fresh;early;foggy;bright;chilly;routine;peaceful;hectic;sunny;crisp
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Time Concepts,night,dark;starry;long;quiet;stormy;festive;sleepless;mysterious;cold;romantic
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Time Concepts,season,busy;mild;harsh;festive;dry;wet;productive;memorable;changing;endless
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Time Concepts,second,final;fleeting;crucial;tense;brief;decisive;quiet;waiting;precise;intense
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Time Concepts,week,busy;short;long;productive;relaxing;eventful;quiet;memorable;exhausting;ordinary
grok-3-mini,english-monolingual,0.0,PS # Pashto,B1,most frequent,Time Concepts,year,new;old;productive;challenging;memorable;quiet;prosperous;turbulent;forgotten;transformative
grok-3-mini,english-monolingual,0.0,PS # Pashto,B2,most frequent,Abstract Concepts,anger,intense;sudden;deep;blind;raw;simmering;explosive;righteous;suppressed;bitter
grok-3-mini,english-monolingual,0.0,PS # Pashto,B2,most frequent,Abstract Concepts,courage,bold;unwavering;heroic;quiet;fierce;moral;innate;reckless;inspiring;steadfast
grok-3-mini,english-monolingual,0.0,PS # Pashto,B2,most frequent,Abstract Concepts,fear,overwhelming;primal;irrational;deep-seated;sudden;paralyzing;creeping;instinctive;nagging;intense
grok-3-mini,english-monolingual,0.0,PS # Pashto,B2,most frequent,Abstract Concepts,freedom,absolute;hard-won;personal;unrestricted;true;basic;fleeting;cherished;unlimited;radical
grok-3-mini,english-monolingual,0.0,PS # Pashto,B2,most frequent,Abstract Concepts,happiness,pure;lasting;simple;genuine;fleeting;overwhelming;quiet;infectious;inner;radiant
grok-3-mini,english-monolingual,0.0,PS # Pashto,B2,most frequent,Abstract Concepts,hate,bitter;intense;deep-seated;irrational;burning;blind;festering;mutual;simmering;vicious
grok-3-mini,english-monolingual,0.0,PS # Pashto,B2,most frequent,Abstract Concepts,honesty,brutal;unwavering;refreshing;absolute;straightforward;rare;heartfelt;painful;complete;genuine
grok-3-mini,english-monolingual,0.0,PS # Pashto,B2,most frequent,Abstract Concepts,justice,swift;blind;social;poetic;true;delayed;equal;restorative;harsh;impartial
grok-3-mini,english-monolingual,0.0,PS # Pashto,B2,most frequent,Abstract Concepts,knowledge,vast;practical;ancient;hidden;theoretical;profound;basic;specialized;shared;innate
grok-3-mini,english-monolingual,0.0,PS # Pashto,B2,most frequent,Abstract Concepts,love,unconditional;passionate;enduring;pure;forbidden;deep;romantic;selfless;fleeting;intense
grok-3-mini,english-monolingual,0.0,PS # Pashto,B2,most frequent,Abstract Concepts,peace,inner;lasting;fragile;global;quiet;temporary;profound;absolute;serene;negotiated
grok-3-mini,english-monolingual,0.0,PS # Pashto,B2,most frequent,Abstract Concepts,wisdom,ancient;profound;practical;timeless;hard-earned;intuitive;deep;worldly;quiet;innate
grok-3-mini,english-monolingual,0.0,PS # Pashto,B2,most frequent,Cultural Artifacts,bell,loud;ringing;antique;golden;small;church;electronic;silver;hand-held;ornate
grok-3-mini,english-monolingual,0.0,PS # Pashto,B2,most frequent,Cultural Artifacts,candle,flickering;scented;tall;beeswax;decorative;melted;aromatic;simple;colored;votive
grok-3-mini,english-monolingual,0.0,PS # Pashto,B2,most frequent,Cultural Artifacts,carpet,plush;woven;patterned;thick;oriental;worn;colorful;soft;Persian;synthetic
grok-3-mini,english-monolingual,0.0,PS # Pashto,B2,most frequent,Cultural Artifacts,coin,ancient;shiny;rare;gold;silver;foreign;counterfeit;old;commemorative;small
grok-3-mini,english-monolingual,0.0,PS # Pashto,B2,most frequent,Cultural Artifacts,crown,golden;royal;jeweled;ancient;ceremonial;heavy;ornate;symbolic;imperial;simple
grok-3-mini,english-monolingual,0.0,PS # Pashto,B2,most frequent,Cultural Artifacts,flag,national;waving;colorful;tattered;symbolic;foreign;proud;striped;historic;large
grok-3-mini,english-monolingual,0.0,PS # Pashto,B2,most frequent,Cultural Artifacts,mask,decorative;protective;theatrical;wooden;facial;mysterious;painted;surgical;elaborate;simple
grok-3-mini,english-monolingual,0.0,PS # Pashto,B2,most frequent,Cultural Artifacts,necklace,gold;pearl;delicate;antique;beaded;silver;elegant;long;jeweled;simple
grok-3-mini,english-monolingual,0.0,PS # Pashto,B2,most frequent,Cultural Artifacts,painting,vibrant;abstract;detailed;famous;landscape;modern;oil;portrait;colorful;antique
grok-3-mini,english-monolingual,0.0,PS # Pashto,B2,most frequent,Cultural Artifacts,ring,gold;diamond;simple;engagement;antique;silver;engraved;large;wedding;decorative
grok-3-mini,english-monolingual,0.0,PS # Pashto,B2,most frequent,Cultural Artifacts,statue,towering;bronze;ancient;marble;heroic;modern;stone;lifelike;commemorative;damaged
