Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Abstract Concepts,anger,strong;intense;sudden;deep;blind;raw;quiet;explosive;repressed;controlled
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Environmental Phenomena,wind,strong;cold;fast;light;warm;quiet;fresh;dry;high;gentle
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Food Items,apple,red;big;fresh;sweet;small;green;juicy;hard;ripe;sour
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Food Items,banana,yellow;big;fresh;sweet;small;green;soft;ripe;long;cheap
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Food Items,beef,fresh;red;tough;juicy;cooked;cheap;big;hot;raw;lean
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Food Items,bread,fresh;soft;white;hot;big;cheap;dry;sweet;hard;brown
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Food Items,broccoli,green;fresh;big;healthy;small;raw;cooked;soft;bitter;long
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Food Items,cheese,yellow;soft;fresh;hard;strong;cheap;white;sweet;melted;big
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Food Items,chicken,fresh;cooked;white;big;cheap;hot;raw;small;juicy;tender
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Food Items,egg,fresh;white;big;small;cooked;raw;hard;soft;brown;cheap
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Food Items,fish,fresh;big;small;cooked;raw;silver;tasty;cheap;wild;frozen
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Food Items,pasta,hot;soft;fresh;long;cheap;white;cooked;dry;tasty;simple
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Food Items,rice,white;cooked;hot;fresh;cheap;soft;dry;brown;long;sticky
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Food Items,soup,hot;tasty;fresh;thick;simple;cold;clear;spicy;cheap;creamy
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Human Roles,artist,creative;talented;young;famous;skilled;poor;happy;busy;old;good
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Human Roles,athlete,strong;fast;young;skilled;fit;famous;tall;dedicated;competitive;healthy
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Human Roles,chef,skilled;busy;famous;young;creative;good;fast;talented;old;happy
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Human Roles,doctor,skilled;busy;kind;young;famous;good;old;helpful;smart;dedicated
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Human Roles,engineer,skilled;smart;busy;young;creative;good;old;dedicated;practical;famous
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Human Roles,farmer,hard-working;old;poor;strong;busy;young;skilled;simple;dedicated;kind
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Human Roles,lawyer,smart;busy;famous;young;skilled;good;old;dedicated;tough;honest
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Human Roles,musician,talented;young;famous;creative;good;busy;old;skilled;happy;dedicated
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Human Roles,scientist,smart;dedicated;young;famous;creative;good;busy;old;skilled;curious
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Human Roles,soldier,brave;strong;young;dedicated;tough;skilled;old;loyal;fit
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Human Roles,teacher,kind;good;busy;young;skilled;old;dedicated;helpful;patient;smart
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Human Roles,writer,creative;talented;young;famous;good;busy;old;skilled;dedicated;quiet
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Inanimate Objects,book,old;new;big;small;interesting;thick;thin;colorful;cheap;good
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Inanimate Objects,bridge,old;big;strong;new;long;high;simple;metal;wooden;broken
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Inanimate Objects,drums,big;loud;old;new;wooden;simple;colorful;heavy;small;shiny
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Inanimate Objects,earth,big;green;old;round;beautiful;dry;wet;hot;cold;rich
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Inanimate Objects,flute,small;wooden;old;shiny;simple;new;light;sweet;long;clear
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Inanimate Objects,key,small;metal;old;shiny;simple;new;heavy;broken;black;useful
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Inanimate Objects,knife,sharp;small;metal;old;simple;new;big;useful;clean;dull
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Inanimate Objects,lock,old;metal;simple;new;strong;small;broken;shiny;secure;cheap
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Inanimate Objects,moon,big;bright;full;old;round;white;beautiful;dark;new;distant
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Inanimate Objects,pen,small;black;new;simple;old;cheap;useful;broken;colorful;smooth
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Inanimate Objects,sun,big;bright;hot;yellow;beautiful;warm;old;strong;high;clear
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Inanimate Objects,sword,sharp;big;old;metal;simple;new;heavy;strong;shiny;long
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Neutral Animals,cat,small;black;cute;wild;old;lazy;fast;friendly;white;playful
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Neutral Animals,dog,big;friendly;old;loyal;fast;small;wild;smart;white;playful
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Neutral Animals,dolphin,smart;big;fast;friendly;wild;playful;gray;strong;young;free
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Neutral Animals,elephant,big;gray;strong;wild;old;smart;slow;friendly;heavy;tall
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Neutral Animals,hamster,small;cute;fast;friendly;wild;brown;playful;young;soft;active
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Neutral Animals,monkey,small;wild;smart;fast;playful;brown;young;funny;strong;noisy
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Neutral Animals,mouse,small;gray;fast;wild;shy;young;smart;weak;brown;quiet
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Neutral Animals,peacock,beautiful;colorful;wild;big;proud;noisy;young;strong;blue;tall
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Neutral Animals,rabbit,small;white;fast;cute;wild;playful;young;soft;brown;shy
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Neutral Animals,shark,big;dangerous;fast;wild;gray;strong;scary;young;sharp;deep
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Neutral Animals,snake,long;dangerous;wild;green;fast;scary;small;strong;poisonous;quiet
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Neutral Animals,whale,big;gray;wild;strong;fast;deep;old;smart;gentle;rare
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Places,city,big;busy;old;modern;crowded;clean;noisy;beautiful;new;rich
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Places,desert,dry;hot;big;sandy;empty;wild;old;quiet;vast;harsh
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Places,forest,green;big;wild;dark;quiet;old;dense;beautiful;wet;cool
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Places,island,small;beautiful;tropical;green;remote;wild;sunny;quiet;big;rocky
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Places,lake,big;blue;deep;quiet;clean;cold;beautiful;small;frozen;fresh
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Places,mountain,high;big;rocky;cold;beautiful;old;green;steep;tall;wild
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Places,ocean,big;deep;blue;wild;cold;beautiful;vast;wet;strong;dark
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Places,plain,flat;big;green;dry;open;wild;simple;vast;quiet;empty
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Places,plateau,high;flat;big;rocky;dry;wild;old;beautiful;vast;cold
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Places,river,long;blue;fast;deep;clean;wild;quiet;big;fresh;winding
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Places,valley,green;deep;beautiful;quiet;wide;wild;narrow;cool;fertile;long
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Places,village,small;quiet;old;simple;green;poor;beautiful;remote;friendly;clean
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Plants,cactus,green;spiky;tall;dry;wild;small;tough;simple;old;rare
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Plants,eggplant,purple;big;fresh;soft;healthy;small;raw;cooked;shiny;long
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Plants,flower,beautiful;colorful;small;fresh;wild;red;sweet;simple;big;fragrant
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Plants,grass,green;soft;fresh;wild;short;long;wet;dry;thick;simple
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Plants,lettuce,green;fresh;crisp;healthy;small;raw;big;soft;wet;simple
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Plants,mushroom,small;white;fresh;wild;soft;raw;big;tasty;rare;brown
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Plants,onion,small;white;fresh;strong;raw;big;cheap;dry;spicy;round
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Plants,pepper,red;small;fresh;hot;raw;green;big;spicy;cheap;round
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Plants,potato,big;brown;fresh;raw;cooked;cheap;small;soft;hard;tasty
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Plants,rose,red;beautiful;fresh;wild;small;fragrant;simple;big;soft;thorny
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Plants,tomato,red;fresh;juicy;small;raw;big;ripe;cheap;soft;round
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Plants,tree,big;green;old;tall;wild;strong;simple;young;leafy;fruit
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Social Relationships,ally,strong;true;loyal;good;reliable;helpful;close;smart;brave;old
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Social Relationships,brother,young;old;strong;kind;smart;helpful;loyal;funny;tall;busy
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Social Relationships,enemy,dangerous;strong;bad;old;smart;powerful;hidden;fierce;cruel;big
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Social Relationships,father,old;strong;kind;smart;busy;loving;tall;helpful;strict;good
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Social Relationships,follower,loyal;young;dedicated;strong;smart;faithful;brave;quiet;old;helpful
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Social Relationships,friend,good;true;loyal;young;helpful;fun;old;smart;kind;close
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Social Relationships,leader,strong;smart;good;young;brave;old;dedicated;powerful;kind;famous
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Social Relationships,mother,kind;loving;old;busy;smart;helpful;strong;young;caring;good
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Social Relationships,partner,good;reliable;strong;smart;loyal;young;helpful;old;close;dedicated
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Social Relationships,rival,strong;tough;smart;young;fierce;old;competitive;dangerous;big;skilled
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Social Relationships,sister,young;old;kind;smart;helpful;fun;tall;loyal;beautiful;busy
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Social Relationships,stranger,unknown;strange;young;old;scary;friendly;tall;quiet;new;mysterious
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Spatial Concepts,above,high;clear;bright;open;safe;distant;blue;warm;full;wide
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Spatial Concepts,back,strong;wide;straight;old;smooth;broken;clean;dark;flat;soft
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Spatial Concepts,below,low;dark;hidden;deep;cold;quiet;wet;narrow;safe;simple
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Spatial Concepts,east,sunny;warm;distant;big;old;new;quiet;green;flat;high
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Spatial Concepts,front,clean;wide;open;bright;strong;simple;new;old;flat;safe
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Spatial Concepts,inside,warm;dark;safe;quiet;clean;small;big;dry;hidden;comfortable
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Spatial Concepts,left,free;open;dark;quiet;hidden;safe;simple;wide;clean;empty
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Spatial Concepts,north,cold;wild;distant;big;green;quiet;high;old;new;flat
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Spatial Concepts,outside,cold;wet;open;bright;noisy;free;dark;wide;clean;empty
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Spatial Concepts,right,correct;strong;clear;simple;good;safe;wide;bright;clean;flat
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Spatial Concepts,south,warm;sunny;big;green;quiet;flat;distant;old;new;wild
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Spatial Concepts,west,wild;distant;big;quiet;green;flat;old;new;high;sunny
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Time Concepts,century,long;old;great;new;important;dark;golden;short;famous;quiet
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Time Concepts,day,long;sunny;busy;short;warm;cold;clear;dark;good;new
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Time Concepts,evening,quiet;cool;long;dark;beautiful;short;warm;busy;clear;relaxing
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Time Concepts,hour,long;short;busy;quiet;early;late;full;empty;dark;bright
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Time Concepts,minute,short;quick;long;busy;quiet;early;late;full;simple;exact
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Time Concepts,month,long;short;busy;quiet;warm;cold;full;new;old;dry
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Time Concepts,morning,fresh;bright;early;cool;busy;quiet;clear;warm;new;short
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Time Concepts,night,dark;long;quiet;cold;beautiful;short;busy;clear;warm;starry
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Time Concepts,season,long;short;warm;cold;dry;wet;beautiful;new;old;quiet
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Time Concepts,second,short;quick;long;fast;simple;exact;busy;quiet;early;late
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Time Concepts,week,long;short;busy;quiet;full;new;old;fast;slow;simple
grok-3-mini,think-in-native,0.0,TH # Thai,B1,most frequent,Time Concepts,year,long;new;old;busy;quiet;full;good;bad;fast;simple
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Abstract Concepts,anger,intense;sudden;deep;blind;raw;suppressed;explosive;quiet;righteous;personal
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Abstract Concepts,courage,brave;strong;quiet;sudden;great;true;inner;bold;heroic;simple
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Abstract Concepts,fear,deep;sudden;great;dark;cold;hidden;real;intense;basic;common
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Abstract Concepts,freedom,true;full;personal;great;basic;new;hard-won;simple;equal;open
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Abstract Concepts,happiness,great;true;simple;pure;sudden;deep;lasting;quiet;real;inner
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Abstract Concepts,hate,deep;blind;strong;bitter;intense;pure;sudden;cold;personal;dark
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Abstract Concepts,honesty,true;simple;full;basic;clear;real;direct;pure;quiet;strong
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Abstract Concepts,justice,fair;true;blind;quick;equal;basic;strong;pure;simple;real
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Abstract Concepts,knowledge,deep;wide;basic;true;simple;practical;real;new;clear;strong
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Abstract Concepts,love,true;deep;pure;strong;simple;blind;great;quiet;sudden;real
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Abstract Concepts,peace,true;quiet;deep;simple;lasting;inner;full;basic;real;strong
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Abstract Concepts,wisdom,great;deep;true;simple;ancient;clear;practical;real;quiet;strong
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Cultural Artifacts,bell,old;big;small;loud;clear;metal;simple;broken;shiny;ancient
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Cultural Artifacts,candle,small;tall;white;burning;simple;old;colored;soft;warm;broken
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Cultural Artifacts,carpet,soft;old;big;colorful;thick;dirty;new;simple;warm;patterned
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Cultural Artifacts,coin,old;small;shiny;gold;silver;rare;dirty;simple;heavy;ancient
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Cultural Artifacts,crown,gold;royal;big;old;shiny;simple;heavy;broken;ancient;jeweled
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Cultural Artifacts,flag,national;old;colorful;big;simple;torn;new;red;blue;white
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Cultural Artifacts,mask,old;scary;simple;colorful;wooden;broken;new;black;protective;funny
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Cultural Artifacts,necklace,gold;simple;old;shiny;long;broken;colorful;heavy;cheap;elegant
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Cultural Artifacts,painting,old;beautiful;simple;colorful;large;broken;new;famous;dark;bright
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Cultural Artifacts,ring,gold;small;shiny;old;simple;broken;cheap;heavy;elegant;ancient
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Cultural Artifacts,statue,big;old;stone;broken;simple;famous;tall;new;metal;beautiful
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Cultural Artifacts,vase,old;beautiful;broken;simple;tall;colorful;glass;cheap;new;elegant
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Environmental Phenomena,cloud,white;big;dark;light;fluffy;low;high;fast;gray;thin
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Environmental Phenomena,earthquake,strong;sudden;big;dangerous;deep;rare;minor;violent;early;local
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Environmental Phenomena,fog,thick;dense;cold;early;light;morning;gray;wet;low;heavy
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Environmental Phenomena,lightning,bright;fast;sudden;dangerous;strong;white;rare;distant;powerful;quick
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Environmental Phenomena,rain,heavy;light;cold;warm;steady;sudden;soft;hard;early;long
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Environmental Phenomena,rainbow,bright;colorful;beautiful;rare;big;clear;short;high;wet;simple
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Environmental Phenomena,snow,white;cold;deep;light;fresh;soft;heavy;wet;pure;thick
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Environmental Phenomena,storm,strong;big;sudden;violent;cold;wet;long;dark;powerful;early
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Environmental Phenomena,thunder,loud;sudden;deep;strong;distant;rare;quick;heavy;dark;powerful
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Environmental Phenomena,tide,high;low;strong;fast;calm;rising;falling;cold;deep;simple
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Environmental Phenomena,volcano,active;big;dangerous;old;hot;sleeping;rare;high;violent;deep
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Environmental Phenomena,wind,strong;cold;warm;light;fast;gentle;steady;hot;dry;wet
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Food Items,apple,red;green;fresh;sweet;big;small;ripe;sour;juicy;hard
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Food Items,banana,yellow;green;fresh;ripe;big;small;sweet;soft;long;cheap
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Food Items,beef,fresh;cooked;red;tough;tender;cheap;fatty;lean;hot;cold
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Food Items,bread,fresh;soft;warm;white;brown;cheap;hard;simple;tasty;dry
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Food Items,broccoli,green;fresh;raw;cooked;big;small;healthy;soft;crunchy;cheap
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Food Items,cheese,yellow;soft;hard;fresh;tasty;cheap;strong;mild;warm;cold
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Food Items,chicken,fresh;cooked;white;tender;cheap;fatty;lean;hot;cold;big
grok-3-mini,think-in-native,0.0,TH # Thai,B2,most frequent,Food Items,egg,fresh;white;brown;hard;soft;raw;cooked;big;small;cheap
