Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,anger,strong;deep;hot;wild;red;loud;bitter;quick;fierce;dark
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Inanimate Objects,knife,sharp;small;long;heavy;silver;dangerous;old;shiny;thin;useful
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Inanimate Objects,lock,old;small;heavy;metal;strong;shiny;round;broken;secure;rusty
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Inanimate Objects,moon,white;round;bright;full;big;beautiful;pale;cold;high;mysterious
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Inanimate Objects,pen,black;blue;small;cheap;old;new;thin;heavy;plastic;useful
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Inanimate Objects,sun,bright;hot;big;yellow;warm;high;round;golden;strong;shining
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Inanimate Objects,sword,sharp;long;heavy;old;silver;shiny;dangerous;strong;ancient;powerful
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Neutral Animals,cat,small;black;white;soft;cute;lazy;fast;quiet;furry;friendly
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Neutral Animals,dog,big;brown;loyal;friendly;fast;loud;strong;happy;young;protective
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Neutral Animals,dolphin,smart;friendly;fast;blue;small;playful;cute;strong;happy;wild
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Neutral Animals,elephant,big;grey;strong;heavy;tall;slow;kind;old;wild;huge
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Neutral Animals,hamster,small;cute;furry;soft;fast;tiny;brown;active;playful;quiet
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Neutral Animals,monkey,small;brown;fast;funny;wild;clever;active;loud;naughty;curious
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Neutral Animals,mouse,small;grey;fast;tiny;quiet;shy;brown;cute;sneaky;weak
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Neutral Animals,peacock,colorful;beautiful;big;proud;loud;rare;green;blue;tall;elegant
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Neutral Animals,rabbit,small;white;soft;cute;fast;shy;brown;furry;quiet;sweet
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Neutral Animals,shark,big;scary;fast;grey;dangerous;strong;wild;hungry;sharp;cold
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Neutral Animals,snake,long;green;dangerous;fast;scary;thin;cold;wild;black;silent
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Neutral Animals,whale,big;blue;huge;slow;strong;friendly;heavy;deep;wild;amazing
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Places,city,big;busy;noisy;modern;old;crowded;dirty;beautiful;tall;bright
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Places,desert,hot;dry;big;sandy;empty;yellow;dangerous;silent;wide;harsh
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Places,forest,green;big;dark;thick;old;quiet;wild;deep;beautiful;mysterious
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Places,island,small;green;beautiful;remote;tropical;quiet;blue;sandy;wild;lonely
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Places,lake,blue;clear;big;deep;calm;cold;beautiful;quiet;still;fresh
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Places,mountain,high;big;tall;rocky;cold;green;beautiful;steep;snowy;strong
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Places,ocean,big;blue;deep;wide;cold;wild;salty;beautiful;dark;vast
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Places,plain,wide;flat;green;big;open;dry;empty;yellow;quiet;simple
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Places,plateau,high;flat;wide;dry;big;rocky;open;cold;empty;vast
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Places,river,long;blue;deep;wide;fast;clear;cold;beautiful;calm;winding
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Places,valley,green;deep;wide;beautiful;quiet;long;narrow;fertile;peaceful;hidden
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Places,village,small;quiet;old;beautiful;friendly;simple;green;poor;remote;peaceful
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Plants,cactus,green;tall;sharp;dry;small;thick;spiky;tough;wild;hard
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Plants,eggplant,purple;long;shiny;soft;fresh;small;tasty;smooth;cooked;healthy
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Plants,flower,red;yellow;beautiful;small;fresh;colorful;sweet;soft;bright;delicate
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Plants,grass,green;soft;thick;short;long;wet;fresh;dry;tall;wild
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Plants,lettuce,green;fresh;crispy;soft;light;healthy;raw;small;wet;clean
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Plants,mushroom,brown;small;soft;white;tasty;round;fresh;wild;strange;earthy
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Plants,onion,white;strong;small;round;sharp;fresh;raw;yellow;cooked;tasty
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Plants,pepper,red;green;hot;small;spicy;fresh;round;yellow;tasty;sharp
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Plants,potato,brown;round;hard;small;fresh;tasty;cooked;soft;dirty;healthy
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Plants,rose,red;beautiful;soft;small;fragrant;pink;delicate;thorny;lovely;bright
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Plants,tomato,red;round;juicy;fresh;small;tasty;soft;ripe;sweet;healthy
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Plants,tree,tall;green;old;big;strong;thick;beautiful;leafy;brown;ancient
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Social Relationships,ally,loyal;kind;helpful;close;strong;true;friendly;good;reliable;trusted
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Social Relationships,brother,kind;strong;young;old;funny;close;tall;protective;loving;friendly
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Social Relationships,enemy,strong;dangerous;bad;angry;cruel;cold;dark;hateful;sneaky;tough
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Social Relationships,father,kind;strong;old;wise;tall;loving;strict;caring;funny;protective
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Social Relationships,follower,loyal;young;quiet;eager;close;true;active;faithful;shy;supportive
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Social Relationships,friend,kind;funny;close;loyal;good;sweet;helpful;nice;caring;trusted
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Social Relationships,leader,strong;wise;brave;smart;kind;tall;confident;strict;fair;powerful
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Social Relationships,mother,kind;loving;caring;sweet;strong;gentle;wise;warm;strict;protective
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Social Relationships,partner,kind;loyal;close;funny;smart;helpful;loving;strong;good;trusted
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Social Relationships,rival,strong;tough;smart;angry;fast;dangerous;cold;sneaky;competitive;hard
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Social Relationships,sister,kind;funny;young;sweet;close;loving;tall;caring;annoying;friendly
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Social Relationships,stranger,unknown;tall;quiet;strange;cold;shy;dark;mysterious;distant;weird
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Spatial Concepts,above,high;clear;bright;wide;big;open;blue;far;empty;distant
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Spatial Concepts,back,strong;wide;straight;small;long;painful;weak;broad;heavy;tired
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Spatial Concepts,below,low;dark;cold;deep;hidden;quiet;small;close;wet;silent
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Spatial Concepts,east,far;warm;bright;open;distant;red;new;beautiful;wide;sunny
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Spatial Concepts,front,wide;open;clear;big;straight;bright;clean;close;strong;visible
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Spatial Concepts,inside,warm;dark;small;quiet;safe;tight;cozy;hidden;deep;crowded
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Spatial Concepts,left,close;small;narrow;dark;low;weak;hidden;quiet;far;empty
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Spatial Concepts,north,cold;far;dark;high;wide;snowy;windy;distant;blue;quiet
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Spatial Concepts,outside,cold;wide;open;bright;big;noisy;fresh;green;sunny;windy
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Spatial Concepts,right,strong;close;clear;bright;big;correct;wide;high;open;straight
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Spatial Concepts,south,warm;sunny;far;bright;hot;green;wide;open;distant;beautiful
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Spatial Concepts,west,far;warm;red;open;distant;beautiful;sunny;wide;quiet;bright
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Time Concepts,century,old;long;past;new;great;important;famous;ancient;golden;dark
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Time Concepts,day,long;short;sunny;rainy;hot;cold;busy;happy;sad;bright
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Time Concepts,evening,quiet;cool;dark;calm;beautiful;long;warm;peaceful;clear;lovely
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Time Concepts,hour,long;short;busy;quiet;late;early;fast;slow;happy;hard
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Time Concepts,minute,quick;short;fast;long;busy;quiet;important;slow;exact;precious
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Time Concepts,month,long;short;busy;cold;hot;rainy;sunny;quiet;happy;hard
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Time Concepts,morning,early;sunny;cold;quiet;fresh;bright;calm;busy;cool;clear
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Time Concepts,night,dark;long;cold;quiet;black;late;silent;scary;beautiful;peaceful
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Time Concepts,season,hot;cold;wet;dry;long;short;beautiful;hard;green;colorful
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Time Concepts,second,quick;fast;short;small;important;last;exact;precious;brief;final
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Time Concepts,week,long;short;busy;hard;quiet;fast;slow;happy;tiring;stressful
grok-3,basic,1.0,ES # Spanish,B1,most frequent,Time Concepts,year,long;short;busy;hard;happy;sad;new;old;great;difficult
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Abstract Concepts,anger,strong;intense;fierce;burning;deep;sudden;wild;bitter;hot;powerful
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Abstract Concepts,courage,great;bold;fearless;brave;strong;amazing;true;inspiring;heroic;real
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Abstract Concepts,fear,dark;deep;cold;terrible;real;strong;hidden;sudden;awful;intense
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Abstract Concepts,freedom,true;complete;sweet;hard;new;personal;pure;beautiful;precious;total
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Abstract Concepts,happiness,pure;great;true;bright;warm;real;simple;deep;sweet;endless
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Abstract Concepts,hate,strong;deep;bitter;dark;fierce;cold;intense;pure;hidden;terrible
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Abstract Concepts,honesty,true;pure;clear;strong;real;simple;complete;brave;honest;direct
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Abstract Concepts,justice,fair;true;strong;real;pure;equal;honest;right;clear;firm
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Abstract Concepts,knowledge,deep;wide;great;useful;strong;basic;clear;new;vast;important
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Abstract Concepts,love,true;deep;pure;warm;sweet;strong;real;endless;beautiful;kind
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Abstract Concepts,peace,calm;quiet;true;deep;sweet;lasting;real;beautiful;inner;perfect
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Abstract Concepts,wisdom,deep;great;true;old;clear;strong;practical;pure;ancient;wise
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Cultural Artifacts,bell,loud;clear;small;golden;heavy;old;shiny;bright;sweet;ringing
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Cultural Artifacts,candle,bright;small;warm;white;soft;burning;red;tiny;glowing;scented
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Cultural Artifacts,carpet,soft;thick;red;old;beautiful;warm;clean;big;colorful;expensive
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Cultural Artifacts,coin,old;shiny;small;golden;silver;rare;heavy;round;valuable;dirty
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Cultural Artifacts,crown,golden;heavy;shiny;royal;beautiful;old;rich;grand;precious;elegant
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Cultural Artifacts,flag,national;colorful;big;bright;waving;proud;red;white;blue;important
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Cultural Artifacts,mask,scary;black;white;funny;strange;dark;wooden;colorful;mysterious;hidden
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Cultural Artifacts,necklace,beautiful;golden;silver;long;shiny;expensive;delicate;elegant;simple;precious
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Cultural Artifacts,painting,beautiful;old;colorful;famous;big;small;dark;bright;amazing;detailed
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Cultural Artifacts,ring,golden;silver;small;shiny;beautiful;expensive;simple;elegant;round;precious
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Cultural Artifacts,statue,tall;old;stone;beautiful;big;white;ancient;famous;grand;silent
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Cultural Artifacts,vase,delicate;old;beautiful;small;glass;white;tall;expensive;elegant;broken
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Environmental Phenomena,cloud,white;dark;big;soft;fluffy;gray;heavy;high;light;moving
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Environmental Phenomena,earthquake,strong;terrible;sudden;powerful;scary;dangerous;destructive;violent;awful;massive
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Environmental Phenomena,fog,thick;cold;white;heavy;gray;dark;wet;mysterious;silent;dense
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Environmental Phenomena,lightning,bright;sudden;strong;scary;powerful;white;fast;dangerous;loud;striking
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Environmental Phenomena,rain,heavy;light;cold;soft;wet;strong;sudden;dark;endless;gentle
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Environmental Phenomena,rainbow,colorful;bright;beautiful;rare;magical;clear;wide;amazing;vivid;perfect
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Environmental Phenomena,snow,white;cold;soft;heavy;light;thick;beautiful;wet;falling;pure
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Environmental Phenomena,storm,strong;dark;loud;dangerous;violent;sudden;heavy;scary;powerful;wild
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Environmental Phenomena,thunder,loud;deep;strong;sudden;scary;powerful;dark;heavy;distant;rumbling
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Environmental Phenomena,tide,high;low;strong;powerful;fast;dangerous;rising;falling;calm;steady
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Environmental Phenomena,volcano,active;dangerous;hot;powerful;huge;dark;angry;sleeping;tall;fiery
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Environmental Phenomena,wind,strong;cold;warm;fast;light;heavy;soft;wild;gentle;blowing
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Food Items,apple,red;green;sweet;juicy;fresh;small;round;crunchy;ripe;delicious
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Food Items,banana,yellow;sweet;soft;long;ripe;fresh;small;curved;tasty;healthy
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Food Items,beef,red;fresh;tender;juicy;cooked;raw;expensive;tasty;soft;grilled
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Food Items,bread,fresh;warm;soft;white;brown;crusty;hard;tasty;homemade;sliced
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Food Items,broccoli,green;fresh;healthy;small;tender;raw;cooked;bitter;soft;steamed
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Food Items,cheese,yellow;white;soft;hard;creamy;strong;smelly;tasty;fresh;melted
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Food Items,chicken,cooked;raw;tender;juicy;white;fresh;grilled;roasted;fried;tasty
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Food Items,egg,white;brown;fresh;boiled;fried;raw;small;round;cracked;soft
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Food Items,fish,fresh;raw;cooked;white;small;big;tasty;silver;grilled;salty
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Food Items,pasta,soft;cooked;fresh;long;short;yellow;tasty;hot;dry;creamy
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Food Items,rice,white;brown;soft;sticky;dry;cooked;hot;plain;tasty;fluffy
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Food Items,soup,hot;warm;tasty;thick;thin;creamy;clear;fresh;salty;homemade
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Human Roles,artist,talented;creative;famous;young;old;passionate;skilled;unique;inspired;brilliant
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Human Roles,athlete,strong;fast;young;skilled;talented;fit;powerful;determined;brave;competitive
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Human Roles,chef,skilled;creative;famous;busy;talented;young;experienced;friendly;passionate;professional
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Human Roles,doctor,kind;smart;busy;helpful;patient;young;experienced;friendly;careful;professional
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Human Roles,engineer,smart;skilled;creative;young;experienced;busy;talented;practical;innovative;careful
grok-3,basic,1.0,ES # Spanish,B2,most frequent,Human Roles,farmer,hardworking;kind;strong;old;friendly;busy;patient;simple;experienced;tough
