Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Abstract Concepts,anger,strong;deep;hot;wild;dark;quick;bitter;fierce;loud;heavy
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Neutral Animals,snake,long;dangerous;green;fast;scary;thin;quiet;wild;cold;sneaky
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Neutral Animals,whale,big;blue;heavy;slow;beautiful;strong;wild;deep;gentle;rare
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Places,city,big;busy;noisy;modern;old;crowded;beautiful;dirty;bright;tall
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Places,desert,hot;dry;big;empty;sandy;quiet;dangerous;yellow;vast;lonely
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Places,forest,green;big;dark;quiet;thick;wild;beautiful;old;deep;mysterious
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Places,island,small;beautiful;quiet;green;remote;tropical;lonely;blue;warm;peaceful
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Places,lake,blue;calm;big;clear;cold;deep;quiet;beautiful;still;fresh
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Places,mountain,tall;high;big;cold;rocky;beautiful;steep;white;strong;old
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Places,ocean,big;blue;deep;vast;cold;wild;beautiful;dangerous;salty;endless
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Places,plain,wide;flat;green;big;empty;quiet;open;vast;simple;dry
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Places,plateau,high;flat;wide;dry;big;rocky;empty;cold;quiet;vast
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Places,river,long;blue;clear;fast;wide;deep;cold;beautiful;quiet;strong
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Places,valley,green;deep;narrow;beautiful;quiet;long;wide;fertile;peaceful;hidden
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Places,village,small;quiet;old;peaceful;friendly;simple;beautiful;remote;green;cozy
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Plants,cactus,green;tall;sharp;dry;small;tough;spiky;hard;desert;strong
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Plants,eggplant,purple;long;soft;fresh;tasty;small;shiny;healthy;cooked;raw
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Plants,flower,beautiful;colorful;small;fresh;sweet;bright;delicate;soft;pretty;fragrant
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Plants,grass,green;soft;thick;short;long;fresh;wet;dry;tall;smooth
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Plants,lettuce,green;fresh;soft;light;healthy;crispy;small;raw;tasty;cool
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Plants,mushroom,small;brown;soft;tasty;fresh;wild;round;white;strange;edible
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Plants,onion,white;strong;small;round;fresh;sharp;tasty;raw;yellow;spicy
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Plants,pepper,red;green;hot;small;fresh;spicy;tasty;round;yellow;sharp
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Plants,potato,brown;small;hard;fresh;tasty;round;soft;cooked;healthy;simple
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Plants,rose,red;beautiful;soft;fragrant;small;delicate;bright;thorny;pretty;elegant
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Plants,tomato,red;round;fresh;juicy;small;tasty;soft;ripe;healthy;sweet
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Plants,tree,tall;green;old;big;strong;beautiful;thick;leafy;brown;ancient
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Social Relationships,ally,loyal;helpful;strong;kind;true;close;friendly;reliable;supportive;trusted
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Social Relationships,brother,kind;strong;young;older;funny;close;helpful;protective;friendly;loving
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Social Relationships,enemy,dangerous;strong;cold;cruel;dark;bitter;fierce;hidden;powerful;hated
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Social Relationships,father,kind;strong;old;wise;loving;strict;helpful;protective;caring;funny
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Social Relationships,follower,loyal;young;eager;quiet;supportive;dedicated;true;active;trusting;close
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Social Relationships,friend,kind;funny;loyal;close;helpful;sweet;true;caring;honest;dear
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Social Relationships,leader,strong;wise;brave;smart;kind;strict;confident;powerful;fair;inspiring
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Social Relationships,mother,kind;loving;caring;sweet;strong;gentle;wise;protective;warm;patient
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Social Relationships,partner,loyal;kind;close;helpful;loving;funny;strong;supportive;honest;trusted
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Social Relationships,rival,strong;tough;smart;dangerous;close;fierce;competitive;cold;bitter;challenging
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Social Relationships,sister,kind;funny;young;older;sweet;close;helpful;loving;caring;friendly
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Social Relationships,stranger,unknown;quiet;cold;distant;strange;tall;dark;mysterious;shy;polite
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Spatial Concepts,above,high;clear;bright;open;wide;blue;distant;far;empty;visible
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Spatial Concepts,back,strong;wide;straight;sore;hidden;dark;cold;heavy;tired;broad
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Spatial Concepts,below,low;dark;deep;hidden;cold;quiet;close;small;silent;empty
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Spatial Concepts,east,far;warm;bright;distant;beautiful;open;ancient;exotic;sunny;cultural
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Spatial Concepts,front,clear;open;wide;straight;bright;close;visible;strong;bold;main
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Spatial Concepts,inside,warm;dark;quiet;small;hidden;cozy;safe;deep;soft;comfortable
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Spatial Concepts,left,close;near;small;hidden;quiet;dark;lower;weak;odd;remaining
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Spatial Concepts,north,cold;far;dark;distant;wild;quiet;snowy;harsh;beautiful;remote
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Spatial Concepts,outside,cold;bright;open;wide;fresh;noisy;busy;sunny;wet;windy
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Spatial Concepts,right,correct;close;near;strong;clear;main;proper;good;direct;perfect
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Spatial Concepts,south,warm;sunny;far;bright;hot;beautiful;distant;green;tropical;lively
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Spatial Concepts,west,far;wild;open;distant;sunny;beautiful;modern;warm;historical;vast
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Time Concepts,century,old;long;past;new;important;historical;ancient;famous;early;recent
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Time Concepts,day,long;short;sunny;rainy;busy;quiet;happy;sad;cold;warm
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Time Concepts,evening,quiet;cool;dark;long;beautiful;calm;peaceful;late;soft;relaxing
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Time Concepts,hour,long;short;busy;quiet;late;early;fast;slow;important;final
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Time Concepts,minute,quick;short;fast;long;important;last;busy;quiet;exact;precious
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Time Concepts,month,long;short;cold;warm;busy;quiet;rainy;sunny;important;special
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Time Concepts,morning,early;fresh;cool;bright;quiet;sunny;busy;cold;beautiful;calm
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Time Concepts,night,dark;long;quiet;cold;late;beautiful;silent;scary;peaceful;starry
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Time Concepts,season,warm;cold;wet;dry;long;short;beautiful;busy;colorful;changing
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Time Concepts,second,quick;fast;short;last;important;final;tiny;exact;brief;critical
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Time Concepts,week,long;short;busy;quiet;hard;easy;fast;slow;important;special
grok-3,think-in-native,0.0,IT # Italian,B1,most frequent,Time Concepts,year,long;short;busy;happy;sad;important;new;old;fast;difficult
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Abstract Concepts,anger,strong;intense;deep;burning;fierce;wild;sudden;bitter;hot;uncontrollable
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Abstract Concepts,courage,great;brave;bold;fearless;strong;true;amazing;heroic;powerful;inspiring
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Abstract Concepts,fear,dark;cold;heavy;deep;real;constant;hidden;terrible;overwhelming;silent
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Abstract Concepts,freedom,true;complete;pure;sweet;hard;precious;new;personal;total;desired
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Abstract Concepts,happiness,pure;simple;bright;warm;endless;genuine;deep;shared;quiet;beautiful
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Abstract Concepts,hate,strong;deep;blind;cold;bitter;dark;fierce;hidden;intense;cruel
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Abstract Concepts,honesty,true;clear;pure;strong;real;simple;brave;complete;rare;absolute
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Abstract Concepts,justice,fair;true;strict;equal;hard;pure;blind;necessary;moral;right
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Abstract Concepts,knowledge,deep;vast;wide;useful;great;basic;new;hidden;practical;essential
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Abstract Concepts,love,true;deep;pure;warm;endless;sweet;strong;gentle;passionate;eternal
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Abstract Concepts,peace,calm;quiet;true;inner;lasting;sweet;global;silent;beautiful;fragile
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Abstract Concepts,wisdom,deep;great;ancient;true;quiet;practical;rare;clear;powerful;timeless
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Cultural Artifacts,bell,loud;clear;small;old;shiny;golden;heavy;sweet;bright;ringing
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Cultural Artifacts,candle,small;warm;bright;soft;white;burning;scented;thin;old;flickering
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Cultural Artifacts,carpet,soft;thick;red;old;beautiful;expensive;warm;colorful;large;patterned
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Cultural Artifacts,coin,old;shiny;small;silver;gold;rare;heavy;round;valuable;ancient
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Cultural Artifacts,crown,golden;heavy;royal;shiny;beautiful;old;precious;ornate;powerful;majestic
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Cultural Artifacts,flag,national;colorful;bright;waving;proud;old;torn;large;symbolic;historic
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Cultural Artifacts,mask,scary;funny;black;white;mysterious;old;wooden;painted;hidden;strange
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Cultural Artifacts,necklace,beautiful;shiny;silver;gold;long;delicate;expensive;elegant;simple;precious
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Cultural Artifacts,painting,beautiful;old;colorful;famous;large;detailed;abstract;realistic;expensive;unique
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Cultural Artifacts,ring,gold;silver;shiny;small;beautiful;expensive;simple;elegant;old;precious
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Cultural Artifacts,statue,tall;old;stone;beautiful;ancient;large;famous;white;impressive;detailed
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Cultural Artifacts,vase,delicate;old;beautiful;ceramic;tall;colorful;expensive;fragile;ornate;simple
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Environmental Phenomena,cloud,white;fluffy;dark;heavy;soft;high;grey;big;moving;thick
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Environmental Phenomena,earthquake,strong;sudden;terrible;destructive;scary;powerful;dangerous;violent;unexpected;deadly
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Environmental Phenomena,fog,thick;cold;grey;heavy;mysterious;dense;silent;wet;dark;early
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Environmental Phenomena,lightning,bright;fast;dangerous;loud;powerful;sudden;scary;electric;sharp;striking
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Environmental Phenomena,rain,heavy;light;cold;soft;sudden;warm;endless;gentle;dark;refreshing
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Environmental Phenomena,rainbow,colorful;bright;beautiful;rare;magical;clear;wide;vivid;amazing;lovely
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Environmental Phenomena,snow,white;cold;soft;heavy;light;thick;fresh;silent;beautiful;falling
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Environmental Phenomena,storm,strong;loud;dark;dangerous;violent;sudden;heavy;scary;wild;powerful
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Environmental Phenomena,thunder,loud;deep;scary;sudden;strong;powerful;dark;rolling;distant;booming
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Environmental Phenomena,tide,high;low;strong;fast;dangerous;calm;rising;powerful;steady;changing
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Environmental Phenomena,volcano,active;dangerous;tall;hot;powerful;sleeping;dark;ancient;fiery;massive
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Environmental Phenomena,wind,strong;cold;warm;fast;gentle;wild;loud;soft;fresh;blowing
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Food Items,apple,red;green;sweet;fresh;juicy;small;round;crisp;tasty;ripe
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Food Items,banana,yellow;sweet;soft;long;fresh;ripe;tasty;healthy;curved;small
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Food Items,beef,fresh;tender;red;cooked;juicy;expensive;raw;grilled;tasty;thick
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Food Items,bread,fresh;warm;soft;hard;white;brown;crusty;tasty;homemade;sliced
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Food Items,broccoli,green;fresh;healthy;small;tender;raw;cooked;bitter;crisp;nutritious
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Food Items,cheese,yellow;white;soft;hard;smelly;tasty;creamy;fresh;melted;strong
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Food Items,chicken,fresh;tender;cooked;grilled;juicy;white;roasted;tasty;small;fried
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Food Items,egg,white;brown;fresh;small;boiled;fried;raw;soft;hard;tasty
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Food Items,fish,fresh;raw;cooked;small;big;tasty;silver;grilled;salty;healthy
grok-3,think-in-native,0.0,IT # Italian,B2,most frequent,Food Items,pasta,fresh;cooked;soft;tasty;long;short;hot;homemade;Italian;creamy
