Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,anger,strong;big;bad;hot;quick;sudden;deep;great;blind;cold
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,crown,big;gold;old;new;royal;heavy;shiny;simple;beautiful;metal
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,flag,big;small;national;old;new;red;blue;green;simple;clean
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,mask,small;big;old;new;black;white;simple;funny;scary;protective
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,necklace,small;big;gold;silver;old;new;simple;beautiful;shiny;long
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,painting,big;small;old;new;beautiful;simple;colorful;dark;bright;famous
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,ring,small;big;gold;silver;old;new;simple;shiny;beautiful;heavy
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,statue,big;small;old;new;stone;metal;beautiful;tall;simple;famous
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,vase,big;small;old;new;glass;beautiful;simple;colorful;tall;heavy
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,cloud,big;small;white;dark;fluffy;low;high;fast;slow;wet
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,earthquake,big;strong;sudden;dangerous;deep;bad;long;quick;rare;local
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,fog,thick;thin;cold;wet;heavy;light;low;dark;morning;bad
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,lightning,fast;bright;strong;dangerous;sudden;white;quick;loud;rare;wild
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,rain,heavy;light;cold;warm;steady;quick;bad;fresh;morning;evening
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,rainbow,beautiful;bright;colorful;big;small;rare;clear;full;simple;natural
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,snow,white;cold;deep;light;fresh;wet;soft;heavy;pure;beautiful
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,storm,strong;big;wild;dangerous;sudden;dark;loud;fast;cold;wet
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,thunder,loud;strong;sudden;deep;scary;long;quick;bad;natural;wild
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,tide,high;low;strong;fast;calm;big;small;wet;daily;natural
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,volcano,big;active;dangerous;hot;old;new;tall;deep;rare;wild
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Environmental Phenomena,wind,strong;light;cold;warm;fast;slow;fresh;dry;wet;steady
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Food Items,apple,red;green;big;small;fresh;sweet;juicy;ripe;hard;bad
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Food Items,banana,yellow;big;small;ripe;sweet;fresh;soft;long;bad;green
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Food Items,beef,fresh;cooked;red;big;tough;tender;hot;cold;good;bad
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Food Items,bread,fresh;soft;hard;white;brown;big;small;warm;hot;bad
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Food Items,broccoli,green;fresh;big;small;healthy;cooked;raw;soft;hard;good
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Food Items,cheese,yellow;white;soft;hard;fresh;old;strong;mild;good;bad
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Food Items,chicken,fresh;cooked;white;big;small;tender;juicy;hot;cold;bad
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Food Items,egg,fresh;big;small;white;brown;hard;soft;boiled;raw;good
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Food Items,fish,fresh;big;small;silver;cooked;raw;tasty;cold;wet;bad
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Food Items,pasta,hot;cold;cooked;fresh;dry;soft;long;short;tasty;bad
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Food Items,rice,white;cooked;dry;soft;hot;cold;fresh;long;short;bad
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Food Items,soup,hot;cold;fresh;thick;thin;tasty;simple;vegetable;chicken;bad
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Human Roles,artist,great;young;old;talented;creative;famous;good;bad;local;new
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Human Roles,athlete,strong;fast;young;old;good;bad;professional;famous;skilled;big
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Human Roles,chef,great;young;old;skilled;famous;good;bad;creative;busy;local
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Human Roles,doctor,good;bad;young;old;skilled;busy;local;professional;kind;experienced
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Human Roles,engineer,skilled;young;old;good;bad;professional;creative;busy;local;smart
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Human Roles,farmer,hard-working;young;old;local;good;bad;simple;busy;strong;experienced
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Human Roles,lawyer,good;bad;young;old;skilled;professional;busy;famous;smart;local
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Human Roles,musician,great;young;old;talented;famous;good;bad;creative;skilled;local
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Human Roles,scientist,smart;young;old;good;bad;professional;creative;famous;skilled;busy
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Human Roles,soldier,strong;brave;young;old;good;bad;trained;professional;local
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Human Roles,teacher,good;bad;young;old;kind;experienced;professional;local;creative;patient
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Human Roles,writer,great;young;old;famous;good;bad;creative;skilled;local;talented
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Inanimate Objects,book,big;small;old;new;interesting;boring;thick;thin;colorful;good
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Inanimate Objects,bridge,big;old;new;strong;high;long;metal;wooden;simple;beautiful
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Inanimate Objects,drums,big;small;loud;soft;old;new;wooden;metal;simple;good
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Inanimate Objects,earth,big;round;green;blue;old;beautiful;warm;cold;dry;wet
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Inanimate Objects,flute,small;long;wooden;metal;old;new;simple;sweet;loud;soft
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Inanimate Objects,key,small;metal;old;new;simple;shiny;broken;good;bad;spare
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Inanimate Objects,knife,sharp;dull;small;big;metal;old;new;simple;good;bad
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Inanimate Objects,lock,small;big;old;new;metal;strong;simple;broken;good;bad
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Inanimate Objects,moon,big;small;bright;full;dark;beautiful;cold;old;new;round
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Inanimate Objects,pen,small;black;blue;red;old;new;simple;good;bad;cheap
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Inanimate Objects,sun,big;bright;hot;yellow;warm;beautiful;strong;old;new;daily
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Inanimate Objects,sword,sharp;big;small;old;new;metal;strong;simple;good;bad
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Neutral Animals,cat,small;big;black;white;wild;tame;friendly;lazy;fast;good
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Neutral Animals,dog,big;small;friendly;wild;fast;slow;loyal;good;bad;old
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Neutral Animals,dolphin,big;small;smart;fast;wild;friendly;beautiful;good;rare;playful
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Neutral Animals,elephant,big;gray;strong;wild;tame;slow;friendly;old;young;good
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Neutral Animals,hamster,small;cute;fast;friendly;wild;tame;brown;white;good;bad
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Neutral Animals,monkey,small;big;smart;fast;wild;friendly;noisy;playful;good;bad
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Neutral Animals,mouse,small;gray;fast;wild;tame;quiet;smart;good;bad;common
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Neutral Animals,peacock,big;beautiful;colorful;wild;tame;noisy;proud;good;rare;old
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Neutral Animals,rabbit,small;white;fast;wild;tame;cute;friendly;good;bad;young
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Neutral Animals,shark,big;dangerous;fast;wild;gray;strong;scary;good;bad;rare
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Neutral Animals,snake,long;small;dangerous;wild;tame;green;black;fast;good;bad
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Neutral Animals,whale,big;huge;wild;friendly;gray;fast;slow;good;rare;old
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Places,city,big;small;busy;old;new;beautiful;dirty;clean;modern;historic
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Places,desert,big;dry;hot;sandy;empty;wild;beautiful;harsh;vast;old
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Places,forest,big;green;dense;wild;beautiful;dark;quiet;old;new;wet
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Places,island,small;big;beautiful;tropical;wild;empty;green;old;new;remote
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Places,lake,big;small;blue;deep;calm;wild;beautiful;cold;fresh;old
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Places,mountain,big;high;tall;green;snowy;beautiful;old;wild;steep;rocky
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Places,ocean,big;deep;blue;wild;beautiful;cold;warm;vast;salty;old
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Places,plain,flat;big;green;dry;wild;beautiful;empty;vast;simple;open
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Places,plateau,high;flat;big;rocky;dry;wild;beautiful;vast;simple;old
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Places,river,big;small;long;deep;clean;dirty;wild;beautiful;fast;slow
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Places,valley,deep;green;beautiful;wide;narrow;wild;quiet;old;simple;fertile
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Places,village,small;old;quiet;beautiful;simple;rural;green;clean;friendly;historic
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Plants,cactus,big;small;green;spiky;wild;dry;simple;old;new;tough
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Plants,eggplant,purple;big;small;fresh;soft;raw;cooked;good;bad;shiny
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Plants,flower,beautiful;small;big;red;yellow;fresh;wild;simple;good;old
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Plants,grass,green;long;short;fresh;dry;soft;wild;simple;good;bad
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Plants,lettuce,green;fresh;big;small;crisp;raw;healthy;good;bad;wet
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Plants,mushroom,small;big;white;brown;fresh;wild;cooked;raw;good;bad
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Plants,onion,big;small;white;red;fresh;strong;raw;cooked;good;bad
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Plants,pepper,red;green;big;small;fresh;hot;sweet;raw;cooked;good
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Plants,potato,big;small;brown;fresh;cooked;raw;soft;hard;good;bad
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Plants,rose,red;beautiful;fresh;big;small;wild;simple;good;old;sweet
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Plants,tomato,red;green;big;small;fresh;juicy;raw;cooked;good;bad
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Plants,tree,big;small;green;old;new;tall;strong;wild;simple;beautiful
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Social Relationships,ally,strong;true;good;bad;close;new;old;reliable;helpful;faithful
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Social Relationships,brother,young;old;good;bad;strong;smart;helpful;funny;kind;reliable
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Social Relationships,enemy,strong;bad;dangerous;old;new;powerful;sneaky;fierce;hidden;real
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Social Relationships,father,old;young;good;bad;strong;kind;smart;busy;loving;reliable
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Social Relationships,follower,loyal;good;bad;strong;new;old;faithful;dedicated;helpful;active
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Social Relationships,friend,good;bad;close;new;old;loyal;helpful;funny;kind;reliable
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Social Relationships,leader,strong;good;bad;smart;new;old;powerful;fair;active;dedicated
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Social Relationships,mother,loving;old;young;good;bad;kind;busy;strong;caring;reliable
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Social Relationships,partner,good;bad;strong;reliable;new;old;helpful;active;close;loyal
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Social Relationships,rival,strong;tough;new;old;fierce;smart;dangerous;good;bad;competitive
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Social Relationships,sister,young;old;good;bad;kind;funny;smart;helpful;loyal;caring
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Social Relationships,stranger,unknown;new;old;dangerous;friendly;mysterious;odd;quiet;tall;short
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Spatial Concepts,above,high;clear;bright;blue;open;full;simple;strong;fast;quiet
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Spatial Concepts,back,strong;weak;straight;bent;old;new;clean;dirty;big;small
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Spatial Concepts,below,low;dark;deep;hidden;simple;quiet;cold;wet;empty;narrow
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Spatial Concepts,east,distant;sunny;warm;old;new;big;small;quiet;busy;green
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Spatial Concepts,front,big;small;clean;dirty;open;closed;simple;strong;new;old
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Spatial Concepts,inside,warm;cold;dark;bright;empty;full;safe;simple;clean;dirty
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Spatial Concepts,left,open;closed;empty;full;clean;dirty;simple;strong;new;old
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Spatial Concepts,north,cold;distant;wild;green;big;small;quiet;busy;old;new
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Spatial Concepts,outside,cold;warm;wet;dry;open;empty;full;simple;clean;dirty
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Spatial Concepts,right,correct;wrong;strong;weak;open;closed;simple;new;old;clean
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Spatial Concepts,south,warm;sunny;green;big;small;busy;quiet;old;new;distant
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Spatial Concepts,west,wild;distant;golden;big;small;quiet;busy;old;new;sunny
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Time Concepts,century,long;short;old;new;great;dark;golden;simple;full;important
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Time Concepts,day,long;short;sunny;rainy;busy;quiet;good;bad;hot;cold
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Time Concepts,evening,quiet;long;short;cool;dark;beautiful;busy;simple;warm;cold
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Time Concepts,hour,long;short;busy;quiet;important;simple;early;late;full;empty
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Time Concepts,minute,short;long;quick;slow;important;simple;last;first;full;empty
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Time Concepts,month,long;short;busy;quiet;warm;cold;new;old;full;simple
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Time Concepts,morning,early;fresh;cool;bright;busy;quiet;simple;good;bad;new
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Time Concepts,night,dark;long;short;quiet;cold;beautiful;busy;simple;warm;full
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Time Concepts,season,long;short;warm;cold;wet;dry;good;bad;simple;full
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Time Concepts,second,short;quick;last;first;important;simple;full;empty;new;old
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Time Concepts,week,long;short;busy;quiet;good;bad;full;simple;new;old
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Time Concepts,year,long;short;good;bad;new;old;busy;quiet;full;simple
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Abstract Concepts,anger,intense;sudden;deep;blind;hot;raw;boiling;furious;bitter;controlled
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Abstract Concepts,courage,brave;strong;heroic;bold;great;inner;quiet;true;firm;daring
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Abstract Concepts,fear,deep;sudden;great;cold;dark;constant;hidden;sharp;real;growing
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Abstract Concepts,freedom,true;great;full;new;personal;basic;hard-won;simple;clear;total
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Abstract Concepts,happiness,true;great;simple;pure;lasting;inner;sudden;quiet;warm;shared
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Abstract Concepts,hate,deep;strong;blind;bitter;intense;cold;growing;pure;fierce;hidden
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Abstract Concepts,honesty,true;full;simple;clear;pure;basic;direct;natural;open;rare
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Abstract Concepts,justice,fair;true;blind;equal;quick;strong;basic;clear;natural;final
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Abstract Concepts,knowledge,deep;wide;basic;true;simple;useful;new;old;clear;hidden
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Abstract Concepts,love,true;deep;strong;pure;simple;warm;blind;lasting;sudden;shared
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Abstract Concepts,peace,true;deep;quiet;lasting;simple;inner;full;warm;clear;strong
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Abstract Concepts,wisdom,great;deep;old;true;simple;clear;inner;natural;rare;growing
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Cultural Artifacts,bell,big;small;loud;old;new;metal;broken;shiny;ringing;antique
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Cultural Artifacts,candle,small;big;lit;unlit;wax;scented;old;new;colorful;simple
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Cultural Artifacts,carpet,soft;thick;old;new;colorful;woolen;dirty;clean;large;small
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Cultural Artifacts,coin,old;new;shiny;dirty;small;rare;gold;silver;heavy;light
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Cultural Artifacts,crown,golden;royal;heavy;old;new;simple;decorated;large;shining;broken
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Cultural Artifacts,flag,national;old;new;colorful;torn;waving;small;large;red;blue
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Cultural Artifacts,mask,funny;scary;old;new;colorful;wooden;plastic;simple;hidden;protective
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Cultural Artifacts,necklace,beautiful;old;new;shiny;gold;silver;simple;colorful;heavy;light
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Cultural Artifacts,painting,beautiful;old;new;colorful;large;small;famous;simple;detailed;abstract
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Cultural Artifacts,ring,gold;silver;old;new;shiny;simple;decorated;small;large;broken
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Cultural Artifacts,statue,large;small;old;new;stone;metal;broken;famous;simple;detailed
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Cultural Artifacts,vase,beautiful;old;new;glass;ceramic;large;small;colorful;broken;simple
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Environmental Phenomena,cloud,white;dark;big;small;fluffy;fast-moving;rainy;high;low;gray
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Environmental Phenomena,earthquake,strong;weak;sudden;destructive;deep;rare;dangerous;minor;major;shaking
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Environmental Phenomena,fog,thick;thin;cold;wet;early;dense;light;morning;evening;gray
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Environmental Phenomena,lightning,bright;fast;dangerous;sudden;powerful;forked;distant;close;white;blue
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Environmental Phenomena,rain,heavy;light;cold;warm;steady;sudden;soft;hard;summer;winter
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Environmental Phenomena,rainbow,beautiful;colorful;bright;rare;full;partial;clear;fading;high;low
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Environmental Phenomena,snow,white;soft;heavy;light;cold;fresh;old;deep;falling;melting
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Environmental Phenomena,storm,strong;weak;violent;sudden;rainy;windy;dark;fierce;long;short
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Environmental Phenomena,thunder,loud;soft;sudden;distant;close;rolling;frightening;powerful;deep;long
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Environmental Phenomena,tide,high;low;strong;weak;fast;slow;incoming;outgoing;dangerous;calm
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Environmental Phenomena,volcano,active;dormant;big;small;dangerous;smoking;fiery;old;new;remote
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Environmental Phenomena,wind,strong;weak;cold;warm;fast;gentle;blowing;northern;southern;dry
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Food Items,apple,red;green;sweet;sour;fresh;ripe;unripe;big;small;juicy
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Food Items,banana,yellow;green;ripe;unripe;sweet;long;short;fresh;soft;firm
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Food Items,beef,fresh;cooked;raw;tender;tough;lean;fatty;red;ground;sliced
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Food Items,bread,fresh;old;soft;hard;white;brown;sliced;warm;toasted;plain
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Food Items,broccoli,green;fresh;cooked;raw;crisp;soft;big;small;organic;frozen
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Food Items,cheese,yellow;white;soft;hard;fresh;old;creamy;sharp;mild;sliced
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Food Items,chicken,fresh;cooked;raw;grilled;fried;roasted;white;dark;tender;tough
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Food Items,egg,fresh;old;white;brown;boiled;fried;raw;large;small;cracked
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Food Items,fish,fresh;cooked;raw;salty;fresh-water;sea;big;small;silver;colorful
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Food Items,pasta,cooked;raw;hot;cold;soft;firm;plain;seasoned;long;short
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Food Items,rice,white;brown;cooked;raw;hot;cold;sticky;fluffy;plain;seasoned
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Food Items,soup,hot;cold;thick;thin;tasty;simple;vegetable;meat;creamy;clear
grok-3-mini,basic,1.0,HE # Hebrew,B2,most frequent,Human Roles,artist,talented;creative;young;old;famous;unknown;skilled;passionate;local;international
