Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,basic,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,anger,big;bad;hot;strong;new;real;other;same;good;much
gemini-2.0-flash,basic,0.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,happiness,great;true;real;simple;pure;inner;lasting;fleeting;unexpected;childlike
gemini-2.0-flash,basic,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,hate,big;bad;strong;real;new;other;same;much;little;hard
gemini-2.0-flash,basic,0.0,AR # Arabic,B2,most frequent,Abstract Concepts,hate,big;bad;real;true;great;new;old;quiet;silent;deep
gemini-2.0-flash,basic,0.0,AR # Arabic,C1,most frequent,Abstract Concepts,hate,great;real;deep;blind;strong;pure;irrational;growing;bitter;consuming
gemini-2.0-flash,basic,0.0,AR # Arabic,C2,most frequent,Abstract Concepts,hate,blind;irrational;intense;deep-seated;consuming;bitter;mutual;simmering;underlying;vocal
gemini-2.0-flash,basic,0.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,hate,great;deep;blind;irrational;intense;bitter;consuming;abiding;visceral;pathological
gemini-2.0-flash,basic,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,honesty,big;good;real;new;other;same;much;little;hard;important
gemini-2.0-flash,basic,0.0,AR # Arabic,B2,most frequent,Abstract Concepts,honesty,real;true;great;new;old;big;small;quiet;silent;simple
gemini-2.0-flash,basic,0.0,AR # Arabic,C1,most frequent,Abstract Concepts,honesty,great;real;true;complete;brutal;simple;refreshing;rare;basic;personal
gemini-2.0-flash,basic,0.0,AR # Arabic,C2,most frequent,Abstract Concepts,honesty,brutal;complete;refreshing;unwavering;questionable;perceived;simple;fundamental;admirable;rare
gemini-2.0-flash,basic,0.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,honesty,great;complete;brutal;refreshing;simple;basic;fundamental;unquestionable;painful;admirable
gemini-2.0-flash,basic,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,justice,big;good;real;new;other;same;much;little;hard;important
gemini-2.0-flash,basic,0.0,AR # Arabic,B2,most frequent,Abstract Concepts,justice,real;true;great;new;old;big;small;quiet;silent;important
gemini-2.0-flash,basic,0.0,AR # Arabic,C1,most frequent,Abstract Concepts,justice,great;real;true;social;economic;criminal;fair;equal;blind;rough
gemini-2.0-flash,basic,0.0,AR # Arabic,C2,most frequent,Abstract Concepts,justice,social;criminal;restorative;blind;equal;fair;swift;delayed;rough;ultimate
gemini-2.0-flash,basic,0.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,justice,great;social;criminal;economic;environmental;restorative;rough;blind;equal;fair
gemini-2.0-flash,basic,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,knowledge,big;good;real;new;other;same;much;little;hard;important
gemini-2.0-flash,basic,0.0,AR # Arabic,B2,most frequent,Abstract Concepts,knowledge,great;new;old;big;small;quiet;silent;important;real;true
gemini-2.0-flash,basic,0.0,AR # Arabic,C1,most frequent,Abstract Concepts,knowledge,great;real;true;deep;basic;practical;common;scientific;new;limited
gemini-2.0-flash,basic,0.0,AR # Arabic,C2,most frequent,Abstract Concepts,knowledge,vast;extensive;practical;theoretical;specialized;acquired;common;tacit;limited;profound
gemini-2.0-flash,basic,0.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,knowledge,great;deep;broad;practical;scientific;tacit;specialized;esoteric;working;common
gemini-2.0-flash,basic,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,love,big;good;real;new;other;same;much;little;hard;important
gemini-2.0-flash,basic,0.0,AR # Arabic,B2,most frequent,Abstract Concepts,love,real;true;great;new;old;big;small;quiet;silent;deep
gemini-2.0-flash,basic,0.0,AR # Arabic,C1,most frequent,Abstract Concepts,love,great;real;true;deep;pure;unconditional;romantic;first;lost;new
gemini-2.0-flash,basic,0.0,AR # Arabic,C2,most frequent,Abstract Concepts,love,unconditional;true;deep;passionate;romantic;brotherly;maternal;paternal;unrequited;enduring
gemini-2.0-flash,basic,0.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,love,great;true;deep;unconditional;passionate;romantic;brotherly;maternal;platonic;abiding
gemini-2.0-flash,basic,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,peace,big;good;real;new;other;same;much;little;hard;important
gemini-2.0-flash,basic,0.0,AR # Arabic,B2,most frequent,Abstract Concepts,peace,real;true;great;new;old;big;small;quiet;silent;important
gemini-2.0-flash,basic,0.0,AR # Arabic,C1,most frequent,Abstract Concepts,peace,great;real;true;lasting;fragile;uneasy;inner;world;cold;simple
gemini-2.0-flash,basic,0.0,AR # Arabic,C2,most frequent,Abstract Concepts,peace,lasting;fragile;uneasy;temporary;inner;global;negotiated;hard-won;relative;elusive
gemini-2.0-flash,basic,0.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,peace,great;lasting;fragile;uneasy;temporary;inner;world;relative;negotiated;cold
gemini-2.0-flash,basic,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,wisdom,big;good;real;new;other;same;much;little;hard;important
gemini-2.0-flash,basic,0.0,AR # Arabic,B2,most frequent,Abstract Concepts,wisdom,great;new;old;big;small;quiet;silent;important;real;true
gemini-2.0-flash,basic,0.0,AR # Arabic,C1,most frequent,Abstract Concepts,wisdom,great;real;true;ancient;practical;common;inner;simple;growing;acquired
gemini-2.0-flash,basic,0.0,AR # Arabic,C2,most frequent,Abstract Concepts,wisdom,ancient;practical;accumulated;profound;conventional;acquired;innate;shared;collective;individual
gemini-2.0-flash,basic,0.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,wisdom,great;practical;ancient;conventional;traditional;acquired;collective;innate;spiritual;profound
gemini-2.0-flash,basic,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,bell,big;small;good;new;old;other;same;much;little;hard
gemini-2.0-flash,basic,0.0,AR # Arabic,B2,most frequent,Cultural Artifacts,bell,big;small;new;old;loud;quiet;silent;golden;silver;metal
gemini-2.0-flash,basic,0.0,AR # Arabic,C1,most frequent,Cultural Artifacts,bell,big;small;loud;clear;church;school;warning;silver;bronze;old
gemini-2.0-flash,basic,0.0,AR # Arabic,C2,most frequent,Cultural Artifacts,bell,loud;clear;church;school;warning;brass;silver;small;large;distant
gemini-2.0-flash,basic,0.0,AR # Arabic,Perfect,most frequent,Cultural Artifacts,bell,loud;clear;church;school;warning;small;big;bronze;silver;distant
gemini-2.0-flash,basic,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,candle,big;small;good;new;old;other;same;much;little;hard
gemini-2.0-flash,basic,0.0,AR # Arabic,B2,most frequent,Cultural Artifacts,candle,big;small;new;old;white;red;yellow;tall;short;wax
gemini-2.0-flash,basic,0.0,AR # Arabic,C1,most frequent,Cultural Artifacts,candle,white;small;big;tall;wax;burning;scented;colorful;new;old
gemini-2.0-flash,basic,0.0,AR # Arabic,C2,most frequent,Cultural Artifacts,candle,burning;wax;scented;tall;short;thick;thin;flickering;white;colorful
gemini-2.0-flash,basic,0.0,AR # Arabic,Perfect,most frequent,Cultural Artifacts,candle,white;small;tall;wax;burning;scented;birthday;Christmas;votive;flickering
gemini-2.0-flash,basic,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,carpet,big;small;good;new;old;other;same;much;little;hard
gemini-2.0-flash,basic,0.0,AR # Arabic,B2,most frequent,Cultural Artifacts,carpet,big;small;new;old;red;blue;green;soft;hard;wool
gemini-2.0-flash,basic,0.0,AR # Arabic,C1,most frequent,Cultural Artifacts,carpet,red;big;small;old;new;Persian;wool;oriental;colorful;thick
gemini-2.0-flash,basic,0.0,AR # Arabic,C2,most frequent,Cultural Artifacts,carpet,oriental;Persian;wool;thick;thin;red;blue;patterned;worn;new
gemini-2.0-flash,basic,0.0,AR # Arabic,Perfect,most frequent,Cultural Artifacts,carpet,red;Persian;oriental;wool;thick;thin;new;old;expensive;patterned
gemini-2.0-flash,basic,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,coin,big;small;good;new;old;other;same;much;little;hard
gemini-2.0-flash,basic,0.0,AR # Arabic,B2,most frequent,Cultural Artifacts,coin,big;small;new;old;gold;silver;copper;round;square;metal
gemini-2.0-flash,basic,0.0,AR # Arabic,C1,most frequent,Cultural Artifacts,coin,gold;silver;old;new;rare;valuable;foreign;lucky;small;big
gemini-2.0-flash,basic,0.0,AR # Arabic,C2,most frequent,Cultural Artifacts,coin,gold;silver;bronze;old;new;rare;valuable;foreign;lucky;shiny
gemini-2.0-flash,basic,0.0,AR # Arabic,Perfect,most frequent,Cultural Artifacts,coin,gold;silver;old;new;rare;valuable;fake;lucky;foreign;commemorative
gemini-2.0-flash,basic,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,crown,big;small;good;new;old;other;same;much;little;hard
gemini-2.0-flash,basic,0.0,AR # Arabic,B2,most frequent,Cultural Artifacts,crown,big;small;new;old;gold;silver;royal;important;beautiful;metal
gemini-2.0-flash,basic,0.0,AR # Arabic,C1,most frequent,Cultural Artifacts,crown,gold;silver;royal;jeweled;heavy;small;big;new;old;simple
gemini-2.0-flash,basic,0.0,AR # Arabic,C2,most frequent,Cultural Artifacts,crown,golden;royal;jeweled;heavy;ceremonial;ancient;silver;ornate;simple;symbolic
gemini-2.0-flash,basic,0.0,AR # Arabic,Perfect,most frequent,Cultural Artifacts,crown,gold;silver;royal;jeweled;heavy;ceremonial;papal;laurel;floral;bejeweled
gemini-2.0-flash,basic,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,flag,big;small;good;new;old;other;same;much;little;hard
gemini-2.0-flash,basic,0.0,AR # Arabic,B2,most frequent,Cultural Artifacts,flag,big;small;new;old;red;blue;white;national;important;colorful
gemini-2.0-flash,basic,0.0,AR # Arabic,C1,most frequent,Cultural Artifacts,flag,national;red;white;blue;big;small;new;old;waving;colorful
gemini-2.0-flash,basic,0.0,AR # Arabic,C2,most frequent,Cultural Artifacts,flag,national;waving;red;white;blue;tattered;flown;symbolic;historical;colorful
gemini-2.0-flash,basic,0.0,AR # Arabic,Perfect,most frequent,Cultural Artifacts,flag,national;red;white;blue;waving;tattered;rebel;pirate;signal;ceremonial
gemini-2.0-flash,basic,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,mask,big;small;good;new;old;other;same;much;little;hard
gemini-2.0-flash,basic,0.0,AR # Arabic,B2,most frequent,Cultural Artifacts,mask,big;small;new;old;white;black;red;scary;funny;paper
gemini-2.0-flash,basic,0.0,AR # Arabic,C1,most frequent,Cultural Artifacts,mask,white;black;small;big;new;old;scary;funny;plastic;paper
gemini-2.0-flash,basic,0.0,AR # Arabic,C2,most frequent,Cultural Artifacts,mask,protective;surgical;theatrical;decorative;painted;plastic;paper;scary;anonymous;elaborate
gemini-2.0-flash,basic,0.0,AR # Arabic,Perfect,most frequent,Cultural Artifacts,mask,black;white;plastic;surgical;Venetian;tribal;protective;oxygen;theatrical;anonymous
gemini-2.0-flash,basic,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,necklace,big;small;good;new;old;other;same;much;little;hard
gemini-2.0-flash,basic,0.0,AR # Arabic,B2,most frequent,Cultural Artifacts,necklace,big;small;new;old;gold;silver;long;short;beautiful;metal
gemini-2.0-flash,basic,0.0,AR # Arabic,C1,most frequent,Cultural Artifacts,necklace,gold;silver;pearl;diamond;long;short;new;old;beautiful;simple
gemini-2.0-flash,basic,0.0,AR # Arabic,C2,most frequent,Cultural Artifacts,necklace,gold;silver;pearl;diamond;beaded;long;short;delicate;chunky;antique
gemini-2.0-flash,basic,0.0,AR # Arabic,Perfect,most frequent,Cultural Artifacts,necklace,gold;silver;pearl;diamond;beaded;long;short;delicate;costume;antique
gemini-2.0-flash,basic,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,painting,big;small;good;new;old;other;same;much;little;hard
gemini-2.0-flash,basic,0.0,AR # Arabic,B2,most frequent,Cultural Artifacts,painting,big;small;new;old;red;blue;green;beautiful;famous
gemini-2.0-flash,basic,0.0,AR # Arabic,C1,most frequent,Cultural Artifacts,painting,beautiful;old;new;famous;abstract;landscape;portrait;colorful;big;small
gemini-2.0-flash,basic,0.0,AR # Arabic,C2,most frequent,Cultural Artifacts,painting,oil;watercolor;abstract;realistic;famous;beautiful;framed;large;small;impressionist
gemini-2.0-flash,basic,0.0,AR # Arabic,Perfect,most frequent,Cultural Artifacts,painting,oil;watercolor;abstract;landscape;portrait;famous;original;impressionist;modern;classical
gemini-2.0-flash,basic,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,ring,big;small;good;new;old;other;same;much;little;hard
gemini-2.0-flash,basic,0.0,AR # Arabic,B2,most frequent,Cultural Artifacts,ring,big;small;new;old;gold;silver;round;beautiful;simple;metal
gemini-2.0-flash,basic,0.0,AR # Arabic,C1,most frequent,Cultural Artifacts,ring,gold;silver;diamond;wedding;engagement;small;big;new;old;simple
gemini-2.0-flash,basic,0.0,AR # Arabic,C2,most frequent,Cultural Artifacts,ring,gold;silver;diamond;wedding;engagement;simple;ornate;antique;valuable;costume
gemini-2.0-flash,basic,0.0,AR # Arabic,Perfect,most frequent,Cultural Artifacts,ring,gold;silver;diamond;wedding;engagement;signet;mood;championship;magic;onion
gemini-2.0-flash,basic,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,statue,big;small;good;new;old;other;same;much;little;hard
gemini-2.0-flash,basic,0.0,AR # Arabic,B2,most frequent,Cultural Artifacts,statue,big;small;new;old;white;black;stone;metal;famous
gemini-2.0-flash,basic,0.0,AR # Arabic,C1,most frequent,Cultural Artifacts,statue,big;small;bronze;stone;marble;old;new;famous;tall;white
gemini-2.0-flash,basic,0.0,AR # Arabic,C2,most frequent,Cultural Artifacts,statue,bronze;marble;stone;large;small;ancient;modern;commemorative;religious;imposing
gemini-2.0-flash,basic,0.0,AR # Arabic,Perfect,most frequent,Cultural Artifacts,statue,bronze;marble;stone;tall;small;famous;ancient;commemorative;religious;public
gemini-2.0-flash,basic,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,vase,big;small;good;new;old;other;same;much;little;hard
gemini-2.0-flash,basic,0.0,AR # Arabic,B2,most frequent,Cultural Artifacts,vase,big;small;new;old;white;red;blue;glass;ceramic;beautiful
gemini-2.0-flash,basic,0.0,AR # Arabic,C1,most frequent,Cultural Artifacts,vase,glass;ceramic;flower;tall;short;big;small;new;old;beautiful
gemini-2.0-flash,basic,0.0,AR # Arabic,C2,most frequent,Cultural Artifacts,vase,glass;ceramic;porcelain;tall;short;wide;narrow;antique;decorative;colorful
gemini-2.0-flash,basic,0.0,AR # Arabic,Perfect,most frequent,Cultural Artifacts,vase,glass;ceramic;porcelain;tall;short;flower;antique;valuable;decorative;crystal
gemini-2.0-flash,basic,0.0,AR # Arabic,B1,most frequent,Environmental Phenomena,cloud,big;small;good;new;old;other;same;much;little;hard
gemini-2.0-flash,basic,0.0,AR # Arabic,B2,most frequent,Environmental Phenomena,cloud,big;small;white;black;grey;dark;light;high;low;rain
gemini-2.0-flash,basic,0.0,AR # Arabic,C1,most frequent,Environmental Phenomena,cloud,white;dark;grey;big;small;rain;storm;fluffy;low;high
gemini-2.0-flash,basic,0.0,AR # Arabic,C2,most frequent,Environmental Phenomena,cloud,white;dark;grey;fluffy;rain;storm;passing;low;high;ominous
gemini-2.0-flash,basic,0.0,AR # Arabic,Perfect,most frequent,Environmental Phenomena,cloud,white;dark;grey;rain;storm;fluffy;passing;gathering;ominous;low
gemini-2.0-flash,basic,0.0,AR # Arabic,B1,most frequent,Environmental Phenomena,earthquake,big;small;good;new;old;other;same;much;little;hard
gemini-2.0-flash,basic,0.0,AR # Arabic,B2,most frequent,Environmental Phenomena,earthquake,big;small;strong;weak;new;old;sudden;quick;slow;dangerous
gemini-2.0-flash,basic,0.0,AR # Arabic,C1,most frequent,Environmental Phenomena,earthquake,big;strong;major;small;recent;devastating;powerful;unexpected;first;aftershock
gemini-2.0-flash,basic,0.0,AR # Arabic,C2,most frequent,Environmental Phenomena,earthquake,strong;devastating;major;minor;unexpected;recent;historical;powerful;shallow;deep
gemini-2.0-flash,basic,0.0,AR # Arabic,Perfect,most frequent,Environmental Phenomena,earthquake,strong;major;devastating;powerful;recent;unexpected;minor;aftershock;foreshock;seismic
gemini-2.0-flash,basic,0.0,AR # Arabic,B1,most frequent,Environmental Phenomena,fog,big;small;good;new;old;other;same;much;little;hard
gemini-2.0-flash,basic,0.0,AR # Arabic,B2,most frequent,Environmental Phenomena,fog,big;small;thick;thin;white;grey;dark;light;new;old
gemini-2.0-flash,basic,0.0,AR # Arabic,C1,most frequent,Environmental Phenomena,fog,thick;heavy;dense;white;grey;morning;sea;ground;light;rolling
gemini-2.0-flash,basic,0.0,AR # Arabic,C2,most frequent,Environmental Phenomena,fog,thick;dense;heavy;pea-soup;morning;evening;coastal;rolling;lifting;mysterious
gemini-2.0-flash,basic,0.0,AR # Arabic,Perfect,most frequent,Environmental Phenomena,fog,thick;dense;heavy;pea-soup;morning;evening;sea;ground;rolling;lifting
gemini-2.0-flash,basic,0.0,AR # Arabic,B1,most frequent,Environmental Phenomena,lightning,big;small;good;new;old;other;same;much;little;hard
gemini-2.0-flash,basic,0.0,AR # Arabic,B2,most frequent,Environmental Phenomena,lightning,big;bright;quick;sudden;new;old;dangerous;white;yellow;strong
gemini-2.0-flash,basic,0.0,AR # Arabic,C1,most frequent,Environmental Phenomena,lightning,bright;sudden;powerful;dangerous;forked;sheet;distant;close;summer;winter
gemini-2.0-flash,basic,0.0,AR # Arabic,C2,most frequent,Environmental Phenomena,lightning,bright;sudden;forked;sheet;distant;close;dangerous;powerful;silent;frequent
gemini-2.0-flash,basic,0.0,AR # Arabic,Perfect,most frequent,Environmental Phenomena,lightning,bright;sudden;forked;sheet;distant;close;dangerous;summer;winter;electrical
gemini-2.0-flash,basic,0.0,AR # Arabic,B1,most frequent,Environmental Phenomena,rain,big;small;good;new;old;other;same;much;little;hard
gemini-2.0-flash,basic,0.0,AR # Arabic,B2,most frequent,Environmental Phenomena,rain,big;small;heavy;light;new;old;cold;warm;hard;soft
gemini-2.0-flash,basic,0.0,AR # Arabic,C1,most frequent,Environmental Phenomena,rain,heavy;light;hard;soft;cold;warm;acid;constant;sudden;gentle
gemini-2.0-flash,basic,0.0,AR # Arabic,C2,most frequent,Environmental Phenomena,rain,heavy;light;gentle;torrential;constant;acid;warm;cold;refreshing;persistent
gemini-2.0-flash,basic,0.0,AR # Arabic,Perfect,most frequent,Environmental Phenomena,rain,heavy;light;hard;soft;gentle;steady;torrential;acid;summer;winter
gemini-2.0-flash,basic,0.0,AR # Arabic,B1,most frequent,Environmental Phenomena,rainbow,big;small;good;new;old;other;same;much;little;hard
gemini-2.0-flash,basic,0.0,AR # Arabic,B2,most frequent,Environmental Phenomena,rainbow,big;small;new;old;colorful;beautiful;bright;light;high;low
gemini-2.0-flash,basic,0.0,AR # Arabic,C1,most frequent,Environmental Phenomena,rainbow,colorful;bright;beautiful;double;faint;full;partial;high;low;perfect
gemini-2.0-flash,basic,0.0,AR # Arabic,C2,most frequent,Environmental Phenomena,rainbow,colorful;bright;double;faint;partial;complete;arched;beautiful;fleeting;vibrant
gemini-2.0-flash,basic,0.0,AR # Arabic,Perfect,most frequent,Environmental Phenomena,rainbow,bright;colorful;double;faint;full;partial;arched;fleeting;beautiful;ethereal
gemini-2.0-flash,basic,0.0,AR # Arabic,B1,most frequent,Environmental Phenomena,snow,big;small;good;new;old;other;same;much;little;hard
gemini-2.0-flash,basic,0.0,AR # Arabic,B2,most frequent,Environmental Phenomena,snow,big;small;white;new;old;cold;soft;hard;heavy;light
gemini-2.0-flash,basic,0.0,AR # Arabic,C1,most frequent,Environmental Phenomena,snow,white;heavy;light;fresh;deep;falling;wet;dry;first;soft
gemini-2.0-flash,basic,0.0,AR # Arabic,C2,most frequent,Environmental Phenomena,snow,heavy;light;falling;fresh;deep;wet;dry;powdery;drifting;melting
gemini-2.0-flash,basic,0.0,AR # Arabic,Perfect,most frequent,Environmental Phenomena,snow,heavy;light;fresh;falling;deep;wet;dry;powdery;drifting;melting
gemini-2.0-flash,basic,0.0,AR # Arabic,B1,most frequent,Environmental Phenomena,storm,big;small;good;new;old;other;same;much;little;hard
gemini-2.0-flash,basic,0.0,AR # Arabic,B2,most frequent,Environmental Phenomena,storm,big;small;strong;weak;new;old;dangerous;loud;quiet;sudden
gemini-2.0-flash,basic,0.0,AR # Arabic,C1,most frequent,Environmental Phenomena,storm,big;strong;severe;winter;summer;rain;wind;thunder;lightning;approaching
gemini-2.0-flash,basic,0.0,AR # Arabic,C2,most frequent,Environmental Phenomena,storm,severe;violent;electrical;rain;snow;wind;approaching;passing;brewing;coastal
gemini-2.0-flash,basic,0.0,AR # Arabic,Perfect,most frequent,Environmental Phenomena,storm,big;severe;winter;summer;tropical;electrical;rain;wind;approaching;brewing
gemini-2.0-flash,basic,0.0,AR # Arabic,B1,most frequent,Environmental Phenomena,thunder,big;small;good;new;old;other;same;much;little;hard
gemini-2.0-flash,basic,0.0,AR # Arabic,B2,most frequent,Environmental Phenomena,thunder,big;loud;strong;new;old;sudden;quick;slow;deep;far
gemini-2.0-flash,basic,0.0,AR # Arabic,C1,most frequent,Environmental Phenomena,thunder,loud;deep;distant;rolling;sudden;close;heavy;echoing;summer;winter
gemini-2.0-flash,basic,0.0,AR # Arabic,C2,most frequent,Environmental Phenomena,thunder,loud;distant;rolling;crashing;booming;echoing;ominous;sudden;continuous;deep
gemini-2.0-flash,basic,0.0,AR # Arabic,Perfect,most frequent,Environmental Phenomena,thunder,loud;deep;rolling;distant;close;echoing;booming;ominous;summer;winter
gemini-2.0-flash,basic,0.0,AR # Arabic,B1,most frequent,Environmental Phenomena,tide,big;small;good;new;old;other;same;much;little;hard
gemini-2.0-flash,basic,0.0,AR # Arabic,B2,most frequent,Environmental Phenomena,tide,big;small;high;low;new;old;strong;weak;quick;slow
gemini-2.0-flash,basic,0.0,AR # Arabic,C1,most frequent,Environmental Phenomena,tide,high;low;strong;weak;spring;neap;incoming;outgoing;rising;falling
gemini-2.0-flash,basic,0.0,AR # Arabic,C2,most frequent,Environmental Phenomena,tide,high;low;spring;neap;incoming;outgoing;strong;weak;rising;falling
gemini-2.0-flash,basic,0.0,AR # Arabic,Perfect,most frequent,Environmental Phenomena,tide,high;low;spring;neap;incoming;outgoing;strong;weak;rising;falling
gemini-2.0-flash,basic,0.0,AR # Arabic,B1,most frequent,Environmental Phenomena,volcano,big;small;good;new;old;other;same;much;little;hard
gemini-2.0-flash,basic,0.0,AR # Arabic,B2,most frequent,Environmental Phenomena,volcano,big;small;new;old;active;quiet;dangerous;high;low;hot
gemini-2.0-flash,basic,0.0,AR # Arabic,C1,most frequent,Environmental Phenomena,volcano,active;dormant;extinct;big;small;erupting;dangerous;volcanic;nearby;distant
gemini-2.0-flash,basic,0.0,AR # Arabic,C2,most frequent,Environmental Phenomena,volcano,active;dormant;extinct;erupting;volcanic;large;small;nearby;distant;dangerous
gemini-2.0-flash,basic,0.0,AR # Arabic,Perfect,most frequent,Environmental Phenomena,volcano,active;dormant;extinct;volcanic;erupting;nearby;distant;dangerous;smoking;ash
gemini-2.0-flash,basic,0.0,AR # Arabic,B1,most frequent,Environmental Phenomena,wind,big;small;good;new;old;other;same;much;little;hard
gemini-2.0-flash,basic,0.0,AR # Arabic,B2,most frequent,Environmental Phenomena,wind,big;small;strong;weak;new;old;cold;warm;hot;dry
gemini-2.0-flash,basic,0.0,AR # Arabic,C1,most frequent,Environmental Phenomena,wind,strong;cold;warm;light;gentle;north;south;east;west;gusty
gemini-2.0-flash,basic,0.0,AR # Arabic,C2,most frequent,Environmental Phenomena,wind,strong;gentle;cold;warm;gusty;prevailing;offshore;onshore;light;howling
gemini-2.0-flash,basic,0.0,AR # Arabic,Perfect,most frequent,Environmental Phenomena,wind,strong;cold;warm;gentle;light;prevailing;gusty;offshore;onshore;easterly
gemini-2.0-flash,basic,0.0,AR # Arabic,B1,most frequent,Food Items,apple,big;small;good;new;old;other;same;much;little;hard
